review_id,claim_id,claim_family_id,review_set,claim_level,claim_type,claim_text,short_claim_text,target,feature_family,feature_space,pipeline,atlas,dataset,cohort,roi,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,n_samples,n_features,support_regions,support_metrics_short,reviewer_id,reviewer_type,reviewer_specialty,plausibility_1_5,clarity_1_5,faithfulness_1_5,usefulness_1_5,reviewer_confidence_1_5,caution_level,recommended_action,corrected_claim_text,reviewer_comments,revised
REV0001,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,main_expert,composite,diagnosis_contrast,"AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.","AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,lower,mean_abs_t,10.546128951545162,,,,,1104,68,,,radiology,human,radiology,5,4,4,5,5,stable,accept,,,
REV0002,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd_composite_main,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd,main_expert,composite,age_association,"Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.","Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.",age,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,AIBL_baseline,pooled,,,,,,,altered,mean_abs_t,4.7609346912471375,,,,,1298,202,,,radiology,human,radiology,4,3,4,4,4,tentative,minor_revise,"Older age is associated with altered cortical thickness in Default Mode, Limbic, and Control networks defined by the Schaefer 200-parcel 7-network atlas, after adjustment for sex.”",Unclear wording of atlas/network terms,
REV0003,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,main_expert,composite,diagnosis_contrast,"AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_ad_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,8.286137751181068,,,,,660,64,,,radiology,human,radiology,3,3,3,4,5,tentative,minor_revise,"AD is associated with lower subcortical volume in the hippocampus and amygdala, and higher ventricular volume, compared with CN, after adjustment for age, sex, education, and ICV",Ventricular direction incorrect.,
REV0004,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,main_expert,composite,diagnosis_contrast,"AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.","AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,,,,,,,lower,mean_abs_t,14.293053887392452,,,,,1554,202,,,radiology,human,radiology,5,4,5,5,5,stable,accept,,,
REV0005,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,main_expert,composite,diagnosis_contrast,"AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,11.867281428402489,,,,,660,68,,,radiology,human,radiology,5,5,5,5,5,stable,accept,,,
REV0006,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0,main_expert,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,higher,mean_abs_t,11.337641059855477,,,,,1291,68,,,radiology,human,radiology,5,4,4,5,5,stable,minor_revise,"Higher MMSE scores are associated with greater cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age and sex.",Clear and plausible; minor wording improvement.,
REV0007,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18,main_expert,composite,cdr_impairment_contrast,"CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.",diagnosis_binary_impairment_cdr,volume,fs8_subcortical_volume,freesurfer8,subcortical,OASIS1_baseline,pooled,,,,,,,lower,mean_abs_t,4.287116403488893,,,,,235,64,,,radiology,human,radiology,5,3,3,5,5,tentative,minor_revise,"CDR-defined cognitive impairment is associated with lower subcortical volume in the left and right hippocampus and right amygdala, and larger inferior lateral ventricles bilaterally, compared with CDR 0, after adjustment for age, sex, and education",Mixed directions and unclear abbreviations.,
REV0008,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,main_expert,composite,diagnosis_contrast,"MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.","MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.",diagnosis_binary_mci_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,,,,,,,altered,mean_abs_t,4.817938317582505,,,,,1131,64,,,radiology,human,radiology,4,3,3,4,4,tentative,minor_revise,"MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, and Right-Lateral-Ventricle compared with CN, after adjustment for age and sex",Vague direction,
REV0009,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,main_expert,composite,mmse_association,"Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.","Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.",mmse,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,,,,,,,higher,mean_abs_t,16.06565628808095,,,,,2892,202,,,radiology,human,radiology,5,3,4,5,5,stable,accept,,,
REV0010,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_composite_main,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,main_expert,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,OASIS1_baseline,pooled,,,,,,,higher,mean_abs_t,4.879636707,,,,,235,68,,,radiology,human,radiology,5,4,5,5,5,stable,accept,,,
REV0011,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb,main_expert,composite,mmse_association,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and insula regions, after adjustment for age, sex, education, icv.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and insula regions, after adjustment for age, sex, education, icv.",mmse,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,higher,mean_abs_t,12.705931821071252,,,,,1272,68,,,radiology,human,radiology,4,4,4,4,4,stable,accept,,,
REV0012,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,main_expert,composite,age_association,"Older age is associated with lower subcortical volume in 3rd-Ventricle, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Lateral-Ventricle, Right-Lateral-Ventricle, after adjustment for sex, education, icv.","Older age is associated with lower subcortical volume in 3rd-Ventricle, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Lateral-Ventricle, Right-Lateral-Ventricle, after adjustment for sex, education, icv.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,9.340244714564609,,,,,1299,64,,,radiology,human,radiology,2,3,2,3,5,fragile,major_revise,"Older age is associated with larger ventricular volumes (3rd ventricle, inferior lateral ventricles, and lateral ventricles), after adjustment for sex, education, and icv",Incorrect direction for ventricles.,
REV0013,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab,main_expert,composite,mmse_association,"Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, Right-Amygdala, after adjustment for age, sex, education, icv.","Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, Right-Amygdala, after adjustment for age, sex, education, icv.",mmse,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,,,,,,,higher,mean_abs_t,8.311285954784774,,,,,1272,64,,,radiology,human,radiology,2,3,2,3,5,fragile,major_revise,"Higher MMSE is associated with higher subcortical volume in Left-Hippocampus, Right-Hippocampus, and Right-Amygdala, and lower ventricular volumes (Left-Inf-Lat-Vent, Right-Inf-Lat-Vent), after adjustment for age, sex, education, icv.",Incorrect direction for ventricles,
REV0014,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c,main_expert,composite,age_association,"Older age is associated with lower subcortical volume in 3rd-Ventricle, CC_Mid_Anterior, Left-Hippocampus, CSF, CC_Mid_Posterior, after adjustment for sex, education.","Older age is associated with lower subcortical volume in 3rd-Ventricle, CC_Mid_Anterior, Left-Hippocampus, CSF, CC_Mid_Posterior, after adjustment for sex, education.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,OASIS1_baseline,pooled,,,,,,,lower,mean_abs_t,8.684915556,,,,,235,64,,,radiology,human,radiology,2,3,2,3,4,fragile,major_revise,"Older age is associated with lower subcortical volume in Left-Hippocampus and CC_Mid_Anterior/Posterior, and higher CSF and 3rd-Ventricle volumes, after adjustment for sex and education.",Incorrect direction for CSF and ventricles,
REV0015,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE_afc8e85f81_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE_afc8e85f81,main_expert,composite,age_association,"Older age is associated with lower cortical regional volume in temporal, occipital, and frontal regions, after adjustment for sex.","Older age is associated with lower cortical regional volume in temporal, occipital, and frontal regions, after adjustment for sex.",age,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,,,,,,,lower,mean_abs_t,6.318493260531072,,,,,1298,68,,,radiology,human,radiology,5,5,5,5,5,stable,accept,,,
REV0016,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd,main_expert,composite,diagnosis_contrast,"MCI is associated with lower cortical regional volume in temporal, parietal, and frontal regions compared with CN, after adjustment for age, sex, education, icv.","MCI is associated with lower cortical regional volume in temporal, parietal, and frontal regions compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_mci_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,ADNI_baseline,pooled,,,,,,,lower,mean_abs_t,5.155338966569458,,,,,997,68,,,radiology,human,radiology,5,5,5,5,5,stable,accept,,,
REV0017,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166_atomic_roi_Right-Accumbens-area,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower Right-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.","AD is associated with lower Right-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,AIBL_baseline,pooled,Right-Accumbens-area,basal_ganglia,basal_ganglia,,,,lower,t,-10.3459474,-0.829037805,-10.3459474,5.290975014471193e-24,3.762471121401738e-23,1104,64,,,radiology,human,radiology,4,4,4,4,4,stable,accept,,,
REV0018,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881_atomic_roi_RH_Default_Temp_2,ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD_ddab764881,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower RH_Default_Temp_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.","AD is associated with lower RH_Default_Temp_2 Schaefer 200 7-network cortical thickness compared with CN, after adjustment for age, sex, education.",diagnosis_binary_ad_cn,thickness,spm_thickness_schaefer200_7,spm_cat12,schaefer200_7network,ADNI_SPM_MATCHED,pooled,RH_Default_Temp_2,Default,temporal,Default,,temporal,lower,t,-24.09522665,-1.063306185,-24.09522665,3.3073188256670113e-109,6.073440025315783e-108,1554,202,,,radiology,human,radiology,5,3,4,4,4,stable,accept,,,
REV0019,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686_atomic_roi_CC_Mid_Posterior,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,main_expert,atomic_roi,age_association,"Older age is associated with lower CC_Mid_Posterior subcortical volume, after adjustment for sex, education, icv.","Older age is associated with lower CC_Mid_Posterior subcortical volume, after adjustment for sex, education, icv.",age,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,CC_Mid_Posterior,corpus_callosum,corpus_callosum,,,,lower,t,-9.618404663,-0.260068322,-9.618404663,3.3552213939255947e-21,1.9521288110112552e-20,1299,64,,,radiology,human,radiology,5,3,5,4,4,stable,accept,,,
REV0020,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def_atomic_roi_LH_Default_Par_4,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,main_expert,atomic_roi,mmse_association,"Higher MMSE is associated with higher LH_Default_Par_4 Schaefer 200 7-network cortical thickness, after adjustment for age, sex, education.","Higher MMSE is associated with higher LH_Default_Par_4 Schaefer 200 7-network cortical thickness, after adjustment for age, sex, education.",mmse,thickness,fs8_thickness_schaefer200_7,freesurfer8,schaefer200_7network,ADNI_SPM_MATCHED,pooled,LH_Default_Par_4,Default,unknown_subregion,Default,,unknown,higher,t,15.980424639835425,0.2883059649962805,15.980424639835425,3.7864774733182636e-55,9.560855620128616e-54,2892,202,,,radiology,human,radiology,5,4,5,4,4,stable,accept,,,
REV0021,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86_atomic_roi_CC_Anterior,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86,main_expert,atomic_roi,diagnosis_contrast,"MCI is associated with lower CC_Anterior subcortical volume compared with CN, after adjustment for age, sex, education, icv.","MCI is associated with lower CC_Anterior subcortical volume compared with CN, after adjustment for age, sex, education, icv.",diagnosis_binary_mci_cn,volume,fs8_subcortical_volume,freesurfer8,subcortical,ADNI_baseline,pooled,CC_Anterior,corpus_callosum,corpus_callosum,,,,lower,t,-3.029021727,-0.191580504,-3.029021727,0.002517051,0.012391635,997,64,,,radiology,human,radiology,4,3,4,4,4,stable,accept,,,
REV0022,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_atomic_roi_rh_bankssts,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,main_expert,atomic_roi,diagnosis_contrast,"AD is associated with lower rh_bankssts cortical regional volume compared with CN, after adjustment for age, sex.","AD is associated with lower rh_bankssts cortical regional volume compared with CN, after adjustment for age, sex.",diagnosis_binary_ad_cn,volume,fs8_cortical_volume,freesurfer8,cortical_regions,AIBL_baseline,pooled,rh_bankssts,temporal,temporal,,,temporal,lower,t,-8.219822307,-0.662994278,-8.219822307,5.693896882398745e-16,1.9359249400155737e-15,1104,68,,,radiology,human,radiology,5,3,5,4,4,stable,accept,,,
