claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,composite,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,,,,,,,,lower,mean_abs_t,11.867281428402489,,,,,"AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_lh_entorhinal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,lh_entorhinal,LH,temporal,temporal,,,temporal,lower,t,-16.551805565747024,-1.06458574726758,-16.551805565747024,1.1717866132939757e-51,7.968148970399035e-50,"AD is associated with lower lh_entorhinal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower lh_entorhinal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_rh_entorhinal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,rh_entorhinal,RH,temporal,temporal,,,temporal,lower,t,-15.071514670814862,-0.9853292178405294,-15.071514670814862,2.811916890101477e-44,9.560517426345022e-43,"AD is associated with lower rh_entorhinal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower rh_entorhinal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_lh_middletemporal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,lh_middletemporal,LH,temporal,temporal,,,temporal,lower,t,-14.28897731309512,-0.9253317706518723,-14.28897731309512,1.6531623848570173e-40,3.7471680723425726e-39,"AD is associated with lower lh_middletemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower lh_middletemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_lh_inferiortemporal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,lh_inferiortemporal,LH,temporal,temporal,,,temporal,lower,t,-13.999875476915856,-0.9136560834279199,-13.999875476915856,3.845079655503101e-39,6.536635414355272e-38,"AD is associated with lower lh_inferiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower lh_inferiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_rh_inferiortemporal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,rh_inferiortemporal,RH,temporal,temporal,,,temporal,lower,t,-13.465945263635232,-0.8782710911352881,-13.465945263635232,1.1731887670918606e-36,1.4869526602081258e-35,"AD is associated with lower rh_inferiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower rh_inferiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_rh_middletemporal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,rh_middletemporal,RH,temporal,temporal,,,temporal,lower,t,-13.45539214159953,-0.8802187369221176,-13.45539214159953,1.3120170531248169e-36,1.4869526602081258e-35,"AD is associated with lower rh_middletemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower rh_middletemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_rh_fusiform,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,rh_fusiform,RH,temporal,temporal,,,temporal,lower,t,-13.095524747221418,-0.8628185678681403,-13.095524747221418,5.773154250864565e-35,5.608206986554149e-34,"AD is associated with lower rh_fusiform cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower rh_fusiform cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_lh_superiortemporal,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,lh_superiortemporal,LH,temporal,temporal,,,temporal,lower,t,-12.155779818707135,-0.8274688693438006,-12.155779818707135,8.496189169300658e-31,6.993891493705538e-30,"AD is associated with lower lh_superiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower lh_superiortemporal cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_atomic_roi_lh_fusiform,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,atomic_roi,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,lh_fusiform,LH,temporal,temporal,,,temporal,lower,t,-12.147189942167385,-0.8246100593447641,-12.147189942167385,9.25662109461027e-31,6.993891493705538e-30,"AD is associated with lower lh_fusiform cortical regional volume compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower lh_fusiform cortical regional volume compared with CN, after adjustment for age, sex, education, icv.",True,supported
