claim_family_id,setting_id,dataset,feature_space,claim_type,target,n_composite,n_atomic,n_group,n_ranking,n_direction,n_latent,n_normative,n_total_claims,n_samples,n_features,n_warnings
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,fs8_cortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,660,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,fs8_subcortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,20,5,1,1,0,0,28,660,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,fs8_cortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,30,2,1,1,0,0,35,997,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,fs8_subcortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,20,3,1,1,0,0,26,997,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,ADNI_baseline,fs8_cortical_volume,mmse_association,mmse,1,30,2,1,1,0,0,35,1272,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,ADNI_baseline,fs8_subcortical_volume,mmse_association,mmse,1,20,5,1,1,0,0,28,1272,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE_a25c67b612,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,ADNI_baseline,fs8_cortical_volume,age_association,age,1,30,3,1,1,0,0,36,1299,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,ADNI_baseline,fs8_subcortical_volume,age_association,age,1,20,4,1,1,0,0,27,1299,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_LATENT_1c1647a355,ADNI_BASELINE_FS8_CORTICAL_VOLUME_LATENT,ADNI_baseline,fs8_cortical_volume,latent_morphometry_axis,,0,0,0,0,0,9,0,9,1299,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT_908fa62193,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_LATENT,ADNI_baseline,fs8_subcortical_volume,latent_morphometry_axis,,0,0,0,0,0,10,0,10,1299,64,0
ADNI_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_DX_a67fcc29ca,ADNI_BASELINE_FS8_CORTICAL_VOLUME_NORMATIVE_DX,ADNI_baseline,fs8_cortical_volume,normative_deviation,,0,0,0,0,0,0,0,0,1299,68,0
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_DX_220adbfabe,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_NORMATIVE_DX,ADNI_baseline,fs8_subcortical_volume,normative_deviation,,0,0,0,0,0,0,2,2,1299,64,0
AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,AIBL_baseline,fs8_cortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,30,2,1,1,0,0,35,1104,68,1
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,AIBL_baseline,fs8_subcortical_volume,diagnosis_contrast,diagnosis_binary_ad_cn,1,20,5,1,1,0,0,28,1104,64,1
AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_e5a54b9ab2,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,AIBL_baseline,fs8_cortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,20,3,1,1,0,0,26,1131,68,1
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,AIBL_baseline,fs8_subcortical_volume,diagnosis_contrast,diagnosis_binary_mci_cn,1,16,4,1,1,0,0,23,1131,64,1
