roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.0,0.0,,,1299,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_caudalanteriorcingulate,0.1585626054620286,0.02634930321630436,6.017715313394459,2.299658601790693e-09,1299,-5.46992098352656e-18,0.9999999999999998,5.48380128119319e-09,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_caudalmiddlefrontal,0.16570542485491166,0.02631176649333424,6.297768904907661,4.1284590441542116e-10,1299,-2.8717085163514444e-17,1.0,1.7064297382504075e-09,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_cuneus,0.15421389552497639,0.026421780452799457,5.836620124842383,6.726001516615161e-09,1299,1.2854314311287416e-16,1.0,1.0719482867443438e-08,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_entorhinal,0.14306084454498041,0.02666976669131041,5.364158082102486,9.625102343131455e-08,1299,-9.572361721171481e-17,1.0,9.78289090613361e-08,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_fusiform,0.15211585497185803,0.02641921692859134,5.757773040094749,1.0633922922224051e-08,1299,-3.008456540939608e-17,1.0,1.3735483774539401e-08,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_inferiorparietal,0.1669676871962185,0.02632749474563858,6.341951211437556,3.1285499056980467e-10,1299,-1.8324235294813977e-16,1.0,1.476705344147506e-09,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_inferiortemporal,0.1574183285179602,0.026432766411122362,5.955423888273829,3.3375430316495947e-09,1299,1.7503747147284992e-16,1.0,7.024250778486863e-09,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_isthmuscingulate,0.17732924727177204,0.026230218636941832,6.760494440638287,2.0753183949389393e-11,1299,9.572361721171481e-17,0.9999999999999999,3.216743512155356e-10,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_lateraloccipital,0.14655899204825396,0.02634657140068392,5.562734893256338,3.223613789288079e-08,1299,2.2289928007870733e-16,1.0,3.445931981652774e-08,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_lateralorbitofrontal,0.15576469091243403,0.026467592696173107,5.885109866261306,5.060683215157858e-09,1299,5.743417032702889e-17,1.0,8.715621092771866e-09,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_lingual,0.1531632107127076,0.02649328929503113,5.78120779972133,9.285805673783854e-09,1299,6.8374012294082e-17,0.9999999999999999,1.2936100416437594e-08,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_medialorbitofrontal,0.15324576563427983,0.02654486744587928,5.773084606533573,9.733103914158502e-09,1299,-3.965692713056756e-17,1.0,1.3022540814726916e-08,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_middletemporal,0.14921674685687183,0.02633082785220304,5.666997927085199,1.7894372752783235e-08,1299,-9.025369622818824e-17,1.0,2.1326044310831958e-08,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_parahippocampal,0.14399205402964063,0.026831013905499683,5.3666273863816185,9.497145865859984e-08,1299,-6.15366110646738e-17,1.0,9.78289090613361e-08,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_paracentral,0.1574664232840853,0.026428545176867574,5.958194907448512,3.282940048917695e-09,1299,1.504228270469804e-16,0.9999999999999998,7.024250778486863e-09,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsopercularis,0.14987238833935407,0.02652356847642278,5.650536370043043,1.964984505526622e-08,1299,-3.145204565527772e-17,1.0,2.2560933211601957e-08,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsorbitalis,0.15519079191684704,0.026591110070400506,5.836190798578031,6.74290051339184e-09,1299,-2.4614644425869523e-17,1.0,1.0719482867443438e-08,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parstriangularis,0.14568700032578924,0.026571511236864662,5.482827040852184,5.027725912249376e-08,1299,9.709109745759645e-17,1.0,5.2833729925332426e-08,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_pericalcarine,0.154403630933525,0.02667855938129024,5.787555044737864,8.950284002685445e-09,1299,-1.9965211589871946e-16,1.0,1.2905060655034829e-08,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_postcentral,0.1573624036901667,0.026379389643711414,5.965354233572283,3.145865086842439e-09,1299,1.6956755048932338e-16,0.9999999999999998,7.024250778486863e-09,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_posteriorcingulate,0.16962258502992852,0.026478838327611928,6.405967774388629,2.0868511603890903e-10,1299,-6.016913081879216e-17,1.0000000000000002,1.293847719441236e-09,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_precentral,0.14903828384750364,0.0265689883281953,5.609482830377195,2.4788808528359224e-08,1299,-1.640976295057968e-17,1.0,2.7943747795604942e-08,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_precuneus,0.1724132763273216,0.026276179553410547,6.561580840809219,7.681474115972194e-11,1299,-2.73496049176328e-18,1.0,7.937523253171267e-10,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_rostralanteriorcingulate,0.15817683806920674,0.026195796446042603,6.038252679013411,2.0323544956785278e-09,1299,-6.016913081879216e-17,1.0,5.0402391492827485e-09,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
