roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.0,0.0,,,660,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_caudalanteriorcingulate,0.13032439052843486,0.07663223541971972,1.7006471208185396,0.08948466388042696,660,8.074349270001139e-17,1.0,0.35348778702632544,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_caudalmiddlefrontal,0.07206807988943242,0.0766471163649094,0.9402582028829809,0.3474322812578339,660,-2.691449756667046e-16,0.9999999999999998,0.45681371916567665,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_cuneus,0.13881122021877268,0.07676428518719672,1.808278679079325,0.07102234419997948,660,1.3457248783335231e-17,1.0,0.35348778702632544,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_entorhinal,-0.2264565993155972,0.07812667892145808,-2.898582180144345,0.0038741159461599737,660,1.0765799026668185e-17,0.9999999999999999,0.12009759433095919,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_fusiform,0.015034449610974488,0.07702612664071617,0.19518636424627442,0.845307675725486,660,9.420074148334662e-17,1.0,0.873484598249669,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_inferiorparietal,-0.002666690580112773,0.076548007869287,-0.0348368384016786,0.9722204753527071,660,4.306319610667274e-17,0.9999999999999998,0.9881585159322597,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_inferiortemporal,-0.05318734101637242,0.0769430155790591,-0.6912562578434729,0.4896498066013988,660,2.2877322931669892e-17,1.0,0.6019117996418832,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_isthmuscingulate,0.051046965717983034,0.07650017342083423,0.6672790849397053,0.5048292513125472,660,1.4802973661668753e-16,1.0,0.6019117996418832,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_lateraloccipital,0.0831386902367076,0.07709626796066525,1.0783750295037007,0.28126399683665454,660,-1.2380668880668413e-16,0.9999999999999998,0.44367698068855144,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_lateralorbitofrontal,0.10933681090937218,0.07707862582254549,1.4185101218733869,0.15651823006541765,660,-1.0765799026668185e-16,0.9999999999999999,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_lingual,0.10789673383872238,0.07711496769709313,1.399167205289377,0.16223693632605657,660,2.4223047810003414e-17,1.0,0.35348778702632544,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_medialorbitofrontal,0.09865056224587296,0.07728363209455126,1.2764741973459621,0.20224102309210237,660,6.99776936733432e-17,1.0,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_middletemporal,-0.031201194419713828,0.07687795664271493,-0.40585358641514435,0.6849829310211439,660,5.382899513334092e-18,1.0,0.7450691530405426,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_parahippocampal,-0.08232260956209515,0.07855170611211067,-1.0480053666129487,0.29502327559296876,660,-8.074349270001139e-17,1.0,0.44367698068855144,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_paracentral,0.17676580046297738,0.07675022340031538,2.3031307614702135,0.02158437823753161,660,1.2111523905001707e-16,1.0,0.27675026227986904,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsopercularis,0.12192774684590373,0.0768622270908983,1.5863155604600208,0.11315109852017395,660,6.190334440334207e-17,1.0,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsorbitalis,0.12096868346514589,0.0773751968795898,1.563403885787789,0.11844135462645572,660,-9.285501660501309e-17,1.0,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parstriangularis,0.07077961964137607,0.07743561934403649,0.9140447282653132,0.36103019740513154,660,-1.4264683710335345e-16,0.9999999999999999,0.45681371916567665,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_pericalcarine,0.17082410491249858,0.07776187226701115,2.196759156285993,0.02838778430316842,660,-1.6148698540002276e-17,1.0,0.27675026227986904,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_postcentral,0.1318392568233152,0.07665242169207905,1.7199620561621336,0.08591242078197836,660,1.049665405100148e-16,1.0,0.35348778702632544,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_posteriorcingulate,0.10205902591278145,0.07692395889863556,1.3267521247478558,0.1850537486625009,660,-1.74944234183358e-16,1.0,0.35348778702632544,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_precentral,0.12054630365180195,0.07732353887604686,1.5589858586923078,0.11948347908018284,660,-1.049665405100148e-16,1.0,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_precuneus,0.07103969064758762,0.07658393868807956,0.9276056032705079,0.3539543917049961,660,-1.5610408588668867e-16,0.9999999999999998,0.45681371916567665,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_rostralanteriorcingulate,0.09942462456976388,0.07616515175335939,1.3053820846011588,0.19222181770708813,660,-6.728624391667616e-17,1.0,0.35348778702632544,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_rostralmiddlefrontal,0.08487744163364448,0.07667905043073632,1.1069182672040745,0.2687362359715397,660,1.0362081563168128e-16,0.9999999999999998,0.4384643850061964,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_superiorfrontal,0.10434067649555606,0.07649771076727538,1.3639712280147278,0.17304585132309036,660,3.768029659333865e-17,0.9999999999999999,0.35348778702632544,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_superiorparietal,0.10134001884030483,0.07671228062230134,1.321040360398878,0.18694992377668657,660,5.921189464667501e-17,1.0,0.35348778702632544,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_superiortemporal,0.03782548935471301,0.07701855631407817,0.49112176551923914,0.6235050894540806,660,1.3457248783335231e-17,1.0000000000000002,0.715876213817648,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_supramarginal,0.05199590986400497,0.07666155821795462,0.6782527132591887,0.49785137934545465,660,2.153159805333637e-17,1.0,0.6019117996418832,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_frontalpole,0.0,0.0,,,660,0.0,0.0,,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_temporalpole,0.0,0.0,,,660,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_transversetemporal,0.1401172026744766,0.07706430385439968,1.8181855368369384,0.06949310766393427,660,6.45947941600091e-17,0.9999999999999999,0.35348778702632544,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_insula,0.10618866515018774,0.07676436665702828,1.383306731684804,0.1670428530442058,660,8.343494245667843e-17,0.9999999999999998,0.35348778702632544,LH,insula,insula,,insula,fastsurfer_cortical_volume,
rh_bankssts,0.0,0.0,,,660,0.0,0.0,,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_caudalanteriorcingulate,0.1699495240592623,0.07708586734127655,2.2046781066477124,0.027824095476372063,660,-1.2649813856335117e-16,0.9999999999999998,0.27675026227986904,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_caudalmiddlefrontal,0.07682761043841611,0.07668400376047226,1.0018727070953732,0.31677561200934534,660,1.0765799026668185e-16,1.0,0.4503274938025425,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_cuneus,0.12436947178378198,0.07671176381363869,1.621256839901655,0.1054445543436223,660,-5.382899513334092e-18,1.0,0.35348778702632544,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_entorhinal,-0.2525301458208838,0.07827447736221095,-3.226213119920483,0.0013169526189980637,660,-9.958364099668071e-17,1.0,0.08165106237787995,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_fusiform,-0.015762811855373204,0.07711767964571271,-0.2043994571386138,0.83810494597539,660,1.7225278442669095e-16,1.0,0.873484598249669,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_inferiorparietal,-9.343601164444912e-05,0.0767678556237455,-0.0012171241580903023,0.9990292468196253,660,-4.0371746350005693e-17,1.0,0.9990292468196253,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_inferiortemporal,-0.03596186748385654,0.07724832245054924,-0.46553590217933394,0.6417027166948838,660,-3.49888468366716e-17,1.0,0.7233739715469599,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_isthmuscingulate,0.08031403962549899,0.07667854624339282,1.0474121323396821,0.2952964718791203,660,1.345724878333523e-16,1.0,0.44367698068855144,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_lateraloccipital,0.07327622913907328,0.07684442460245919,0.9535659811125488,0.3406556840376892,660,1.8840148296669324e-17,1.0,0.45681371916567665,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_lateralorbitofrontal,0.11053760550429413,0.0771312154673962,1.4331111578426896,0.15230392458708428,660,1.3188103807668527e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_lingual,0.11859875933156448,0.07722463125218824,1.535763362135884,0.12508004991099786,660,1.0227509075334776e-16,1.0,0.35348778702632544,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_medialorbitofrontal,0.10225297042102055,0.076819264621794,1.3310849944274379,0.18362487496915544,660,1.2380668880668413e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_middletemporal,-0.01795378280334932,0.07670943490530564,-0.23404921214075503,0.8150200206154483,660,2.6914497566670462e-17,1.0,0.8712282978992723,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_parahippocampal,-0.03395937631277652,0.07834404182073457,-0.43346469653023206,0.6648201421981019,660,-3.768029659333865e-17,1.0,0.7360508717193271,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_paracentral,0.1619509179846743,0.07695201001586925,2.10457034132411,0.03570971126191859,660,7.53605931866773e-17,0.9999999999999998,0.27675026227986904,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parsopercularis,0.12069243298096705,0.07634672650348481,1.5808462066210278,0.11439668786713966,660,-1.6148698540002277e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parsorbitalis,0.11607683811290176,0.07705634619016913,1.5063890756827876,0.13245015954941985,660,-1.3860966246835288e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parstriangularis,0.07309890680505132,0.07746676142654563,0.9436164034605226,0.3457141598930136,660,-5.921189464667501e-17,1.0,0.45681371916567665,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_pericalcarine,0.1645437450519389,0.07721559597995731,2.1309651627198365,0.0334643612907501,660,7.805204294334434e-17,1.0,0.27675026227986904,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_postcentral,0.1475561563718031,0.07668808898347149,1.9241078807375909,0.05477468781517827,660,-4.0371746350005693e-17,0.9999999999999999,0.35348778702632544,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_posteriorcingulate,0.09679355286277083,0.07701638948294467,1.25679161945401,0.20927778319183982,660,-4.306319610667274e-17,1.0,0.35348778702632544,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_precentral,0.12954534920266778,0.07729057607216076,1.6760820760569881,0.09420005734032487,660,-1.8301858345335913e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_precuneus,0.07942639791204362,0.07666169697532663,1.0360636542862702,0.3005553740148252,660,6.728624391667616e-17,0.9999999999999999,0.44367698068855144,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_rostralanteriorcingulate,0.17773178241560075,0.07655143163547569,2.3217303532862443,0.020553758706167536,660,-1.5610408588668867e-16,1.0,0.27675026227986904,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_rostralmiddlefrontal,0.09544839862846236,0.0762258639148442,1.252178640245949,0.21095238903183938,660,5.921189464667501e-17,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_superiorfrontal,0.09920458975647153,0.07652236167922875,1.2964130690623947,0.19529046895755828,660,1.2111523905001707e-16,1.0,0.35348778702632544,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_superiorparietal,0.09941602512943185,0.07670662188847464,1.2960553167622852,0.1954136124287885,660,-4.844609562000683e-17,1.0000000000000002,0.35348778702632544,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_superiortemporal,0.04920127100250853,0.07721327891806573,0.6372125584087431,0.5242093940158203,660,2.583791766400364e-16,1.0,0.6132260835656766,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_supramarginal,0.07619094956463789,0.07649199329098644,0.996064375977191,0.31958725366632046,660,-5.3828995133340925e-17,0.9999999999999999,0.4503274938025425,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_frontalpole,0.0,0.0,,,660,0.0,0.0,,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_temporalpole,0.0,0.0,,,660,0.0,0.0,,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_transversetemporal,0.13586396116938654,0.0771481020003234,1.7610797627764971,0.07869218326790502,660,-1.2111523905001707e-16,1.0,0.35348778702632544,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_insula,0.10346406275230902,0.07695711402999918,1.3444379256734729,0.1792729379195434,660,5.921189464667501e-17,0.9999999999999998,0.35348778702632544,RH,insula,insula,,insula,fastsurfer_cortical_volume,
