roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.0,0.0,,,997,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_caudalanteriorcingulate,0.0901480886277693,0.06193538509646514,1.4555183355583003,0.14584251509145377,997,-1.496629633998205e-16,0.9999999999999999,0.4143850636879326,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_caudalmiddlefrontal,0.04924772989330632,0.06200783861650008,0.7942178116848869,0.42725878281586516,997,-2.13804233428315e-16,1.0,0.5094239333573777,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_cuneus,0.12041431013385491,0.06214915343533312,1.9375052350334478,0.05296746701372568,997,4.6324250576134916e-17,0.9999999999999999,0.4143850636879326,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_entorhinal,-0.08826177556606617,0.06235032766583637,-1.4155783757721527,0.1572131701018492,997,-1.1581062644033729e-17,0.9999999999999999,0.4143850636879326,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_fusiform,0.050693202161951105,0.06225280845070816,0.8143118908778234,0.4156619278090904,997,6.057786613802258e-17,0.9999999999999999,0.5053145004737962,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_inferiorparietal,0.031055874801455937,0.062013802266551184,0.500789722068159,0.6166303236622448,997,4.9887654466606835e-17,1.0,0.6707207029308627,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_inferiortemporal,0.01274605013502885,0.0622472447880824,0.20476488844481605,0.837797868033865,997,1.28282540056989e-16,1.0,0.839239885581078,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_isthmuscingulate,0.051591844943948834,0.06170509234771545,0.836103520487786,0.40329821719128955,997,2.619101859496859e-16,0.9999999999999999,0.500089789317199,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_lateraloccipital,0.08716668498502365,0.061920132164349405,1.4077276959562108,0.15952530880588153,997,-6.41412700284945e-17,1.0,0.4143850636879326,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_lateralorbitofrontal,0.07332646298239134,0.062250672314816055,1.1779224264689456,0.23911031881256406,997,7.483148169991026e-17,0.9999999999999999,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_lingual,0.09133485187832453,0.06229667148273644,1.4661273179520533,0.1429308278503988,997,1.4253615561887666e-16,0.9999999999999999,0.4143850636879326,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_medialorbitofrontal,0.07109523482414745,0.06251755815817107,1.137204281783921,0.25572778438488925,997,2.13804233428315e-17,1.0,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_middletemporal,0.012569442420056788,0.06194310817447542,0.20291914291178909,0.839239885581078,997,-1.4253615561887666e-16,0.9999999999999999,0.839239885581078,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_parahippocampal,-0.025886518125418225,0.06306405705928257,-0.4104797460316251,0.681542788705411,997,-1.2471913616651708e-16,0.9999999999999999,0.7161975067751777,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_paracentral,0.10139367270675828,0.0621598473582654,1.6311763464019504,0.10317084424324438,997,-1.2115573227604516e-16,1.0,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsopercularis,0.09092807145397773,0.06244264991397588,1.4561853409367602,0.14565812277431095,997,-3.5634038904719165e-17,0.9999999999999999,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parsorbitalis,0.08235367897626306,0.06247585218200646,1.3181681577763509,0.18775195545325063,997,-6.41412700284945e-17,1.0000000000000002,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_parstriangularis,0.040821204165668534,0.06261612088663876,0.6519280272818545,0.514598769792298,997,-1.5857147312600029e-16,1.0000000000000002,0.5908356245763421,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_pericalcarine,0.1260146618942117,0.06260179865034217,2.012955931155549,0.0443893165365005,997,-1.3006424200222496e-16,0.9999999999999998,0.4143850636879326,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_postcentral,0.10039928556290327,0.061992084903569014,1.6195500719015674,0.10564712265952697,997,-8.5521693371326e-17,1.0,0.4143850636879326,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_posteriorcingulate,0.05919951605511025,0.062395249896866754,0.9487824177795787,0.34296259400804696,997,-7.126807780943833e-17,1.0,0.47252624063330917,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_precentral,0.0862693014439829,0.06250011673578505,1.3803062450055965,0.1678036433740264,997,5.701446224755067e-17,1.0,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_precuneus,0.06911454711402198,0.0618497884142967,1.1174581010861797,0.26406933727771775,997,-1.1402892449510133e-16,1.0,0.4143850636879326,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_rostralanteriorcingulate,0.06870208655937264,0.061589248332762636,1.1154883103651438,0.26491164542435947,997,-1.1046552060462942e-16,1.0,0.4143850636879326,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_rostralmiddlefrontal,0.05736981366759308,0.061853012542189556,0.9275185041061902,0.3538832264893177,997,1.6391657896170816e-16,1.0,0.4741132785241336,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_superiorfrontal,0.07688942246029909,0.06187246517758052,1.2427082425052616,0.214269323156128,997,2.0311402175689924e-16,1.0,0.4143850636879326,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_superiorparietal,0.078650969579056,0.062023513699439266,1.268083100873517,0.20506610712915072,997,-1.28282540056989e-16,1.0,0.4143850636879326,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_superiortemporal,0.056351243727018024,0.06213688998581615,0.9068887055641375,0.3646861100475698,997,-1.069021167141575e-17,1.0,0.4741132785241336,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_supramarginal,0.05251500568462156,0.0618596651430732,0.8489377619998639,0.3961209432694386,997,1.9955061786642734e-16,1.0,0.500089789317199,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_frontalpole,0.0,0.0,,,997,0.0,0.0,,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_temporalpole,0.0,0.0,,,997,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_transversetemporal,0.11264761492838836,0.06239116488620929,1.8055058778568753,0.07129892858746033,997,-1.7817019452359583e-17,1.0000000000000002,0.4143850636879326,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_insula,0.0761990870286163,0.06187623784332766,1.2314757600737538,0.21843712745519153,997,-6.592297197373046e-17,1.0,0.4143850636879326,LH,insula,insula,,insula,fastsurfer_cortical_volume,
rh_bankssts,0.0,0.0,,,997,0.0,0.0,,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_caudalanteriorcingulate,0.09734999045040255,0.06237062547992704,1.5608307548836917,0.1188829574363478,997,-8.730339531656196e-17,1.0,0.4143850636879326,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_caudalmiddlefrontal,0.06724210040461588,0.06212787926983763,1.0823176518317301,0.27937468626867273,997,3.5634038904719165e-17,0.9999999999999999,0.42246903777213923,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_cuneus,0.09401843748068334,0.06192862735922772,1.5181740899134277,0.1292894544061045,997,-7.839488559038217e-17,0.9999999999999999,0.4143850636879326,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_entorhinal,-0.07538907905466725,0.06255878613214347,-1.2050917819188858,0.228455559770364,997,1.069021167141575e-17,1.0,0.4143850636879326,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_fusiform,0.04541599880268948,0.06232987462206335,0.728639341536767,0.4663944529004588,997,-1.496629633998205e-16,0.9999999999999999,0.5455935109401593,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_inferiorparietal,0.03583297249601825,0.061944530489425415,0.5784687076147154,0.5630791528215557,997,1.1402892449510133e-16,0.9999999999999999,0.634743772271572,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_inferiortemporal,0.029226553808144082,0.062159779134922676,0.4701843252162392,0.6383267853962251,997,1.3897275172840476e-16,1.0,0.6823493223201027,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_isthmuscingulate,0.060488867751041224,0.06198708666973249,0.9758301446449035,0.3293867823908392,997,2.0311402175689924e-16,0.9999999999999999,0.464135920641637,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_lateraloccipital,0.07885896361768073,0.06200800622129194,1.2717545430545163,0.2037587119492854,997,-2.387480606616184e-16,1.0,0.4143850636879326,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_lateralorbitofrontal,0.07887252498829511,0.06219750807513673,1.268097829466325,0.20506085012500447,997,-4.9887654466606835e-17,1.0,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_lingual,0.09178653150096085,0.06226730586940097,1.4740726328110823,0.14077961402347555,997,1.4253615561887667e-17,0.9999999999999999,0.4143850636879326,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_medialorbitofrontal,0.07976346824284998,0.062222065775767804,1.281916105619136,0.2001718956110221,997,1.069021167141575e-16,0.9999999999999999,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_middletemporal,0.033977233835402645,0.06188774559465432,0.5490139204284975,0.5831195721361124,997,8.5521693371326e-17,0.9999999999999998,0.6455966691506959,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_parahippocampal,0.013773893716611342,0.06297508555185662,0.21871973012675427,0.826913413015773,997,2.4943827233303418e-17,0.9999999999999999,0.839239885581078,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_paracentral,0.10483798378770814,0.06216252279294256,1.6865143027884097,0.0920115251860189,997,1.4253615561887667e-17,0.9999999999999999,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parsopercularis,0.08967115666830154,0.06202666668560743,1.4456871771429352,0.14858111910474983,997,6.770467391896642e-17,1.0,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parsorbitalis,0.08193128881390319,0.06252076022652454,1.310465332108097,0.19034209631762947,997,3.5634038904719165e-17,1.0,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_parstriangularis,0.061247989635920506,0.06230170409572763,0.9830869078927911,0.32580461183722265,997,5.345105835707875e-17,1.0,0.464135920641637,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_pericalcarine,0.12402468105896958,0.06215801283804059,1.9953128389436978,0.04628219518585282,997,-6.41412700284945e-17,1.0,0.4143850636879326,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
rh_postcentral,0.11236856068607896,0.06206452366165425,1.810511932688922,0.0705191911416449,997,7.126807780943833e-17,1.0,0.4143850636879326,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_posteriorcingulate,0.07139043266255829,0.06215803849634853,1.1485309766773306,0.25102658076425327,997,-1.2115573227604516e-16,1.0,0.4143850636879326,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_precentral,0.08639405652252583,0.06257503161194901,1.3806474291261637,0.1676986943307627,997,1.8529700230453966e-16,1.0,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_precuneus,0.06947356673683983,0.061963134015500076,1.1212080834946312,0.26247091299518027,997,-1.8173359841406774e-16,1.0,0.4143850636879326,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_rostralanteriorcingulate,0.09820845949148557,0.06150256044847628,1.5968190393269825,0.11062485305195828,997,-1.6391657896170816e-16,0.9999999999999999,0.4143850636879326,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
rh_rostralmiddlefrontal,0.0556432610879087,0.06166035241200914,0.9024155541003925,0.3670554414380389,997,9.977530893321367e-17,0.9999999999999999,0.4741132785241336,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_superiorfrontal,0.07150017089140193,0.061938925957145605,1.1543656882405673,0.24862856985059092,997,6.41412700284945e-17,1.0,0.4143850636879326,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_superiorparietal,0.06883350991946376,0.062022147842082036,1.1098214478918804,0.26734520237931136,997,-8.5521693371326e-17,1.0,0.4143850636879326,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_superiortemporal,0.06184217730682656,0.0621720916970281,0.9946935291833312,0.3201281506647924,997,2.102408295378431e-16,0.9999999999999999,0.464135920641637,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_supramarginal,0.07356763710476592,0.062006156908175764,1.186456970937764,0.23572624257901964,997,-2.0667742564737117e-16,0.9999999999999999,0.4143850636879326,RH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
rh_frontalpole,0.0,0.0,,,997,0.0,0.0,,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
rh_temporalpole,0.0,0.0,,,997,0.0,0.0,,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_transversetemporal,0.10384440745658721,0.06238982030431198,1.6644447275224827,0.0963397050175507,997,1.2115573227604516e-16,1.0,0.4143850636879326,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
rh_insula,0.07552858945784288,0.06187350125620419,1.2206936398361563,0.2224923997453915,997,-2.13804233428315e-16,1.0,0.4143850636879326,RH,insula,insula,,insula,fastsurfer_cortical_volume,
