roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.0,0.0,,,1272,0.0,0.0,,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_caudalanteriorcingulate,-0.03717340730267089,0.02711762964270973,-1.3708206724721805,0.17067383557459045,1272,-1.9551097288996466e-17,1.0,0.7255818821480851,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_caudalmiddlefrontal,-0.015521146864943844,0.027096227361959668,-0.5728157893572279,0.5668711435840716,1272,-1.7595987560096822e-16,1.0,0.7255818821480851,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,
lh_cuneus,-0.03083150453115505,0.027204913033000593,-1.1333064911383934,0.2573001377675676,1272,1.7595987560096822e-16,1.0,0.7255818821480851,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
lh_entorhinal,0.07295202547237066,0.027408951618745042,2.661613128700574,0.007875146333418606,1272,-2.0249350763603485e-16,0.9999999999999999,0.3743475060176568,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_fusiform,0.013216992917146803,0.02721355337132438,0.48567685141308625,0.6272803408250098,1272,-1.0613452814026654e-16,1.0,0.7337996439839738,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_inferiorparietal,0.016137843808557213,0.027110979145482012,0.5952512346366712,0.5517819300304783,1272,5.306726407013327e-17,1.0,0.7255818821480851,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,
lh_inferiortemporal,0.027016092036902858,0.027217889734804154,0.9925858433601025,0.3211014970756438,1272,-7.820438915598586e-17,1.0,0.7255818821480851,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,
lh_isthmuscingulate,-0.010360526441315564,0.02700451453968276,-0.3836590517519178,0.7012955856786727,1272,-1.67580833905684e-17,1.0,0.7713292364871233,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,
lh_lateraloccipital,-0.009671658538699156,0.027133595070159427,-0.3564458935018053,0.7215660599395669,1272,-7.54113752575578e-17,0.9999999999999999,0.7713292364871233,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,
