roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_bankssts,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_caudalanteriorcingulate,0.09250595040827424,0.09250595040827424,0.09250595040827424,602,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,,MCI
lh_caudalmiddlefrontal,0.0493504046226607,0.0493504046226607,0.0493504046226607,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_cuneus,0.1256948645236624,0.1256948645236624,0.1256948645236624,602,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,,MCI
lh_entorhinal,-0.08760193887544941,-0.08760193887544941,-0.08760193887544941,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_fusiform,0.05326494019050695,0.05326494019050695,0.05326494019050695,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_inferiorparietal,0.029272746820174386,0.029272746820174386,0.029272746820174386,602,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,,MCI
lh_inferiortemporal,0.00676754599089988,0.00676754599089988,0.00676754599089988,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_isthmuscingulate,0.04861872181324407,0.04861872181324407,0.04861872181324407,602,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,,MCI
lh_lateraloccipital,0.08936479946753512,0.08936479946753512,0.08936479946753512,602,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,,MCI
lh_lateralorbitofrontal,0.0708166086380928,0.0708166086380928,0.0708166086380928,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_lingual,0.09019055966617841,0.09019055966617841,0.09019055966617841,602,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,,MCI
lh_medialorbitofrontal,0.07290017829128408,0.07290017829128408,0.07290017829128408,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_middletemporal,0.005757341596385762,0.005757341596385762,0.005757341596385762,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_parahippocampal,-0.02665433161034738,-0.02665433161034738,-0.02665433161034738,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_paracentral,0.10255687456463133,0.10255687456463133,0.10255687456463133,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_parsopercularis,0.08618551382240926,0.08618551382240926,0.08618551382240926,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_parsorbitalis,0.07886599006756648,0.07886599006756648,0.07886599006756648,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_parstriangularis,0.03764773802113864,0.03764773802113864,0.03764773802113864,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_pericalcarine,0.1317727458944529,0.1317727458944529,0.1317727458944529,602,LH,occipital,occipital,,occipital,fastsurfer_cortical_volume,,MCI
lh_postcentral,0.10080257094530634,0.10080257094530634,0.10080257094530634,602,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,,MCI
lh_posteriorcingulate,0.05526885886565469,0.05526885886565469,0.05526885886565469,602,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,,MCI
lh_precentral,0.0820899588437356,0.0820899588437356,0.0820899588437356,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_precuneus,0.07152658485315981,0.07152658485315981,0.07152658485315981,602,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,,MCI
lh_rostralanteriorcingulate,0.07094579846350048,0.07094579846350048,0.07094579846350048,602,LH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,,MCI
lh_rostralmiddlefrontal,0.05946480091434487,0.05946480091434487,0.05946480091434487,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_superiorfrontal,0.07610127515383318,0.07610127515383318,0.07610127515383318,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_superiorparietal,0.076992455273379,0.076992455273379,0.076992455273379,602,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,,MCI
lh_superiortemporal,0.05324684861950798,0.05324684861950798,0.05324684861950798,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_supramarginal,0.04252395983330227,0.04252395983330227,0.04252395983330227,602,LH,parietal,parietal,,parietal,fastsurfer_cortical_volume,,MCI
lh_frontalpole,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
lh_temporalpole,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_transversetemporal,0.11760168751360864,0.11760168751360864,0.11760168751360864,602,LH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
lh_insula,0.07613877796464943,0.07613877796464943,0.07613877796464943,602,LH,insula,insula,,insula,fastsurfer_cortical_volume,,MCI
rh_bankssts,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
rh_caudalanteriorcingulate,0.09506071217967556,0.09506071217967556,0.09506071217967556,602,RH,cingulate,cingulate,,cingulate,fastsurfer_cortical_volume,,MCI
rh_caudalmiddlefrontal,0.07286865837960997,0.07286865837960997,0.07286865837960997,602,RH,frontal,frontal,,frontal,fastsurfer_cortical_volume,,MCI
rh_cuneus,0.09457228469909154,0.09457228469909154,0.09457228469909154,602,RH,occipital,occipital,,occipital,fastsurfer_cortical_volume,,MCI
rh_entorhinal,-0.0822737484119874,-0.0822737484119874,-0.0822737484119874,602,RH,temporal,temporal,,temporal,fastsurfer_cortical_volume,,MCI
