roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.2747771645790181,0.02405347312648931,11.423596215567509,7.308205856260849e-29,1299,-1.3811550483404564e-16,0.9999999999999999,1.1449522508141994e-27,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Inf-Lat-Vent,0.29210088189897443,0.02492406627142913,11.719631889833904,3.2041128013011584e-30,1299,-1.8324235294813977e-16,0.9999999999999998,1.5059330166115444e-28,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Cerebellum-White-Matter,0.15409751397806676,0.026501757348320856,5.814614931104949,7.64753993107179e-09,1299,2.187968393410624e-17,1.0,1.057159931648159e-08,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Cerebellum-Cortex,0.1640116730367749,0.026495893576348812,6.190078948051695,8.057471092808693e-10,1299,2.352066022916421e-16,1.0,1.4986333179215002e-09,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Thalamus,0.15012704273966035,0.026537273083769373,5.6572143741280065,1.8918395755889894e-08,1299,7.931385426113512e-17,1.0,2.4699016681300694e-08,LH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
Left-Caudate,0.2074642906968227,0.026155196139632804,7.932048744320191,4.62979973949235e-15,1299,-4.649432835997576e-17,1.0,2.1760058775614046e-14,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Putamen,0.1716453923619186,0.02649817736859308,6.4776301393982285,1.3205753951811307e-10,1299,-4.2391887622330845e-17,1.0,3.103352178675657e-10,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Pallidum,0.1625459913416389,0.026354409606326904,6.167696175694882,9.246886429728406e-10,1299,-1.9965211589871946e-16,1.0,1.4986333179215002e-09,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
3rd-Ventricle,0.2728800780060179,0.0249763169606808,10.925553132417477,1.2173012368079052e-26,1299,-3.281952590115936e-17,1.0,9.535526354995257e-26,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
4th-Ventricle,0.20440754537081215,0.02614503927992703,7.818215271443365,1.1037823574200124e-14,1299,8.751873573642496e-17,0.9999999999999999,4.7161609817036895e-14,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Brain-Stem,0.16841840154605298,0.026403336544885574,6.378678742352972,2.481115321967403e-10,1299,1.1486834065405777e-16,1.0000000000000002,5.552972387260379e-10,,brainstem,brainstem,,,fastsurfer_subcortical_volume,
Left-Hippocampus,0.1327867306939359,0.026787971596682093,4.956953542177961,8.109676541987149e-07,1299,-4.2391887622330845e-17,0.9999999999999999,9.075114225557048e-07,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
Left-Amygdala,0.14114704757845886,0.02664193904814282,5.297926976088404,1.375323188614295e-07,1299,1.8871227393166633e-16,0.9999999999999998,1.7010576280229437e-07,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
CSF,0.24068894249431702,0.02556857398283811,9.413467589388048,2.1174663457881886e-20,1299,1.9691715540695618e-16,1.0,1.1057879805782763e-19,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Accumbens-area,0.11257897821793213,0.026815376072957413,4.198299435056777,2.8730759352366743e-05,1299,-1.36748024588164e-18,1.0,2.9355341077418194e-05,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-VentralDC,0.16136310929940004,0.026441518037403515,6.102641651328028,1.3762253614673275e-09,1299,9.298865671995153e-17,0.9999999999999998,2.086535225450464e-09,LH,ventral_diencephalon,ventral_diencephalon,,,fastsurfer_subcortical_volume,
Left-vessel,0.0,0.0,,,1299,0.0,0.0,,LH,vessel,vessel,,,fastsurfer_subcortical_volume,
Left-choroid-plexus,0.24219088800868094,0.025581352745143456,9.46747775309342,1.3072983255448715e-20,1299,3.008456540939608e-17,1.0,7.68037766257612e-20,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Lateral-Ventricle,0.27262056010081565,0.024275565263739845,11.230245604539066,5.442219369818355e-28,1299,2.73496049176328e-18,1.0,6.3946077595365676e-27,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Inf-Lat-Vent,0.2826374920403454,0.025235589060047473,11.199956195506921,7.43509927657774e-28,1299,-1.640976295057968e-17,1.0,6.988993319983075e-27,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Cerebellum-White-Matter,0.15247143203491806,0.026503485946155064,5.7528821810339075,1.0938392184961317e-08,1299,-9.435613696583317e-17,1.0000000000000002,1.4688698076948053e-08,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Right-Cerebellum-Cortex,0.1635589471081211,0.026483534680839423,6.175873012391144,8.793730941082867e-10,1299,-3.008456540939608e-17,0.9999999999999998,1.4986333179215002e-09,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Right-Thalamus,0.15676949811056715,0.026491739721082444,5.917674707705515,4.175630991717157e-09,1299,-2.1332691835753585e-16,1.0,5.947110806385042e-09,RH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
Right-Caudate,0.20208029892033882,0.026174834033770134,7.720404211909032,2.3081350663730136e-14,1299,-3.1178549606101393e-16,0.9999999999999998,9.040195676627637e-14,RH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
