roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.44098212731455716,0.0675283167835982,6.530329028157656,1.3184112050187256e-10,660,-1.8840148296669324e-17,1.0,1.5491331658970027e-09,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Inf-Lat-Vent,0.6923152631806078,0.06831828211876659,10.133674936045168,1.6257042953481067e-22,660,-9.420074148334662e-17,1.0,3.820405094068051e-21,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Cerebellum-White-Matter,0.18751191172849324,0.07708769729303791,2.432449253422286,0.015264271253257924,660,-9.958364099668071e-17,1.0,0.04210479373159637,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Cerebellum-Cortex,0.1741550627911968,0.07705504091196684,2.26013847673073,0.024140727141844957,660,-1.6148698540002276e-17,1.0,0.05662290097825537,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Thalamus,0.12207170348515761,0.07739431027779053,1.5772697378787537,0.11521702406445374,660,5.652044489000796e-17,1.0,0.14250526660603488,LH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
Left-Caudate,0.2001398538697971,0.07597312880330602,2.63435055291665,0.00862936812410011,660,-1.8840148296669324e-17,1.0,0.03425953041472293,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Putamen,0.1365422940360333,0.077244685598176,1.7676593927292457,0.07758410517058927,660,3.49888468366716e-17,0.9999999999999999,0.11049857403083926,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Pallidum,0.1906806939185559,0.07674349472973269,2.48464960567766,0.013216956926148405,660,-1.1842378929335003e-16,1.0,0.039257816282256934,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
3rd-Ventricle,0.3217773867061671,0.07239707974949043,4.444618316368375,1.03412976237336e-05,660,2.2608177956003185e-16,0.9999999999999998,6.943442690221132e-05,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
4th-Ventricle,0.16089578149928935,0.0758768128903952,2.1204868176488234,0.03434081129316922,660,1.0765799026668185e-17,1.0,0.062077620414575124,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Brain-Stem,0.16860502359081458,0.07693131942755171,2.191630467869389,0.02875809425224221,660,-3.364312195833808e-17,1.0,0.0582719540128635,,brainstem,brainstem,,,fastsurfer_subcortical_volume,
Left-Hippocampus,-0.11952488598461262,0.07857118161165158,-1.5212306030394214,0.12868529786926697,660,1.5341263613002163e-16,1.0,0.15508228204757815,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
Left-Amygdala,-0.15147162167387979,0.07819916457457514,-1.936997952573111,0.0531759190926725,660,9.689219124001366e-17,1.0,0.08260875809426262,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
CSF,0.37675377001634713,0.07289361785870375,5.168542611599315,3.138232956011913e-07,660,-1.2111523905001707e-16,0.9999999999999999,2.458282482209332e-06,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Accumbens-area,0.022933960857463586,0.07811723251043093,0.29358388822083825,0.769169028768824,660,-4.306319610667274e-17,1.0,0.769169028768824,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-VentralDC,0.14862936473997065,0.07715367073561938,1.92640691392734,0.054486627679194495,660,1.6686988491335685e-16,1.0,0.08260875809426262,LH,ventral_diencephalon,ventral_diencephalon,,,fastsurfer_subcortical_volume,
Left-vessel,0.0,0.0,,,660,0.0,0.0,,LH,vessel,vessel,,,fastsurfer_subcortical_volume,
Left-choroid-plexus,0.29495595892155996,0.07375678331825877,3.9990350128046117,7.085678404580323e-05,660,7.805204294334434e-17,1.0,0.000416283606269094,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Lateral-Ventricle,0.4776256987926301,0.06778749360912605,7.045926517754134,4.684674083766397e-12,660,-6.055761952500853e-17,1.0,7.339322731234022e-11,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Inf-Lat-Vent,0.7029549436284351,0.06878506524075606,10.219586783381068,7.588418843601264e-23,660,-1.049665405100148e-16,1.0,3.566556856492594e-21,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Cerebellum-White-Matter,0.1860559263820468,0.07712711643715034,2.4123283091188923,0.01612524015252627,660,-5.652044489000796e-17,1.0,0.04210479373159637,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Right-Cerebellum-Cortex,0.17273205327008564,0.07704573906414788,2.2419416747533543,0.0252995940541141,660,1.1842378929335003e-16,1.0,0.05662290097825537,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
