roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.25611894972661703,0.055951803886979005,4.577492268952932,5.303167227905813e-06,997,-4.9887654466606835e-17,1.0,8.308295323719106e-05,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Inf-Lat-Vent,0.34422293797187425,0.056661314675101264,6.075096208862525,1.7643966434589585e-09,997,1.4253615561887667e-17,0.9999999999999999,4.146332112128552e-08,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Cerebellum-White-Matter,0.10324402450004143,0.06218936117814553,1.66015573313725,0.09719948342051153,997,-1.3362764589269689e-16,0.9999999999999999,0.20141930423180512,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Cerebellum-Cortex,0.10577789067594814,0.06219909440682712,1.7006339350229787,0.08932548598615722,997,3.9197442795191084e-17,1.0,0.20141930423180512,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Thalamus,0.07216079489287842,0.062317537695245576,1.1579532433673776,0.24716210956232504,997,1.318459439474609e-16,1.0,0.32268386526192433,LH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
Left-Caudate,0.11518568156755823,0.061419275288401305,1.8753995553788376,0.06103162402807909,997,-1.4609955950934859e-16,0.9999999999999999,0.20141930423180512,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Putamen,0.07571306772771838,0.06216210594389036,1.2179939301937355,0.22351618688728647,997,7.126807780943833e-18,0.9999999999999999,0.3023513917988116,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Pallidum,0.10261848335687798,0.061782571929978644,1.6609616620230827,0.09703745858589337,997,-1.532263672902924e-16,0.9999999999999999,0.20141930423180512,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
3rd-Ventricle,0.1671709334142005,0.05795435944079244,2.884527325075283,0.004004913387085218,997,1.069021167141575e-17,0.9999999999999999,0.02689013274185789,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
4th-Ventricle,0.08377873546728118,0.06140515737047315,1.364359917878273,0.17276405913290432,997,1.4253615561887666e-16,1.0,0.25028658437117374,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Brain-Stem,0.09759990838686504,0.06194079092833612,1.5756968376426705,0.11541484487078373,997,2.3162125288067458e-17,1.0,0.20141930423180512,,brainstem,brainstem,,,fastsurfer_subcortical_volume,
Left-Hippocampus,-0.058728051566826825,0.06287928378465796,-0.933980923955053,0.35054124199751646,997,2.13804233428315e-17,1.0,0.41107644023987927,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
Left-Amygdala,-0.059822216176823845,0.06246409642993989,-0.95770561964217,0.3384448003202303,997,4.6324250576134916e-17,1.0,0.41107644023987927,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,
CSF,0.19629803072615795,0.059653897736063874,3.290615335726598,0.0010349388295591653,997,-1.069021167141575e-16,0.9999999999999999,0.008107020831546794,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Accumbens-area,0.025778508759053236,0.06318883859327466,0.40795984437980953,0.6833912770608321,997,-9.264850115226983e-17,1.0,0.6833912770608321,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-VentralDC,0.08814803277337117,0.06201069108946351,1.4214973454528836,0.1554868340295298,997,-1.8529700230453966e-16,1.0,0.25028658437117374,LH,ventral_diencephalon,ventral_diencephalon,,,fastsurfer_subcortical_volume,
Left-vessel,0.0,0.0,,,997,0.0,0.0,,LH,vessel,vessel,,,fastsurfer_subcortical_volume,
Left-choroid-plexus,0.16151070953501914,0.05966080466287152,2.7071493662828767,0.006903097670594117,997,-4.6324250576134916e-17,1.0,0.03838374017684545,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Lateral-Ventricle,0.2462847626537669,0.05653204228516566,4.356551659878622,1.4588323467495429e-05,997,1.7817019452359583e-17,0.9999999999999999,0.0001714128007430713,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Inf-Lat-Vent,0.3779116868071854,0.057616491529325776,6.559088843770278,8.704221567902315e-11,997,1.069021167141575e-16,1.0,4.090984136914088e-09,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Right-Cerebellum-White-Matter,0.09869934940296517,0.0621999824998343,1.5868067069508918,0.11287542947938929,997,1.7638849257835986e-16,0.9999999999999999,0.20141930423180512,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Right-Cerebellum-Cortex,0.1066669353976961,0.06215490586979722,1.7161466807003647,0.08644772331879973,997,-2.4943827233303418e-17,0.9999999999999999,0.20141930423180512,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Right-Thalamus,0.07549185472940018,0.062200276416216296,1.213690020028892,0.22515529176507248,997,1.532263672902924e-16,1.0,0.3023513917988116,RH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
