roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-0.11634931753258304,0.024415029739287237,-4.765479246800201,2.10183570268097e-06,1272,1.005485003434104e-16,1.0,2.4696569506501398e-05,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Inf-Lat-Vent,-0.21903234175269373,0.02484268613023019,-8.816773701703738,3.8192792216620015e-18,1272,-3.910219457799293e-17,0.9999999999999999,1.7950612341811408e-16,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
Left-Cerebellum-White-Matter,-0.05467992185380788,0.027261455178097218,-2.0057594686926175,0.04509436998558561,1272,-6.982534746070167e-18,1.0000000000000002,0.17222461163202332,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Cerebellum-Cortex,-0.046762658479041576,0.02726444503579503,-1.7151516716238924,0.08656212536356808,1272,-9.775548644498233e-18,1.0,0.17222461163202332,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,
Left-Thalamus,-0.036251461372425485,0.02732444176933754,-1.326704555520161,0.1848456840904894,1272,6.563582661305957e-17,0.9999999999999998,0.2482213472072286,LH,thalamus,thalamus,,,fastsurfer_subcortical_volume,
Left-Caudate,-0.04143014663375332,0.02689613239797465,-1.540375620580791,0.12371871698117559,1272,1.4104720187061737e-16,1.0,0.20400017217433597,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Putamen,-0.031055334349490895,0.02728460106546777,-1.1382000519258273,0.2552523028464686,1272,-1.4942624356590156e-16,1.0,0.2999214558446006,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
Left-Pallidum,-0.05338550110370383,0.027100257210555093,-1.9699259932821258,0.04906454642353306,1272,1.550122713627577e-16,0.9999999999999999,0.17222461163202332,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,
3rd-Ventricle,-0.08481145583624909,0.025518372554766345,-3.3235448559358827,0.0009142207262592625,1272,8.937644474969814e-17,0.9999999999999998,0.006138339162026476,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
4th-Ventricle,-0.0454540498775605,0.02687361639127951,-1.6914005623861754,0.09100643839324798,1272,8.937644474969814e-17,0.9999999999999999,0.17222461163202332,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,
