roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Left-Lateral-Ventricle,0.3406993939329593,0.3406993939329593,0.3406993939329593,602,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Left-Inf-Lat-Vent,0.48067000368932294,0.48067000368932294,0.48067000368932294,602,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Left-Cerebellum-White-Matter,0.1089924192556925,0.1089924192556925,0.1089924192556925,602,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,,MCI
Left-Cerebellum-Cortex,0.10728856901220664,0.10728856901220664,0.10728856901220664,602,LH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,,MCI
Left-Thalamus,0.07393118822504362,0.07393118822504362,0.07393118822504362,602,LH,thalamus,thalamus,,,fastsurfer_subcortical_volume,,MCI
Left-Caudate,0.12960410985740742,0.12960410985740742,0.12960410985740742,602,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Left-Putamen,0.07895239687348386,0.07895239687348386,0.07895239687348386,602,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Left-Pallidum,0.10854454835352616,0.10854454835352616,0.10854454835352616,602,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
3rd-Ventricle,0.19932664939374362,0.19932664939374362,0.19932664939374362,602,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
4th-Ventricle,0.07983554508397181,0.07983554508397181,0.07983554508397181,602,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Brain-Stem,0.100168729157278,0.100168729157278,0.100168729157278,602,,brainstem,brainstem,,,fastsurfer_subcortical_volume,,MCI
Left-Hippocampus,-0.05919131660376401,-0.05919131660376401,-0.05919131660376401,602,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,,MCI
Left-Amygdala,-0.061761851141124625,-0.061761851141124625,-0.061761851141124625,602,LH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,,MCI
CSF,0.22504402411257876,0.22504402411257876,0.22504402411257876,602,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Left-Accumbens-area,0.024077045930384088,0.024077045930384088,0.024077045930384088,602,LH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Left-VentralDC,0.09085443907933322,0.09085443907933322,0.09085443907933322,602,LH,ventral_diencephalon,ventral_diencephalon,,,fastsurfer_subcortical_volume,,MCI
Left-vessel,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,vessel,vessel,,,fastsurfer_subcortical_volume,,MCI
Left-choroid-plexus,0.18324199715730577,0.18324199715730577,0.18324199715730577,602,LH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Right-Lateral-Ventricle,0.32579587356138456,0.32579587356138456,0.32579587356138456,602,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Right-Inf-Lat-Vent,0.5831381131288601,0.5831381131288601,0.5831381131288601,602,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
Right-Cerebellum-White-Matter,0.10430741468879884,0.10430741468879884,0.10430741468879884,602,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,,MCI
Right-Cerebellum-Cortex,0.10819347511108912,0.10819347511108912,0.10819347511108912,602,RH,cerebellum,cerebellum,,,fastsurfer_subcortical_volume,,MCI
Right-Thalamus,0.07545974041871063,0.07545974041871063,0.07545974041871063,602,RH,thalamus,thalamus,,,fastsurfer_subcortical_volume,,MCI
Right-Caudate,0.12257146365772391,0.12257146365772391,0.12257146365772391,602,RH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Right-Putamen,0.08750449506524394,0.08750449506524394,0.08750449506524394,602,RH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Right-Pallidum,0.11497609353997916,0.11497609353997916,0.11497609353997916,602,RH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Right-Hippocampus,-0.05006937895853487,-0.05006937895853487,-0.05006937895853487,602,RH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,,MCI
Right-Amygdala,-0.0394419653255073,-0.0394419653255073,-0.0394419653255073,602,RH,medial_temporal,medial_temporal,,,fastsurfer_subcortical_volume,,MCI
Right-Accumbens-area,0.03695876043620975,0.03695876043620975,0.03695876043620975,602,RH,basal_ganglia,basal_ganglia,,,fastsurfer_subcortical_volume,,MCI
Right-VentralDC,0.08902136212545553,0.08902136212545553,0.08902136212545553,602,RH,ventral_diencephalon,ventral_diencephalon,,,fastsurfer_subcortical_volume,,MCI
Right-vessel,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,RH,vessel,vessel,,,fastsurfer_subcortical_volume,,MCI
Right-choroid-plexus,0.18763053041589423,0.18763053041589423,0.18763053041589423,602,RH,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
5th-Ventricle,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,,ventricle_csf,ventricle_csf,,,fastsurfer_subcortical_volume,,MCI
WM-hypointensities,0.2860753993889134,0.2860753993889134,0.2860753993889134,602,,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
Left-WM-hypointensities,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
Right-WM-hypointensities,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,RH,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
non-WM-hypointensities,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
Left-non-WM-hypointensities,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,LH,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
Right-non-WM-hypointensities,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,RH,hypointensity,hypointensity,,,fastsurfer_subcortical_volume,,MCI
Optic-Chiasm,-9.338417726177305,-9.338417726177305,-9.338417726177305,602,,optic_chiasm,optic_chiasm,,,fastsurfer_subcortical_volume,,MCI
CC_Posterior,0.08785123876556401,0.08785123876556401,0.08785123876556401,602,,corpus_callosum,corpus_callosum,,,fastsurfer_subcortical_volume,,MCI
CC_Mid_Posterior,0.05501200530738072,0.05501200530738072,0.05501200530738072,602,,corpus_callosum,corpus_callosum,,,fastsurfer_subcortical_volume,,MCI
