roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-1.2798486004193577e-09,,,,817,2.435152582776353e-16,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-9.303949142788886e-10,,,,817,8.696973509915546e-18,1.0,,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-1.9221699537317684e-09,,,,817,3.2722362831057244e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-1.0006632385882621e-09,,,,817,2.152500943704098e-16,1.0,,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-4.2588506873101915e-10,,,,817,-1.0001519536402879e-16,0.9999999999999998,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-9.53464618485496e-10,,,,817,-8.696973509915546e-18,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-1.7581541224917219e-09,,,,817,1.2610611589377544e-16,0.9999999999999999,,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-1.520770634383278e-09,,,,817,-4.305001887408196e-16,0.9999999999999998,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-2.906792571977289e-09,,,,817,4.457198923831718e-16,1.0,,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-1.4346698977507155e-09,,,,817,2.174243377478887e-17,1.0,,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-1.569537183733776e-09,,,,817,-4.892047599327495e-16,0.9999999999999999,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,-1.670258483729105e-09,,,,817,-3.5657591390653743e-16,1.0,,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-1.4992830188580768e-09,,,,817,-1.3045460264873321e-17,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-1.268112249563479e-09,,,,817,2.0872736423797313e-16,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-2.088848662077365e-10,,,,817,2.1742433774788867e-16,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,-1.3311394905096612e-09,,,,817,9.131822185411324e-17,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,-3.894422273030976e-10,,,,817,-1.282803592712543e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,-6.998845297238726e-10,,,,817,-7.392427483428215e-17,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,-4.865940226230912e-10,,,,817,5.1094719370753835e-17,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,-1.3287314308734065e-09,,,,817,2.2394706788032533e-16,1.0,,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,-1.932378884004521e-09,,,,817,9.131822185411324e-17,1.0,,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,-1.1316662106881886e-09,,,,817,1.0653792549646545e-16,1.0,,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,-8.681857871262916e-10,,,,817,4.718108129129184e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,-1.9903207959108852e-09,,,,817,-1.478485496685643e-16,1.0,,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,-2.2663233980329404e-09,,,,817,2.4134101490015645e-16,0.9999999999999998,,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,-1.9004619813243186e-09,,,,817,-1.6089400993343762e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,-1.777015007786011e-09,,,,817,-5.783487384093839e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,-1.9481477742594656e-09,,,,817,-4.60939596025524e-16,1.0,,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,-1.2899949544843822e-09,,,,817,-1.6089400993343762e-16,0.9999999999999999,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,-2.074989166950363e-09,,,,817,5.446479660584612e-16,1.0,,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,-6.050418473582221e-10,,,,817,-1.7393947019831095e-16,1.0,,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,1.1806772851493887e-11,,,,817,-3.413562102641852e-16,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,-5.739986186672085e-10,,,,817,5.870457119192994e-17,1.0,,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,-1.8776696754987457e-09,,,,817,-2.6090920529746642e-17,0.9999999999999999,,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,-1.3114461937591118e-09,,,,817,2.2612131125780423e-16,1.0,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,-1.3508325143375128e-09,,,,817,1.1740914238385988e-16,1.0,,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,-1.8418493349331384e-09,,,,817,1.8263644370822648e-16,1.0,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,-1.4639484341287268e-09,,,,817,3.1961377648939635e-16,1.0,,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_entorhinal,-4.708213876009703e-10,,,,817,1.8263644370822648e-16,1.0,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_fusiform,-1.0264755420702502e-09,,,,817,2.609092052974664e-16,0.9999999999999998,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_inferiorparietal,-2.0533130367755194e-09,,,,817,-9.566670860907102e-17,1.0,,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_inferiortemporal,-1.4849266226571614e-09,,,,817,3.043940728470441e-17,1.0,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_isthmuscingulate,-2.36337476691304e-09,,,,817,-1.228447508275571e-16,1.0,,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_lateraloccipital,-1.7962354491270744e-09,,,,817,-4.0006078145611515e-16,1.0,,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_lateralorbitofrontal,-1.5643217444635834e-09,,,,817,3.870153211912418e-16,1.0,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_lingual,-1.7880681949489186e-09,,,,817,2.0655312086049424e-17,1.0,,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_medialorbitofrontal,-1.6642260089355161e-09,,,,817,3.859281995025024e-16,0.9999999999999998,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_middletemporal,-1.6989395716864495e-09,,,,817,1.0218943874150767e-16,1.0,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_parahippocampal,2.653353076007033e-11,,,,817,3.5657591390653743e-16,1.0,,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_paracentral,-1.320772914365564e-09,,,,817,-1.500227930460432e-16,1.0,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsopercularis,-1.0449693078939754e-09,,,,817,-2.478637450325931e-16,0.9999999999999999,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsorbitalis,-3.750023063312478e-10,,,,817,-6.087881456940882e-17,0.9999999999999999,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parstriangularis,-8.665116701315225e-10,,,,817,-6.087881456940882e-17,1.0,,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_pericalcarine,-1.6242866212949813e-09,,,,817,2.054659991717548e-16,0.9999999999999998,,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_postcentral,-1.8810610389111567e-09,,,,817,9.78409519865499e-17,1.0,,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_posteriorcingulate,-1.3374851721975826e-09,,,,817,-4.544168658930873e-16,0.9999999999999999,,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
