roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.10140093339642586,0.0265109569463949,-3.824868849565044,0.00013707483063301994,1299,-8.478377524466169e-17,1.0,0.0001553514747174226,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.08579185935171037,0.02678774676016282,-3.2026530682041177,0.0013948404714984874,1299,-6.563905180231872e-17,1.0,0.0015298250332564055,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.11813076861601231,0.02554203635755134,-4.624954994282893,4.12222736358166e-06,1299,-3.3298143987217936e-16,0.9999999999999998,4.917744924974611e-06,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.155360834040596,0.025844552252203182,-6.011357152738133,2.3891528170951066e-09,1299,-3.637497454045163e-16,0.9999999999999998,3.778195152615518e-09,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.20329517873952427,0.026122567084614527,-7.7823583754622465,1.4479180451414496e-14,1299,5.196424934350232e-17,1.0,7.032744790687042e-14,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.18494025872451764,0.025105176343845417,-7.366618588594623,3.1067584370608907e-13,1299,2.693936084386831e-16,0.9999999999999998,1.0059979700959075e-12,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.13737768635134162,0.02580586868124846,-5.3235055966616445,1.1988042117457074e-07,1299,-4.020391922892022e-16,1.0,1.5984056156609433e-07,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.16416747655245556,0.02508511694663034,-6.5444174289372015,8.585683777182811e-11,1299,-1.0392849868700464e-16,1.0,1.6680757052812318e-10,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.059370021348601115,0.02420199394988752,-2.4531045446723216,0.014294093523664536,1299,-2.9400825286455263e-16,1.0,0.014507438203122216,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.22215366339115053,0.024838788377008505,-8.943820448053026,1.2700147012211005e-18,1299,-4.10244073764492e-16,1.0,2.8786999894344943e-17,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.19534667468579134,0.024174519023265135,-8.080685059247429,1.4644786197592806e-15,1299,3.6101478491275297e-16,0.9999999999999999,9.958454614363108e-15,LH,frontal,frontal,,frontal,fs8_cortical_volume,
