roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.7550891742569045,0.07116976368725011,-10.609690620515252,2.254748821912813e-24,660,-5.921189464667501e-17,1.0000000000000002,1.0951637135005093e-23,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.04162433151810499,0.07892434446172658,-0.527395340461652,0.5980979392821999,660,-6.594051903834264e-17,1.0,0.6070247741968596,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.49706995701156503,0.07391511783825475,-6.724875391517087,3.8362490712879245e-11,660,-4.2524906155339327e-16,1.0,8.152029276486839e-11,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.18565603695032062,0.07770335199829995,-2.3892925102430915,0.01716321632368678,660,6.99776936733432e-17,0.9999999999999998,0.018235917343917205,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-1.06458574726758,0.06431840581009945,-16.551805565747024,1.1717866132939757e-51,660,2.0185873175002847e-17,1.0,7.968148970399035e-50,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.8246100593447641,0.06788484112545551,-12.147189942167385,9.25662109461027e-31,660,-2.5434200200503587e-16,1.0,6.993891493705538e-30,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.7596855414284073,0.07008919520058952,-10.838839556571445,2.739862114683871e-25,660,-1.4130111222501992e-16,1.0,1.6937329436227565e-24,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.9136560834279199,0.06526172928712339,-13.999875476915856,3.845079655503101e-39,660,-1.224609639283506e-16,0.9999999999999998,6.536635414355272e-38,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.48170099985567133,0.06923356111835732,-6.9576227493510805,8.42098933921073e-12,660,-3.1220817177337734e-16,1.0,1.8471847582784826e-11,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.4496379413669339,0.0720809284987119,-6.2379598977414545,7.960680714628558e-10,660,-2.799107746933728e-16,0.9999999999999999,1.5036841349853943e-09,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.47305231560900846,0.07057060631567277,-6.703248566307839,4.4071149047292385e-11,660,-1.2649813856335117e-16,1.0,9.081327682472369e-11,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,-0.4015352060007186,0.07461270852671444,-5.381592679442168,1.0298633799988896e-07,660,-3.4719701861004897e-16,1.0,1.490015102977117e-07,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-0.462251155978487,0.06936411951777702,-6.664124899041193,5.658927973305348e-11,660,3.0951672201671033e-16,1.0,1.1317855946610696e-10,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-0.9253317706518723,0.06475843234797866,-14.28897731309512,1.6531623848570173e-40,660,-1.4130111222501992e-16,1.0000000000000002,3.7471680723425726e-39,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-0.7958675236588001,0.07349572717879403,-10.828759088575076,3.007995175320809e-25,660,-4.9791820498340354e-17,0.9999999999999998,1.7045305993484583e-24,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,-0.2548287850991027,0.07496255705920414,-3.3994142555441815,0.0007163392793880828,660,1.8772862052752647e-16,1.0,0.0008118511833064938,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,-0.37993358612337713,0.07627353915078318,-4.981197809272968,8.096845607208184e-07,660,-3.014423727467092e-16,0.9999999999999999,1.0388405684719933e-06,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,-0.4225264912284957,0.07510499568063979,-5.625810738677835,2.7388798949501848e-08,660,2.0051300687169495e-16,1.0000000000000002,4.2328143831048313e-08,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,-0.45671169374713194,0.07553523066172893,-6.046340095159487,2.4910777691226296e-09,660,-6.45947941600091e-17,1.0000000000000002,4.131543617081435e-09,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,-0.16722982589976704,0.07933432913384783,-2.1079125231856124,0.035418459035766146,660,-2.2608177956003185e-16,1.0,0.0370531571451092,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,-0.37327629327785744,0.07258201380371208,-5.142820841087863,3.580738823490604e-07,660,2.1127880589836313e-16,1.0,4.969188571374716e-07,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,-0.46101004875369833,0.07403193131065339,-6.227178470046989,8.495161760088363e-10,660,2.099330810200296e-16,1.0000000000000002,1.5612729721243478e-09,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,-0.4056916617011222,0.07438730056301757,-5.4537758277360595,6.999041490032219e-08,660,4.2524906155339327e-16,0.9999999999999998,1.0471135406812038e-07,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,-0.6265133845431614,0.07047736384403533,-8.889568939179112,5.922934062541937e-18,660,1.4668401173835402e-16,0.9999999999999999,2.0137975812642587e-17,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,-0.3254624733857366,0.07048854283071593,-4.617239345794985,4.682867674784988e-06,660,-2.395390283433671e-16,1.0000000000000002,5.6863393193817706e-06,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,-0.5213598345610768,0.0685754830652056,-7.602714720439334,1.0106763937182736e-13,660,-2.610706263967035e-16,1.0,2.5454072138089853e-13,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,-0.5197828313872895,0.06817103248993611,-7.624687677482713,8.644914903003066e-14,660,-1.453382868600205e-16,1.0,2.3514168536168335e-13,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,-0.44412981774237853,0.07427972905912134,-5.979152365901645,3.6898246477156516e-09,660,1.6552416003502334e-16,1.0000000000000002,5.974001810587246e-09,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,-0.8274688693438006,0.0680720514590407,-12.155779818707135,8.496189169300658e-31,660,2.812564995717063e-16,1.0,6.993891493705538e-30,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,-0.7077573408195835,0.07059153098676584,-10.026094220173103,4.193604859347365e-22,660,4.4139776009339555e-16,0.9999999999999999,1.7822820652226302e-21,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,-0.4079247502264466,0.07966207486315822,-5.120689499076829,4.009287192847256e-07,660,-9.150929172667957e-17,1.0,5.452630582272268e-07,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,-0.7131948646402912,0.07413574312697821,-9.620121611497781,1.4030001856757355e-20,660,3.2835687031337963e-16,0.9999999999999999,5.021263822418422e-20,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,-0.38821560804361016,0.07727966094102151,-5.023515933123588,6.553549777990481e-07,660,-1.6417843515668981e-16,1.0,8.570026632756782e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,-0.5730248592125969,0.07028156187352921,-8.153274399959237,1.809426235775362e-15,660,2.2339032980336484e-16,1.0000000000000002,5.592772001487483e-15,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,-0.7522271746443587,0.07117122660728106,-10.56925966437402,3.2599417424033042e-24,660,-1.9782155711502788e-16,1.0,1.4778402565561648e-23,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,-0.007926754145113124,0.07817090977825046,-0.10140286415495435,0.919261742771339,660,9.150929172667957e-17,1.0,0.919261742771339,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,-0.38892597216334385,0.0736426018419057,-5.2812633236164235,1.7488249023154598e-07,660,-1.2111523905001707e-17,0.9999999999999999,2.477501944946901e-07,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,-0.24853250670367685,0.07526131430223879,-3.302261048825237,0.0010113030522394546,660,3.4854274348838245e-16,1.0,0.00110917108955295,RH,occipital,occipital,,occipital,fs8_cortical_volume,
