roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.2600469641034567,0.062059652676596466,-4.190274242406836,3.034804471294981e-05,997,-1.1759232838557326e-16,1.0,0.00012139217885179925,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.02866574673792968,0.06353102024151751,-0.4512086635623809,0.6519378823089939,997,-2.8507231123775333e-17,1.0,0.6616682984628595,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.19173142223617617,0.05910907322125704,-3.243688520009225,0.0012193584461358531,997,-1.069021167141575e-16,0.9999999999999999,0.002591136698038688,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.029253288168494353,0.06107938567784893,0.47893880797663885,0.6320878183816723,997,3.563403890471917e-18,1.0,0.6612611023069802,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.5292248555549237,0.059933253676045996,-8.83023735730275,4.659860666026965e-18,997,7.483148169991026e-17,1.0,3.168705252898336e-16,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.28674080603936375,0.05788608551730617,-4.953535957335326,8.564743352116984e-07,997,-2.636918878949218e-16,0.9999999999999999,7.280031849299436e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.27926525965246507,0.05897273496531628,-4.73549785026436,2.5034775630402513e-06,997,-2.1736763731878692e-16,0.9999999999999999,1.702364742867371e-05,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.36445393215604177,0.057480049136757326,-6.340529238047934,3.473452972763736e-10,997,-1.4609955950934859e-16,0.9999999999999999,1.0396923390100761e-08,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.1673354392067795,0.056673454087633794,-2.952624679413925,0.0032251740957856723,997,-2.779455034568095e-16,0.9999999999999999,0.0059273469868493436,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.0646355921076717,0.05806688974949976,-1.113123027365669,0.2659255188595033,997,1.069021167141575e-17,1.0,0.3117747462490728,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.15547942918944058,0.056327886090406336,-2.7602567747686444,0.005882161367559402,997,-3.991012357328547e-16,0.9999999999999999,0.009999674324850983,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,-0.07241455339659024,0.05996860327640567,-1.207541103847609,0.2275119399708174,997,-4.9887654466606835e-17,1.0,0.2714177529476418,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-0.20708526729738563,0.05722168665440134,-3.618999708067102,0.0003106916476732345,997,-3.7415740849955123e-16,1.0,0.0008450812816711979,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-0.35499099705570364,0.05802191426375079,-6.118222770831337,1.3605717186252661e-09,997,8.730339531656196e-17,0.9999999999999999,2.3129719216629526e-08,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-0.35539968489650453,0.06327523962686835,-5.616726020988349,2.5273259089970335e-08,997,1.2115573227604516e-16,0.9999999999999999,2.8643026968633044e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,-0.1324377271434833,0.05917259013097861,-2.2381600475884564,0.025432073292197405,997,1.496629633998205e-16,1.0,0.03759523877977008,LH,frontal,frontal,,frontal,fs8_cortical_volume,
