roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.6004403721118361,0.07372669184039399,8.144138264221722,1.1036383564719514e-15,1030,-3.104312923223739e-17,1.0,1.705622914547561e-15,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,0.2876767018973968,0.07589481515239622,3.790465808761035,0.0001591439571636721,1030,5.863702188311507e-17,1.0,0.00016648906287891851,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,0.587494556021791,0.07015358502800262,8.37440532493508,1.8090146331194475e-16,1030,1.4917948214380744e-16,1.0,3.324675541949255e-16,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.6061012974733144,0.07047226991461603,8.60056442353375,2.938271347133242e-17,1030,1.6211411932390635e-16,1.0,5.876542694266484e-17,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,0.38875694222398194,0.07392750098985207,5.258624152294098,1.766574813206404e-07,1030,-1.2417251692894955e-16,1.0,1.876985739031804e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,0.6751834573208538,0.06820629998296984,9.899136259985333,3.984814100880764e-22,1030,1.9833110342818331e-16,1.0,1.0838694354395678e-21,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,0.6692668083568953,0.07020703634319146,9.532759723474634,1.0727667868637024e-20,1030,7.933244137127332e-17,1.0,2.3531658550558634e-20,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,0.47349209041052204,0.06952717672800171,6.810172837347867,1.659030542777797e-11,1030,-8.364398709797296e-17,1.0,1.9121029984557657e-11,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,0.6975975333928172,0.0651290154732827,10.711009959592992,1.8982096556159927e-25,1030,-3.3112671181053214e-16,1.0,8.605217105459168e-25,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,0.8562843650141984,0.06456672399598717,13.26200730065562,3.681924997783814e-37,1030,-1.0002786085943157e-16,1.0,8.345696661643311e-36,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,0.5391307928562548,0.06535445014040941,8.249335610627439,4.856548793878363e-16,1030,-4.794438848089997e-16,1.0,8.054763853261675e-16,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.737363254880096,0.06903820510100303,10.680510216065613,2.551966551110721e-25,1030,1.9315724855614374e-16,1.0,1.0845857842220563e-24,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,0.5164247408428546,0.0666936135702651,7.743241267003399,2.3203914208499705e-14,1030,6.036164017379492e-17,1.0,3.220135033016286e-14,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,0.7245817847505819,0.06803386715220545,10.650310133474356,3.41869373309675e-25,1030,-1.0520171573147114e-16,1.0,1.3674774932387e-24,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,0.6362611721480909,0.07504944775598862,8.477892791653753,7.91489857818937e-17,1030,8.105705966195318e-17,1.0,1.4950363981024365e-16,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,0.6669557538623584,0.06940655461770996,9.609405877239384,5.431918401986087e-21,1030,-3.897637336936472e-16,1.0,1.2736912115001858e-20,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,0.5993774975783225,0.0724056774755123,8.278045568747462,3.875785350024221e-16,1030,3.138805289037336e-16,1.0,6.757779584657616e-16,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,0.5673016591305724,0.0721630238356297,7.861389794623233,9.586784523456568e-15,1030,3.08706674031694e-16,0.9999999999999998,1.4171768425979275e-14,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,0.6867737376253635,0.0714516797068128,9.611722781653246,5.320949045222046e-21,1030,6.898473162719419e-18,1.0,1.2736912115001858e-20,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,0.5275352104020579,0.074463086963735,7.0845197521689895,2.5919986057288145e-12,1030,8.968015111535245e-17,1.0,3.0922088629747257e-12,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,0.7254427842495362,0.06656175164831661,10.898793470497305,3.0248441137017357e-26,1030,-2.3799732411381995e-16,1.0,1.5822261517824462e-25,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,0.5654452701735307,0.07199132277434757,7.854353113442361,1.0108251443270917e-14,1030,-2.0695419488158259e-16,1.0,1.4320022877967132e-14,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,0.9242468311301204,0.06569080468896216,14.069653058846134,3.097771936731738e-41,1030,-1.2503482607428947e-16,1.0,1.2559796127143373e-39,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,0.7483319142472453,0.06610887980894488,11.319688314337343,4.508872933912974e-28,1030,1.3452022667302868e-16,1.0,4.3800479929440315e-27,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,0.51010964090031,0.06647497707856218,7.673709165742873,3.882854874099473e-14,1030,4.203757083532146e-16,1.0,5.177139832132631e-14,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,0.7230511664798142,0.0635922795933305,11.370109250740668,2.7020611430061416e-28,1030,3.776914056588882e-16,0.9999999999999999,3.062335962073627e-27,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,0.608104598533913,0.06330836628958139,9.60543817782877,5.627302205299864e-21,1030,9.916555171409166e-17,0.9999999999999999,1.2755218332013024e-20,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,0.7524068375116402,0.06806076537062,11.054927657872533,6.4464066923845085e-27,1030,3.431990398452911e-16,1.0,4.383556550821466e-26,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,0.7563676203444861,0.06794066379858461,11.132767595365227,2.9638163368411927e-27,1030,-1.293463718009891e-16,1.0,2.2393278989466788e-26,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,0.7655654076583042,0.06831266459394793,11.206785918963092,1.4101530857775326e-27,1030,2.4144656069517967e-17,1.0,1.1986301229109027e-26,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,0.573558279022575,0.07670819443411321,7.47714482466694,1.6286480047415965e-13,1030,1.1382480718487042e-16,1.0,2.013601169498701e-13,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,0.13200697832935854,0.07703566938847023,1.7135825439989718,0.08690807635708418,1030,-2.5006965214857894e-17,1.0,0.08690807635708418,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,0.5633637962443476,0.07408762606481513,7.604020079567566,6.478949787724355e-14,1030,1.7246182906798547e-18,1.0,8.472472799331849e-14,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,0.537889609729681,0.0684771510261847,7.855023196335952,1.005741290085093e-14,1030,-3.4492365813597095e-18,1.0,1.4320022877967132e-14,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,0.5640467554758892,0.0728944433204016,7.737856684036499,2.4151159507400313e-14,1030,1.9143263026546388e-16,1.0,3.284557693006443e-14,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,0.2529847604936228,0.07545965900461578,3.3525828744885793,0.0008299088302594061,1030,-5.001393042971579e-17,1.0,0.0008550575826915093,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,0.5744094235064617,0.06976661645327349,8.233299143741263,5.507112357729368e-16,1030,-4.708207933556004e-16,0.9999999999999999,8.916277150609453e-16,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,0.6916145536871929,0.06832031449207615,10.123117243077196,5.06693905942349e-23,1030,-3.966622068563666e-17,1.0,1.7227592802039866e-22,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_entorhinal,0.4424236141527909,0.07211937331047467,6.134601478692175,1.2180212437191352e-09,1030,4.139083897631652e-17,0.9999999999999999,1.3358942673048578e-09,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_fusiform,0.6846085041165774,0.06806545343003127,10.058090699716402,9.256175115339516e-23,1030,-2.3972194240449983e-16,0.9999999999999999,2.997237656395653e-22,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_inferiorparietal,0.7490794540922442,0.06867035725907925,10.908337803837545,2.753430582253053e-26,1030,3.276774752291724e-16,1.0,1.5602773299433965e-25,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_inferiortemporal,0.6662823255629255,0.06759381917491349,9.857148681579558,5.841359326663861e-22,1030,8.623091453399274e-17,1.0,1.5277401315890097e-21,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_isthmuscingulate,0.5734622676777275,0.06942843991953124,8.259760241514574,4.474956004455416e-16,1030,5.035885408785176e-16,1.0,7.607425207574207e-16,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_lateraloccipital,0.9063353457760945,0.06448586438820626,14.054790989850686,3.694057684453933e-41,1030,3.5958291360674975e-16,1.0,1.2559796127143373e-39,RH,occipital,occipital,,occipital,fs8_cortical_volume,
