roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.2928078107582777,0.026130511222742257,11.205590593399386,7.453114681184111e-28,1272,-3.35161667811368e-17,1.0,3.378745322136797e-27,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,0.0626824275139783,0.027650409868214407,2.266961965943045,0.023560623468949875,1272,-6.423931966384553e-17,0.9999999999999999,0.02427458175588775,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,0.2033830093235484,0.025660013573617278,7.926067877557932,4.927157415784753e-15,1272,2.1645857712817518e-16,1.0,9.05531633171252e-15,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.10025256227406472,0.02652323730676733,3.7798011273867225,0.00016425881983823522,1272,2.9605947323337506e-16,0.9999999999999999,0.00017729523411111103,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,0.38663161144976277,0.024775641288328046,15.60531196550328,2.396091247731536e-50,1272,1.25685625429263e-16,1.0,8.146710242287223e-49,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,0.341596077323964,0.02407342348400216,14.189758990904203,1.6018929665041755e-42,1272,2.0389001458524888e-16,1.0000000000000002,1.5561245960326276e-41,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,0.3223107563079364,0.024970015956808787,12.907911507363261,6.69892061958658e-36,1272,-2.5416426475695407e-16,1.0,4.5552660213188743e-35,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,0.3606921456866386,0.023852010289478802,15.122085782670531,1.2835052650856633e-47,1272,-3.058350218778733e-16,1.0,2.909278600860837e-46,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,0.1968283490433536,0.024330958402177374,8.089625808810698,1.3900160688103733e-15,1272,5.188023316330134e-16,1.0,2.953784146222043e-15,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,0.22525192777135344,0.024774215708297888,9.092192076777126,3.651501655752448e-19,1272,-1.2847863932769107e-16,1.0,1.0293645309457918e-18,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,0.21621709600006456,0.024200035350426,8.934577692518058,1.4099394124891444e-18,1272,2.9396471280955404e-16,1.0,3.687533848048532e-18,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.18886164632295288,0.02585575523753456,7.304433561808482,4.91027499763359e-13,1272,3.009472475556242e-16,1.0000000000000002,8.347467495977103e-13,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,0.1773616648377465,0.02455845808292621,7.222019568119945,8.815172129429881e-13,1272,3.1281755662394346e-16,1.0,1.4272183447648378e-12,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,0.3727671391102178,0.023766578045440016,15.684510340424834,8.447866814146161e-51,1272,-1.4802973661668753e-16,1.0,5.74454943361939e-49,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,0.2718051556054173,0.027000518068130964,10.066664458791706,5.529251625591543e-23,1272,-8.379041695284201e-17,1.0,1.9788900554748677e-22,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,0.11206156805103548,0.025960576434239428,4.316605539745927,1.7079833184730932e-05,1272,-4.0778002917049776e-16,1.0,1.9357144276028388e-05,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,0.1505341352983494,0.02675514483978276,5.6263621893953335,2.2634172190875997e-08,1272,-7.12218544099157e-17,1.0,2.8502290907029035e-08,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,0.17019589949150554,0.02641895239332923,6.442189567459152,1.669175340121474e-10,1272,-3.0723152882708734e-17,1.0,2.4674765897447876e-10,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,0.15647579751615545,0.026725067790955535,5.855019666932743,6.070327230791891e-09,1272,5.586027796856134e-18,1.0,7.938120224881704e-09,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,0.08419637459946193,0.027595578346780707,3.0510820806654433,0.0023276189583845567,1272,-6.144630576541747e-17,1.0,0.0024730951432835914,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,0.1560809236332198,0.025244717410296966,6.182716213315843,8.484641775987999e-10,1272,2.9047344543651893e-16,1.0,1.2019909182649666e-09,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,0.20149192227130316,0.02617043906234785,7.699218258863501,2.7449466459678893e-14,1272,-2.9047344543651893e-16,1.0,4.786060818610679e-14,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,0.16614871596115602,0.025722387809839455,6.459303746971733,1.4962909598858064e-10,1272,-4.357101681547784e-16,1.0,2.261061894938552e-10,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,0.26762925851452185,0.024398460986660504,10.969104102953223,8.290232256610695e-27,1272,-2.681293342490944e-16,1.0,3.523348709059545e-26,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,0.15393585460632825,0.024516734643768297,6.278807387812386,4.679048764120752e-10,1272,2.0319176111064186e-16,1.0,6.769687573621514e-10,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,0.19248617728717765,0.024126051868374455,7.97835378690773,3.295920265273837e-15,1272,-4.1895208476421005e-17,1.0,6.591840530547674e-15,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,0.2144940593413606,0.023601767469925723,9.08805069851981,3.784428422594823e-19,1272,2.9885248713180313e-16,1.0,1.0293645309457918e-18,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,0.2217867983046671,0.025571747249966248,8.673118662431635,1.2677627413714068e-17,1272,-1.1870309068319284e-16,1.0,3.0788523719019883e-17,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,0.3239985734628915,0.024444335313390977,13.254546270497286,1.205703745493981e-37,1272,4.224433521372451e-16,1.0,1.0248481836698839e-36,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,0.29580818954527555,0.02498450070056539,11.839667844095901,9.535779381843183e-31,1272,1.7735638255018225e-16,0.9999999999999998,5.403608316377804e-30,LH,parietal,parietal,,parietal,fs8_cortical_volume,
