roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_bankssts,-0.3201723639467464,-0.3201723639467464,-0.3201723639467464,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_caudalanteriorcingulate,-0.037342196808714194,-0.037342196808714194,-0.037342196808714194,602,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_caudalmiddlefrontal,-0.20822705687362053,-0.20822705687362053,-0.20822705687362053,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_cuneus,0.05337889347055743,0.05337889347055743,0.05337889347055743,602,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_entorhinal,-0.6262386483556187,-0.6262386483556187,-0.6262386483556187,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_fusiform,-0.32078010923759565,-0.32078010923759565,-0.32078010923759565,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_inferiorparietal,-0.3284709468164816,-0.3284709468164816,-0.3284709468164816,602,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_inferiortemporal,-0.4380290083252876,-0.4380290083252876,-0.4380290083252876,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_isthmuscingulate,-0.2062970820677107,-0.2062970820677107,-0.2062970820677107,602,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_lateraloccipital,-0.09055067246222122,-0.09055067246222122,-0.09055067246222122,602,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_lateralorbitofrontal,-0.19068962666906714,-0.19068962666906714,-0.19068962666906714,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_lingual,-0.07341897883629381,-0.07341897883629381,-0.07341897883629381,602,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_medialorbitofrontal,-0.23952515692914791,-0.23952515692914791,-0.23952515692914791,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_middletemporal,-0.4481545795686938,-0.4481545795686938,-0.4481545795686938,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_parahippocampal,-0.39352095892544514,-0.39352095892544514,-0.39352095892544514,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_paracentral,-0.1664994165695012,-0.1664994165695012,-0.1664994165695012,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parsopercularis,-0.16669783214326855,-0.16669783214326855,-0.16669783214326855,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parsorbitalis,-0.19061207460264637,-0.19061207460264637,-0.19061207460264637,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parstriangularis,-0.27177469566042056,-0.27177469566042056,-0.27177469566042056,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_pericalcarine,0.07097693128459487,0.07097693128459487,0.07097693128459487,602,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_postcentral,-0.09036739309108255,-0.09036739309108255,-0.09036739309108255,602,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_posteriorcingulate,-0.2519861300730802,-0.2519861300730802,-0.2519861300730802,602,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_precentral,-0.14100439283326252,-0.14100439283326252,-0.14100439283326252,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_precuneus,-0.2195159694330213,-0.2195159694330213,-0.2195159694330213,602,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_rostralanteriorcingulate,-0.15449620075613135,-0.15449620075613135,-0.15449620075613135,602,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_rostralmiddlefrontal,-0.2542165776502785,-0.2542165776502785,-0.2542165776502785,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_superiorfrontal,-0.17358444275404605,-0.17358444275404605,-0.17358444275404605,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_superiorparietal,-0.11436432017461612,-0.11436432017461612,-0.11436432017461612,602,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_superiortemporal,-0.340289677667467,-0.340289677667467,-0.340289677667467,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_supramarginal,-0.31279492443775647,-0.31279492443775647,-0.31279492443775647,602,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_frontalpole,-0.2005427297913624,-0.2005427297913624,-0.2005427297913624,602,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_temporalpole,-0.3212902631080979,-0.3212902631080979,-0.3212902631080979,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_transversetemporal,-0.13436000517537833,-0.13436000517537833,-0.13436000517537833,602,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_insula,-0.24046870169510778,-0.24046870169510778,-0.24046870169510778,602,LH,insula,insula,,insula,fs8_cortical_volume,,MCI
rh_bankssts,-0.3272747958033789,-0.3272747958033789,-0.3272747958033789,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_caudalanteriorcingulate,0.039877193592859926,0.039877193592859926,0.039877193592859926,602,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
rh_caudalmiddlefrontal,-0.13750527882980274,-0.13750527882980274,-0.13750527882980274,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_cuneus,-0.07379557008904303,-0.07379557008904303,-0.07379557008904303,602,RH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
rh_entorhinal,-0.47417142761126735,-0.47417142761126735,-0.47417142761126735,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_fusiform,-0.33491371677920545,-0.33491371677920545,-0.33491371677920545,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_inferiorparietal,-0.3109483233634766,-0.3109483233634766,-0.3109483233634766,602,RH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
rh_inferiortemporal,-0.3647451631714302,-0.3647451631714302,-0.3647451631714302,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_isthmuscingulate,-0.15514603779974648,-0.15514603779974648,-0.15514603779974648,602,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
rh_lateraloccipital,-0.227445236098239,-0.227445236098239,-0.227445236098239,602,RH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
rh_lateralorbitofrontal,-0.1569976981718222,-0.1569976981718222,-0.1569976981718222,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_lingual,-0.05541774375571876,-0.05541774375571876,-0.05541774375571876,602,RH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
rh_medialorbitofrontal,-0.20602165236150308,-0.20602165236150308,-0.20602165236150308,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_middletemporal,-0.4441638264959289,-0.4441638264959289,-0.4441638264959289,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_parahippocampal,-0.3518511474551457,-0.3518511474551457,-0.3518511474551457,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_paracentral,-0.10141209056487109,-0.10141209056487109,-0.10141209056487109,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_parsopercularis,-0.23378114335925973,-0.23378114335925973,-0.23378114335925973,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_parsorbitalis,-0.22822945425769628,-0.22822945425769628,-0.22822945425769628,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_parstriangularis,-0.2774677121257009,-0.2774677121257009,-0.2774677121257009,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_pericalcarine,-0.016540646384277727,-0.016540646384277727,-0.016540646384277727,602,RH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
rh_postcentral,-0.05990096208181903,-0.05990096208181903,-0.05990096208181903,602,RH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
rh_posteriorcingulate,-0.23743691771220368,-0.23743691771220368,-0.23743691771220368,602,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
rh_precentral,-0.11072158179649204,-0.11072158179649204,-0.11072158179649204,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_precuneus,-0.2151741550747634,-0.2151741550747634,-0.2151741550747634,602,RH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
rh_rostralanteriorcingulate,-0.03848506960271352,-0.03848506960271352,-0.03848506960271352,602,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
rh_rostralmiddlefrontal,-0.25719063520976776,-0.25719063520976776,-0.25719063520976776,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_superiorfrontal,-0.231975847163751,-0.231975847163751,-0.231975847163751,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_superiorparietal,-0.13051615897291186,-0.13051615897291186,-0.13051615897291186,602,RH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
rh_superiortemporal,-0.3619063211220132,-0.3619063211220132,-0.3619063211220132,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_supramarginal,-0.21393631347746317,-0.21393631347746317,-0.21393631347746317,602,RH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
rh_frontalpole,-0.09269522052379663,-0.09269522052379663,-0.09269522052379663,602,RH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
rh_temporalpole,-0.2945923203044646,-0.2945923203044646,-0.2945923203044646,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_transversetemporal,-0.13264405110593658,-0.13264405110593658,-0.13264405110593658,602,RH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
rh_insula,-0.2406948449252292,-0.2406948449252292,-0.2406948449252292,602,RH,insula,insula,,insula,fs8_cortical_volume,,MCI
lh_bankssts,-0.8453345410654252,-0.8453345410654252,-0.8453345410654252,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_caudalanteriorcingulate,-0.0712745415344834,-0.0712745415344834,-0.0712745415344834,265,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
lh_caudalmiddlefrontal,-0.5533427499635463,-0.5533427499635463,-0.5533427499635463,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_cuneus,-0.2119118082813374,-0.2119118082813374,-0.2119118082813374,265,LH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
lh_entorhinal,-1.4129465526260507,-1.4129465526260507,-1.4129465526260507,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_fusiform,-1.0143606591777132,-1.0143606591777132,-1.0143606591777132,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_inferiorparietal,-0.94810733668773,-0.94810733668773,-0.94810733668773,265,LH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
lh_inferiortemporal,-1.1783178895320836,-1.1783178895320836,-1.1783178895320836,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_isthmuscingulate,-0.5874597410836682,-0.5874597410836682,-0.5874597410836682,265,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
lh_lateraloccipital,-0.5267134344470844,-0.5267134344470844,-0.5267134344470844,265,LH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
lh_lateralorbitofrontal,-0.5642119947633539,-0.5642119947633539,-0.5642119947633539,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_lingual,-0.46003267622406097,-0.46003267622406097,-0.46003267622406097,265,LH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
lh_medialorbitofrontal,-0.5433139045516202,-0.5433139045516202,-0.5433139045516202,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_middletemporal,-1.2109144909005232,-1.2109144909005232,-1.2109144909005232,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_parahippocampal,-0.9479860057091323,-0.9479860057091323,-0.9479860057091323,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_paracentral,-0.2791803554293055,-0.2791803554293055,-0.2791803554293055,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_parsopercularis,-0.43212925621163273,-0.43212925621163273,-0.43212925621163273,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_parsorbitalis,-0.5064019727863741,-0.5064019727863741,-0.5064019727863741,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_parstriangularis,-0.4948523354394627,-0.4948523354394627,-0.4948523354394627,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_pericalcarine,-0.17605178593407902,-0.17605178593407902,-0.17605178593407902,265,LH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
lh_postcentral,-0.45853306354566403,-0.45853306354566403,-0.45853306354566403,265,LH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
lh_posteriorcingulate,-0.5580055112629184,-0.5580055112629184,-0.5580055112629184,265,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
lh_precentral,-0.4634282095462793,-0.4634282095462793,-0.4634282095462793,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_precuneus,-0.760993711973068,-0.760993711973068,-0.760993711973068,265,LH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
lh_rostralanteriorcingulate,-0.37281894093396417,-0.37281894093396417,-0.37281894093396417,265,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
lh_rostralmiddlefrontal,-0.6178510667130162,-0.6178510667130162,-0.6178510667130162,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_superiorfrontal,-0.6303698900230935,-0.6303698900230935,-0.6303698900230935,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_superiorparietal,-0.5315515698360037,-0.5315515698360037,-0.5315515698360037,265,LH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
lh_superiortemporal,-1.01523077825589,-1.01523077825589,-1.01523077825589,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_supramarginal,-0.8404985702784943,-0.8404985702784943,-0.8404985702784943,265,LH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
lh_frontalpole,-0.40222808794262166,-0.40222808794262166,-0.40222808794262166,265,LH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
lh_temporalpole,-0.8658566361206554,-0.8658566361206554,-0.8658566361206554,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_transversetemporal,-0.38696630523334924,-0.38696630523334924,-0.38696630523334924,265,LH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
lh_insula,-0.6990897285069244,-0.6990897285069244,-0.6990897285069244,265,LH,insula,insula,,insula,fs8_cortical_volume,,AD
rh_bankssts,-0.8871641387825983,-0.8871641387825983,-0.8871641387825983,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_caudalanteriorcingulate,0.0031544381885602693,0.0031544381885602693,0.0031544381885602693,265,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
rh_caudalmiddlefrontal,-0.437161888690348,-0.437161888690348,-0.437161888690348,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_cuneus,-0.28433383424667197,-0.28433383424667197,-0.28433383424667197,265,RH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
rh_entorhinal,-1.3000563847192017,-1.3000563847192017,-1.3000563847192017,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_fusiform,-1.0813523311468374,-1.0813523311468374,-1.0813523311468374,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_inferiorparietal,-0.9886953640801708,-0.9886953640801708,-0.9886953640801708,265,RH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
rh_inferiortemporal,-1.1709151191447298,-1.1709151191447298,-1.1709151191447298,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_isthmuscingulate,-0.5066859619350914,-0.5066859619350914,-0.5066859619350914,265,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
rh_lateraloccipital,-0.6334487204395955,-0.6334487204395955,-0.6334487204395955,265,RH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
rh_lateralorbitofrontal,-0.523559144068105,-0.523559144068105,-0.523559144068105,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_lingual,-0.3417145139934628,-0.3417145139934628,-0.3417145139934628,265,RH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
rh_medialorbitofrontal,-0.620985514418807,-0.620985514418807,-0.620985514418807,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_middletemporal,-1.1983303480110605,-1.1983303480110605,-1.1983303480110605,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_parahippocampal,-0.8979979890285693,-0.8979979890285693,-0.8979979890285693,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_paracentral,-0.29207048327880264,-0.29207048327880264,-0.29207048327880264,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_parsopercularis,-0.508091135818961,-0.508091135818961,-0.508091135818961,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_parsorbitalis,-0.5534675715779851,-0.5534675715779851,-0.5534675715779851,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_parstriangularis,-0.4567203275579215,-0.4567203275579215,-0.4567203275579215,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_pericalcarine,-0.21551978120765714,-0.21551978120765714,-0.21551978120765714,265,RH,occipital,occipital,,occipital,fs8_cortical_volume,,AD
rh_postcentral,-0.31845500719553327,-0.31845500719553327,-0.31845500719553327,265,RH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
rh_posteriorcingulate,-0.5340231496762716,-0.5340231496762716,-0.5340231496762716,265,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
rh_precentral,-0.410139952745905,-0.410139952745905,-0.410139952745905,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_precuneus,-0.7500002437184866,-0.7500002437184866,-0.7500002437184866,265,RH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
rh_rostralanteriorcingulate,-0.0620162059240893,-0.0620162059240893,-0.0620162059240893,265,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,AD
rh_rostralmiddlefrontal,-0.639176400694753,-0.639176400694753,-0.639176400694753,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_superiorfrontal,-0.6666930473416262,-0.6666930473416262,-0.6666930473416262,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_superiorparietal,-0.43067306765393876,-0.43067306765393876,-0.43067306765393876,265,RH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
rh_superiortemporal,-0.938439789443857,-0.938439789443857,-0.938439789443857,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_supramarginal,-0.6196866789362715,-0.6196866789362715,-0.6196866789362715,265,RH,parietal,parietal,,parietal,fs8_cortical_volume,,AD
rh_frontalpole,-0.41402004519353397,-0.41402004519353397,-0.41402004519353397,265,RH,frontal,frontal,,frontal,fs8_cortical_volume,,AD
rh_temporalpole,-0.9003494875960728,-0.9003494875960728,-0.9003494875960728,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_transversetemporal,-0.37287976783769666,-0.37287976783769666,-0.37287976783769666,265,RH,temporal,temporal,,temporal,fs8_cortical_volume,,AD
rh_insula,-0.6404435413570156,-0.6404435413570156,-0.6404435413570156,265,RH,insula,insula,,insula,fs8_cortical_volume,,AD
