roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.0908027551647786,0.0663041117902255,1.3694890514793787,0.17108407012249996,1299,-8.478377524466169e-17,1.0,0.2374227911904081,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.09175540204433494,0.06699636529097888,-1.3695579102809907,0.1710625662935708,1299,-6.563905180231872e-17,1.0,0.2374227911904081,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.08424004677476253,0.06388083377847985,-1.3187061250152512,0.18750071356006096,1299,-3.3298143987217936e-16,0.9999999999999998,0.2550009704416829,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.28032917397961943,0.06463742840981938,4.336948125507933,1.5569218435984405e-05,1299,-3.637497454045163e-16,0.9999999999999998,0.00015124383623527708,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,0.34005935785008323,0.06533274569183281,5.205036987946364,2.253630091054515e-07,1299,5.196424934350232e-17,1.0,7.662342309585351e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,0.2352294597915957,0.06278824344897928,3.746393383066042,0.0001872885162420026,1299,2.693936084386831e-16,0.9999999999999998,0.0011577835549505615,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,0.10037906645168411,0.06454068049467572,1.5552836704280624,0.12012305236467419,1299,-4.020391922892022e-16,1.0,0.181519279128841,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,0.2743100917801033,0.06273807473880853,4.372306496846013,1.3279671700620585e-05,1299,-1.0392849868700464e-16,1.0,0.00015050294594036662,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,0.27900250496335416,0.060529377179570944,4.609373463989967,4.43811565222784e-06,1299,-2.9400825286455263e-16,1.0,7.544796608787329e-05,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,0.26008378883448474,0.062122005049194656,4.186661210122297,3.0222761084553134e-05,1299,-4.10244073764492e-16,1.0,0.0002283497504166237,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,0.10408382003989032,0.06046066217204098,1.7215130681784385,0.0853967657720302,1299,3.6101478491275297e-16,0.9999999999999999,0.1382614302975727,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.1728383006867274,0.06402236719684694,2.6996549527028355,0.007031585270419124,1299,-2.5571880597986667e-16,1.0,0.019922824932854185,LH,occipital,occipital,,occipital,fs8_cortical_volume,
