roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-4.845664711524604e-09,,,,817,-7.229359230117299e-17,1.0,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,-3.9745885933017085e-09,,,,817,0.0,0.9999999999999998,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-5.562891016881959e-10,,,,817,-1.5437127980100096e-16,1.0,,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-5.837865116293854e-10,,,,817,2.956970993371286e-16,0.9999999999999999,,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-5.489951996903422e-10,,,,817,3.533145488403191e-16,1.0,,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,-2.6379829770318725e-09,,,,817,-3.6309864403897407e-16,1.0,,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-7.382368263647599e-10,,,,817,1.7393947019831092e-17,0.9999999999999998,,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-7.759036839875739e-10,,,,817,1.8263644370822648e-16,0.9999999999999997,,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,-4.2955770575470496e-09,,,,817,-3.84841077813763e-16,0.9999999999999999,,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-2.043998001147605e-09,,,,817,2.8265163907225527e-16,1.0,,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-7.861577010176276e-10,,,,817,7.609851821176103e-17,1.0,,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,5.094416015340858e-10,,,,817,2.7178042218486084e-16,1.0,,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-2.1166030055631346e-10,,,,817,-4.239774586083829e-16,1.0,,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,-2.4966510053335584e-09,,,,817,-8.479549172167658e-17,1.0,,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,1.0476591938714993e-09,,,,817,4.1310624172098847e-16,1.0,,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-5.987501866912073e-10,,,,817,1.0218943874150767e-16,0.9999999999999999,,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,-4.742096730331667e-09,,,,817,2.652576920524242e-16,1.0,,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,-3.671588889264656e-09,,,,817,-1.7828795695326872e-16,0.9999999999999998,,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-6.509346122202165e-10,,,,817,3.2450582408872384e-16,0.9999999999999998,,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-5.401148429605917e-10,,,,817,3.739698609263685e-16,1.0,,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,-6.311529396451702e-10,,,,817,7.414169917203004e-16,1.0,,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,-2.3563563048732494e-09,,,,817,-2.5547359685376917e-16,1.0,,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,-6.333824065471338e-10,,,,817,-9.892807367528935e-17,1.0,,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,-6.17209912477997e-10,,,,817,4.544168658930873e-16,1.0,,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,5.026597995637867e-10,,,,817,-5.2181841059493283e-17,1.0,,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,2.766205942618725e-11,,,,817,6.52273013243666e-17,1.0,,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,1.243026640596931e-09,,,,817,2.0329175579427592e-16,1.0,,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-VentralDC,-5.77867574992872e-10,,,,817,-2.3699252814519866e-16,1.0,,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Right-vessel,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,RH,vessel,vessel,,,fs8_subcortical_volume,
Right-choroid-plexus,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
5th-Ventricle,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
WM-hypointensities,-7.699123771878723e-10,,,,817,1.9568190397309982e-17,1.0,,,hypointensity,hypointensity,,,fs8_subcortical_volume,
Left-WM-hypointensities,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,
Right-WM-hypointensities,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,
non-WM-hypointensities,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,,hypointensity,hypointensity,,,fs8_subcortical_volume,
Left-non-WM-hypointensities,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,
Right-non-WM-hypointensities,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,
Optic-Chiasm,3.446205242300596e-10,,,,817,-2.3916677152267755e-17,1.0000000000000002,,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,
CC_Posterior,9.114551098006793e-10,,,,817,3.8157971274754463e-16,1.0,,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,
CC_Mid_Posterior,1.6421827495477475e-09,,,,817,-3.130910463569597e-16,1.0,,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,
CC_Central,2.011079422228771e-09,,,,817,-4.7289793460165786e-17,1.0,,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,
CC_Mid_Anterior,1.2653293908252444e-09,,,,817,5.653032781445105e-16,1.0,,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,
CC_Anterior,4.5972848511340915e-10,,,,817,-2.5112511009881143e-16,0.9999999999999999,,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,
BrainSegVol,-1.9286102425734592e-09,,,,817,-6.305305794688772e-17,1.0000000000000002,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
lhCortexVol,-8.881754483703797e-10,,,,817,7.69682155627526e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
rhCortexVol,-9.419712736595735e-10,,,,817,1.9133341721814204e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
CortexVol,-9.175224033125096e-10,,,,817,1.1306065562890211e-16,0.9999999999999999,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
lhCerebralWhiteMatterVol,-1.4651364328626986e-09,,,,817,1.924205389068815e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
rhCerebralWhiteMatterVol,-1.512036325704648e-09,,,,817,-5.2181841059493283e-17,0.9999999999999998,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
CerebralWhiteMatterVol,-1.4899549204455979e-09,,,,817,-1.1849626407259933e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
SubCortGrayVol,-6.618404319554743e-10,,,,817,-2.4677662334385364e-16,1.0000000000000002,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
TotalGrayVol,-8.429978079782354e-10,,,,817,-1.1958338576133878e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
SupraTentorialVol,-2.0441088119633047e-09,,,,817,9.566670860907102e-17,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
SupraTentorialVolNotVent,-1.1836275679661797e-09,,,,817,8.26212483441977e-17,0.9999999999999998,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
MaskVol,-1.8295482735189679e-09,,,,817,2.978713427146075e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
BrainSegVol-to-eTIV,4.576585467826043e-10,,,,817,1.7393947019831092e-17,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
MaskVol-to-eTIV,5.280945120146745e-10,,,,817,1.0001519536402879e-16,1.0,,,global_brain_volume,global_brain_volume,,,fs8_subcortical_volume,
