roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.29109246531361826,0.0226808759138036,12.834269118171894,1.4087662777105517e-35,1299,-9.982605794935973e-17,0.9999999999999998,2.2540260443368827e-34,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.3190127459473963,0.024256351491170006,13.151720120131253,3.5893578741804824e-37,1299,-1.8460983319402142e-16,1.0,1.1485945197377544e-35,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.1294092042447875,0.026533803465975215,-4.877144899740111,1.2098612425889448e-06,1299,1.3674802458816401e-17,0.9999999999999999,2.2773858684027197e-06,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.11515754350538193,0.026606573764737393,-4.328161322973655,1.61940856738552e-05,1299,1.0734719930170874e-16,1.0,2.657490982376238e-05,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.15008505003798098,0.02618884243337168,-5.730877583452561,1.2416438733616831e-08,1299,-3.309302195033569e-16,1.0000000000000002,3.784057518816558e-08,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.058772874022241246,0.025879564302355492,2.271014818317165,0.023309791735519732,1299,-1.3538054434228236e-16,1.0,0.03390515161530143,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.09963818696113279,0.02680613493345175,-3.7169919202634807,0.00021021639259420733,1299,-2.799915803442658e-16,1.0000000000000002,0.000320329741095935,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.1326604814877472,0.0263301127033606,-5.038356006384101,5.360512696885122e-07,1299,2.488814047504585e-16,1.0,1.0721025393770244e-06,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.31805713630030324,0.022914517812606318,13.880158373890179,6.139604861688052e-41,1299,-1.7435373134990912e-16,0.9999999999999999,3.929347111480353e-39,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.09707614560708175,0.026418730418038,3.6745197089713577,0.00024803457794152916,1299,2.365740825375237e-16,1.0,0.00036916774391297365,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-0.1058192096920762,0.02623532272427204,-4.033463235966821,5.817462464446117e-05,1299,4.7178068482916583e-17,0.9999999999999999,9.080917017671987e-05,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.263145927658978,0.02666117779100859,-9.870003858108745,3.338587623645312e-22,1299,7.657889376937185e-16,1.0,2.3741067545922217e-21,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.1914429417529257,0.0264966151880129,-7.225184816796324,8.521951251905009e-13,1299,-3.883643898303858e-16,0.9999999999999999,3.895749143728004e-12,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.17179734594877402,0.024705512156639457,6.953806294705958,5.626576287195571e-12,1299,5.770766637620521e-16,1.0000000000000002,2.4006725492034435e-11,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.22927076565545457,0.027071881884371204,-8.468962986567043,6.632572363483552e-17,1299,-6.4203197544143e-16,1.0,3.5373719271912275e-16,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-0.13610022535777125,0.0262577532446727,-5.183239559362677,2.5276617348156416e-07,1299,5.196424934350232e-17,1.0,5.777512536721467e-07,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,-0.012584228699995969,0.02799365217248737,-0.4495386533509893,0.6531184172314319,1299,9.57236172117148e-18,1.0000000000000002,0.6641586190351616,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,-0.012584228699995969,0.02799365217248737,-0.4495386533509893,0.6531184172314319,1299,9.57236172117148e-18,1.0000000000000002,0.6641586190351616,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.28318663771674796,0.0230633242312679,12.278656575135866,7.352043207260478e-33,1299,-4.7178068482916583e-17,1.0,9.410615305293413e-32,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,0.3164953507481089,0.02462822527149707,12.850919920502667,1.1640609145912863e-35,1299,1.162358208999394e-16,0.9999999999999999,2.2540260443368827e-34,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-0.12429298848831764,0.026544126814069216,-4.682504320407273,3.1322814885691484e-06,1299,-6.358783143349626e-16,1.0,5.4180004126601485e-06,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-0.12333399449820595,0.026551484025514216,-4.6450885524775245,3.7458858319615386e-06,1299,3.842619490927409e-16,0.9999999999999999,6.308860348566802e-06,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,-0.14420445984398703,0.026217576206261747,-5.5002971559798715,4.5644046658604734e-08,1299,4.574221422474086e-16,1.0,1.1235457639041165e-07,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,0.02980185447662805,0.026119848018775375,1.140965845406374,0.2540952489190206,1299,4.0477415278096544e-16,1.0,0.35352382458298515,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,-0.1138933006192506,0.026855606273059652,-4.240950640295292,2.3840180312727482e-05,1299,-1.9760089552989698e-16,1.0,3.814428850036397e-05,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,-0.13604645620395794,0.026354207296039857,-5.162229114908765,2.822140108277397e-07,1299,-1.162358208999394e-16,0.9999999999999999,5.967517246238811e-07,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,-0.26629112848249165,0.02660482949937465,-10.009127421348476,9.121757277338189e-23,1299,8.150182265454575e-16,1.0,7.2974058218705515e-22,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,-0.207574345022147,0.026502252922638834,-7.832328278960474,9.916621595556753e-15,1299,-4.10244073764492e-16,1.0,4.882029093197171e-14,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,-0.26022053034825965,0.02683339130650854,-9.697638564423357,1.6310818289234713e-21,1299,-5.497270588444194e-16,1.0,1.0438923705110216e-20,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-VentralDC,-0.14335412700400246,0.026201426472345402,-5.47123368093364,5.360049182923936e-08,1299,2.5024888499634016e-16,1.0,1.270530176693081e-07,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Right-vessel,-0.012584228699995969,0.02799365217248737,-0.4495386533509893,0.6531184172314319,1299,9.57236172117148e-18,1.0000000000000002,0.6641586190351616,RH,vessel,vessel,,,fs8_subcortical_volume,
Right-choroid-plexus,-0.012584228699995969,0.02799365217248737,-0.4495386533509893,0.6531184172314319,1299,9.57236172117148e-18,1.0000000000000002,0.6641586190351616,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
5th-Ventricle,-0.012584228699995969,0.02799365217248737,-0.4495386533509893,0.6531184172314319,1299,9.57236172117148e-18,1.0000000000000002,0.6641586190351616,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
