roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.512706134543442,0.06328646668036247,8.101355020069917,2.669493222474995e-15,660,-1.0631226538834832e-16,0.9999999999999999,2.135594577979996e-14,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.8739559628788173,0.06393206494270261,13.670072500584437,1.3357652107329278e-37,660,1.2380668880668413e-16,0.9999999999999999,2.8496324495635794e-36,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.09515796908768281,0.07760406737169163,-1.2261982175742825,0.22056540671045172,660,-2.7654646249753897e-16,1.0,0.38816670050309515,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.15181805918078925,0.07729440321290613,-1.96415332637486,0.049935423604029895,660,-1.924386576016938e-16,1.0,0.10309248744057785,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.22782264662813886,0.07590254129995992,-3.0015154002262525,0.002788741233251991,660,-3.4719701861004897e-16,1.0,0.006864593804927978,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.03231195065808379,0.07488590932292273,0.4314823836717842,0.6662598558506201,660,-8.639553718901219e-16,0.9999999999999999,0.8883464744674935,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.23488408554961776,0.07767218965523649,-3.0240435681316264,0.002591897720234407,660,2.31464679073366e-16,0.9999999999999999,0.006635258163800082,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.12309980210575093,0.07660424712198692,-1.6069579263630525,0.10854626020845529,660,-3.21628245921712e-16,1.0,0.2105139591921557,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.45351603865877843,0.06568914529685635,6.903972286582364,1.1989648566896432e-11,660,1.3860966246835288e-16,1.0000000000000002,7.673375082813717e-11,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.037945176767116354,0.07666788710313828,0.49492920961901826,0.6208163196577303,660,-4.884981308350689e-16,1.0,0.8453669033637179,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
