roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.21182842711416994,0.053724327420569665,3.9428772268457712,8.61714020468449e-05,997,-1.7282508868788796e-16,0.9999999999999999,0.0006893712163747592,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.3631668203793419,0.055536573552696505,6.539237067528967,9.88684867533183e-11,997,1.888604061950116e-16,1.0,1.5818957880530929e-09,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.08993008791693574,0.06278177113730972,-1.4324235568354717,0.15233798715391347,997,-3.5277698515671973e-16,1.0000000000000002,0.32498770592834875,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.06737264353387104,0.06324529351892792,-1.0652594016929955,0.2870180290053215,997,-5.523276030231471e-17,1.0,0.5539805251585366,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.11056221784919733,0.062149707207367545,-1.7789660292412564,0.07555179330215804,997,4.641333567339671e-16,1.0,0.18597364505146594,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.018086701137498173,0.06212396595206053,0.29113886823412427,0.7710060366205268,997,2.654735898401578e-16,0.9999999999999999,0.866052792487344,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.1051158427414844,0.06349978112456273,-1.6553733080636386,0.09816540879642657,997,4.587882508982593e-16,1.0,0.23268837640634446,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.06514901826316416,0.06257270622741937,-1.0411730959243033,0.2980491571945751,997,5.879616419278663e-17,1.0,0.5539805251585366,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.14664169665106394,0.05393013577959007,2.7191049036179264,0.006660278744515438,997,-1.9598721397595542e-17,1.0,0.025073990567587533,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.03851266150231403,0.0630113122015834,-0.6112023406068069,0.5412058013342698,997,-1.888604061950116e-16,1.0,0.8376808907850352,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-0.09208051139146982,0.06229083984446168,-1.4782351886953529,0.13966258869749767,997,6.948637586420238e-17,1.0,0.30822088540137416,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.4748743160937676,0.06148639049667292,-7.723242692534757,2.7674118652321146e-14,997,-7.126807780943833e-17,0.9999999999999999,1.7711435937485534e-12,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.37135256207316486,0.062006374630190375,-5.988941690075143,2.95108324327313e-09,997,-1.6035317507123626e-17,1.0,3.7773865513896065e-08,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.07186372182160501,0.05933320708859653,1.2111888999072287,0.22611176155703797,997,-1.9955061786642734e-16,1.0,0.45222352311407593,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.22563501439713252,0.06351504431205669,-3.5524656692131367,0.00039961049475232646,997,-4.68587611597057e-16,1.0,0.002325006514922627,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-0.1263050691409582,0.0622573335828914,-2.028758089563724,0.04274989589367875,997,-5.345105835707875e-18,1.0,0.12436333350888364,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,-0.012305540772615135,0.06617601701123665,-0.18595166841977903,0.8525207176047293,997,-4.5433399603516935e-17,1.0,0.866052792487344,LH,vessel,vessel,,,fs8_subcortical_volume,
