roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.04109410206308353,0.06398510084868371,0.6422448588502758,0.5208579641830784,1030,1.0865095231283086e-16,1.0,0.546063909793638,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,-0.1961353197186062,0.06865527574664236,-2.856813516304293,0.004365739302635658,1030,1.3796946325438838e-17,1.0,0.0073528240886495295,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,0.24158068212773973,0.07645513439787278,3.159770550798499,0.0016252314355163593,1030,1.7246182906798548e-16,0.9999999999999999,0.003151963996152939,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,0.3791877328620882,0.07597887429474803,4.990699538283356,7.066146208672807e-07,1030,-6.018917834472694e-16,0.9999999999999999,2.62261422760916e-06,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.21724341823589982,0.07555912631791675,2.8751446558797302,0.0041220505238585125,1030,-3.018082008689746e-16,1.0000000000000002,0.007130033338566075,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.20310331823257705,0.0738327080244225,2.750858307477957,0.006048756482170959,1030,1.0175247915011143e-16,1.0,0.0099261644835626,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,0.33306435027790665,0.07648221836766407,4.354794583452132,1.4657374487858823e-05,1030,9.226707855137223e-17,1.0,3.908633196762353e-05,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.29233401519418245,0.07536752056183883,3.878779784911768,0.0001116811185841906,1030,3.7941602394956805e-17,1.0,0.0002859036635755279,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.03734369946290348,0.06559142640306334,0.5693381210133189,0.5692515627972095,1030,-1.5521564616118694e-17,0.9999999999999999,0.5692515627972095,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.04666466584774508,0.07567402208711582,-0.6166537017686834,0.5376002333242381,1030,1.0175247915011143e-16,1.0,0.5461335703611307,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.2280960456248013,0.07571976922982772,3.012371114503465,0.0026558426689973053,1030,8.07983669183512e-16,1.0,0.004999233259289046,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,0.5689372562381821,0.07466533211098896,7.619831589210171,5.770437885288323e-14,1030,3.7596678736820837e-16,1.0,4.616350308230659e-13,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,0.6277884938598621,0.07389011693665708,8.496244421943993,6.829607324893086e-17,1030,-2.552435070206185e-16,1.0,1.0927371719828938e-15,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,-0.06651987596725557,0.07206506650577871,-0.9230530018580018,0.35619702465987235,1030,3.518221312986904e-16,1.0,0.3799434929705305,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,0.37427385082056464,0.07703665167052812,4.8583867899823385,1.3683733127882784e-06,1030,-2.49638497575909e-16,1.0,4.6092574746552534e-06,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,0.3395498735458479,0.0751905410829102,4.515858892030543,7.0385395089221396e-06,1030,-4.915162128437586e-16,1.0,1.9585501242218128e-05,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.19526652055427055,0.07949909821529737,2.456210509777795,0.014206234842498108,1030,4.656469384835608e-17,1.0000000000000002,0.017154698677733563,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.19526652055427055,0.07949909821529737,2.456210509777795,0.014206234842498108,1030,4.656469384835608e-17,1.0000000000000002,0.017154698677733563,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.04102739883820483,0.06514882911662687,0.6297488288662748,0.5289994126125868,1030,-2.0867881317226244e-16,1.0,0.546063909793638,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,-0.26751664935355174,0.06980429216773572,-3.8323810907031985,0.00013463944374197598,1030,-2.0005572171886315e-16,1.0,0.0003314201692110178,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,0.22706627705366492,0.07649847810578869,2.9682456785566123,0.003064746520659509,1030,-3.2250362035713287e-16,1.0000000000000002,0.005604107923491673,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,0.37800758389524075,0.07587163070810941,4.982199280116936,7.376102515150762e-07,1030,5.389432158374546e-16,1.0,2.62261422760916e-06,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,0.2441680413997955,0.07556856112101283,3.231079668286834,0.001272532061153004,1030,2.3972194240449983e-16,0.9999999999999999,0.002545064122306008,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,0.24780510614696702,0.07442014096185959,3.329812372620571,0.0009000413010190138,1030,2.85424327107516e-16,1.0,0.0018581497827489318,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
