roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-0.18273692415587917,0.02277736514217275,-8.02274200792163,2.3385392006199457e-15,1272,1.8154590339782433e-17,1.0000000000000002,2.1380929834239504e-14,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,-0.32630323907255315,0.023351736442824303,-13.973403642658106,2.260927658092371e-41,1272,-5.306726407013327e-17,1.0,1.4469937011791175e-39,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,0.03875658536115542,0.027349149335352874,1.4171038698836869,0.15669859815603798,1272,8.951609544461953e-16,0.9999999999999999,0.2279252336815098,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,0.06795018872961371,0.027385537825418086,2.481243536745342,0.013221532575794058,1272,-5.264831198536906e-16,0.9999999999999999,0.02820593616169399,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.08405933640845198,0.026903577030757287,3.1244669179994857,0.0018217345871070704,1272,-3.100245427255154e-16,1.0,0.004484269752878942,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.020149252007797113,0.026660631319280478,0.7557679998832415,0.4499288983140102,1272,-5.697748352793256e-16,1.0,0.457070626858677,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,0.11100528139436133,0.02749177285347492,4.037763660641129,5.720330396958446e-05,1272,-4.482787306977048e-16,0.9999999999999999,0.00016640961154788206,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.04798654668214586,0.027119808511363967,1.7694279316920005,0.07706318816849218,1272,-4.7481236273277137e-17,1.0,0.14506011890539705,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,-0.16584433574710536,0.023264979899596035,-7.128496842156525,1.7002531426033442e-12,1272,5.935154534159642e-17,1.0,8.683219323618218e-12,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.01760083484462638,0.02733099128370974,-0.6439881620802065,0.5196997586514818,1272,-5.02742501717052e-17,0.9999999999999999,0.5196997586514818,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
