roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Left-Lateral-Ventricle,0.30879189881122515,0.30879189881122515,0.30879189881122515,602,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Inf-Lat-Vent,0.5383794042100137,0.5383794042100137,0.5383794042100137,602,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Cerebellum-White-Matter,-0.09490624426165133,-0.09490624426165133,-0.09490624426165133,602,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Left-Cerebellum-Cortex,-0.07423701597278366,-0.07423701597278366,-0.07423701597278366,602,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Left-Thalamus,-0.11260688664269089,-0.11260688664269089,-0.11260688664269089,602,LH,thalamus,thalamus,,,fs8_subcortical_volume,,MCI
Left-Caudate,0.04906480600632909,0.04906480600632909,0.04906480600632909,602,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-Putamen,-0.09862973685662464,-0.09862973685662464,-0.09862973685662464,602,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-Pallidum,-0.06187135794606108,-0.06187135794606108,-0.06187135794606108,602,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
3rd-Ventricle,0.214488192471181,0.214488192471181,0.214488192471181,602,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
4th-Ventricle,-0.05124357714649379,-0.05124357714649379,-0.05124357714649379,602,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Brain-Stem,-0.09246400213573801,-0.09246400213573801,-0.09246400213573801,602,,brainstem,brainstem,,,fs8_subcortical_volume,,MCI
Left-Hippocampus,-0.5274630985737332,-0.5274630985737332,-0.5274630985737332,602,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
Left-Amygdala,-0.41811723646340254,-0.41811723646340254,-0.41811723646340254,602,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
CSF,0.09665656871793608,0.09665656871793608,0.09665656871793608,602,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Accumbens-area,-0.25233718546319855,-0.25233718546319855,-0.25233718546319855,602,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-VentralDC,-0.1282636235552443,-0.1282636235552443,-0.1282636235552443,602,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,MCI
Left-vessel,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,LH,vessel,vessel,,,fs8_subcortical_volume,,MCI
Left-choroid-plexus,-0.003741728793603167,-0.003741728793603167,-0.003741728793603167,602,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Lateral-Ventricle,0.28278828532097927,0.28278828532097927,0.28278828532097927,602,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Inf-Lat-Vent,0.5949522706135528,0.5949522706135528,0.5949522706135528,602,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Cerebellum-White-Matter,-0.09955107241815013,-0.09955107241815013,-0.09955107241815013,602,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Right-Cerebellum-Cortex,-0.07271691630567292,-0.07271691630567292,-0.07271691630567292,602,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Right-Thalamus,-0.11866906382133237,-0.11866906382133237,-0.11866906382133237,602,RH,thalamus,thalamus,,,fs8_subcortical_volume,,MCI
Right-Caudate,0.03446364537929562,0.03446364537929562,0.03446364537929562,602,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Putamen,-0.08429639465168687,-0.08429639465168687,-0.08429639465168687,602,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Pallidum,-0.03925738798223508,-0.03925738798223508,-0.03925738798223508,602,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Hippocampus,-0.5194263417841887,-0.5194263417841887,-0.5194263417841887,602,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
Right-Amygdala,-0.40862435358037963,-0.40862435358037963,-0.40862435358037963,602,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
