roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-0.08409906456476834,0.056725049010106235,-1.4825736783371506,0.13843120362003283,1299,-9.982605794935973e-17,0.9999999999999998,0.23944856842384057,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.10875293498612093,0.06066532581775566,1.7926704179060204,0.07325914345092142,1299,-1.8460983319402142e-16,1.0,0.13161276235916702,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.014961425248653541,0.06636125111534809,-0.22545423718199384,0.8216615227859417,1299,1.3674802458816401e-17,0.9999999999999999,0.8287333063729714,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,0.21180780895931237,0.06654325020477711,3.183009671266505,0.0014922204726878266,1299,1.0734719930170874e-16,1.0,0.01591701837533682,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.08861026557530632,0.06549850086022665,1.3528594458123555,0.17633686023933023,1299,-3.309302195033569e-16,1.0000000000000002,0.28937330911069575,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,-0.06518731616483808,0.06472499382256543,-1.007142871941248,0.3140544101353215,1299,-1.3538054434228236e-16,1.0,0.4568064147422858,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,0.1627844818970894,0.06704235425696876,2.4280842118572927,0.015314416945139134,1299,-2.799915803442658e-16,1.0000000000000002,0.04817867845544538,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.12840941454335816,0.06585181891633905,1.9499752118691656,0.051394785038808004,1299,2.488814047504585e-16,1.0,0.10610536266076491,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.12873680760403375,0.05730938923624064,2.246347576194804,0.024849853362369844,1299,-1.7435373134990912e-16,0.9999999999999999,0.06116886981506423,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.13201109689898421,0.06607345251758723,1.9979445884691118,0.045931663701291654,1299,2.365740825375237e-16,1.0,0.0979875492294222,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.13586948042707664,0.06561474843326334,2.0707155581838323,0.0385832958566903,1299,4.7178068482916583e-17,0.9999999999999999,0.08514934258028203,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,0.16113108493174721,0.06667981530385679,2.4164896707868855,0.015808628868193016,1299,7.657889376937185e-16,1.0,0.04817867845544538,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,0.26757502200324584,0.06626824293973659,4.0377563993446275,5.713350464815386e-05,1299,-3.883643898303858e-16,0.9999999999999999,0.0012188480991606157,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.2523108421558307,0.06178868017404224,4.083447671080501,4.709425686142003e-05,1299,5.770766637620521e-16,1.0000000000000002,0.0012188480991606157,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,0.18530304069468148,0.06770698947090326,2.7368376905063037,0.0062882037264242385,1299,-6.4203197544143e-16,1.0,0.04341854742058604,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,0.1780744648161758,0.06567084734116643,2.7116212448281907,0.006784148034466569,1299,5.196424934350232e-17,1.0,0.04341854742058604,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.02609358896810253,0.07001234420976618,0.3726998326169841,0.7094328965782397,1299,9.57236172117148e-18,1.0000000000000002,0.7747542011413125,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.02609358896810253,0.07001234420976618,0.3726998326169841,0.7094328965782397,1299,9.57236172117148e-18,1.0000000000000002,0.7747542011413125,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,-0.10312667015102377,0.05768155525944346,-1.787862162994299,0.07403217882703145,1299,-4.7178068482916583e-17,1.0,0.13161276235916702,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,0.14168239984082784,0.06159538506656042,2.3002112851104806,0.021594740920123538,1299,1.162358208999394e-16,0.9999999999999999,0.05775967406454197,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-0.014364182787379642,0.0663870698901082,-0.21637018791696863,0.8287333063729714,1299,-6.358783143349626e-16,1.0,0.8287333063729714,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,0.1963507559863595,0.06640547033378513,2.956846100169282,0.003164395334455873,1299,3.842619490927409e-16,0.9999999999999999,0.025315162675646985,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,0.07160371492061901,0.06557036425217093,1.0920133773429255,0.27503049314617156,1299,4.574221422474086e-16,1.0,0.4093477107291856,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,-0.03211114184398935,0.0653259452867879,-0.49155265496760897,0.6231189855529212,1299,4.0477415278096544e-16,1.0,0.7747542011413125,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,0.17462110455082103,0.06716608246634301,2.5998405465783097,0.009432877412868506,1299,-1.9760089552989698e-16,1.0,0.04817867845544538,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,0.12565070755291521,0.06591207968209624,1.906338081865225,0.05682769882554746,1299,-1.162358208999394e-16,0.9999999999999999,0.11365539765109492,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,0.14299353978320567,0.06653888778338894,2.149022091392745,0.03181767755962867,1299,8.150182265454575e-16,1.0,0.0727261201362941,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,0.25353512460039396,0.06628234295836803,3.825077890798753,0.0001369598785624648,1299,-4.10244073764492e-16,1.0,0.002191358056999437,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,0.2071825126960518,0.06711052266031264,3.0871837155065696,0.0020635734250377064,1299,-5.497270588444194e-16,1.0,0.01886695702891617,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-VentralDC,0.15978307790237006,0.06552997364065373,2.438320497099105,0.014889470563517878,1299,2.5024888499634016e-16,1.0,0.04817867845544538,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Right-vessel,0.02609358896810253,0.07001234420976618,0.3726998326169841,0.7094328965782397,1299,9.57236172117148e-18,1.0000000000000002,0.7747542011413125,RH,vessel,vessel,,,fs8_subcortical_volume,
Right-choroid-plexus,0.02609358896810253,0.07001234420976618,0.3726998326169841,0.7094328965782397,1299,9.57236172117148e-18,1.0000000000000002,0.7747542011413125,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
5th-Ventricle,0.02609358896810253,0.07001234420976618,0.3726998326169841,0.7094328965782397,1299,9.57236172117148e-18,1.0000000000000002,0.7747542011413125,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
WM-hypointensities,-0.1674968823938089,0.06925300518344425,-2.418622584682448,0.015716673957845616,1299,2.73496049176328e-18,0.9999999999999999,0.04817867845544538,,hypointensity,hypointensity,,,fs8_subcortical_volume,
