roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,0.06978593029687981,0.02146207311124304,3.251593167871654,0.0011651904676696187,2173,-5.231791887787208e-17,1.0,0.005076015388482402,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,0.06779372535533178,0.021488388759654968,3.1549003563550717,0.0016275324142225262,2173,-3.269869929867005e-17,1.0,0.005076015388482402,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,0.05697462804736017,0.021532809228180308,2.645944959787069,0.00820516002479881,2173,3.923843915840406e-17,1.0,0.00941728593755318,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,0.06374073930563744,0.021505173409874952,2.9639723470617705,0.0030700403513806737,2173,-5.231791887787208e-17,0.9999999999999998,0.005211328999822656,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,0.07264181575844006,0.021476177329712746,3.382436950636395,0.0007312132415959252,2173,-6.53973985973401e-17,1.0,0.005076015388482402,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,0.056908506910366356,0.02149972428374394,2.646941242562594,0.00818110548218223,2173,-1.438742769141482e-16,1.0,0.00941728593755318,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,0.06584200514215617,0.021493253728873372,3.06338007138054,0.0022154268717896543,2173,6.53973985973401e-18,1.0,0.005076015388482402,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.06378660478822151,0.02150625313013673,2.9659561989827643,0.003050387059054604,2173,1.307947971946802e-17,1.0,0.005211328999822656,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.07043749982387121,0.021491815358099603,3.277410430446746,0.0010641754828642916,2173,0.0,1.0,0.005076015388482402,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,0.060316136048614584,0.021505984614519726,2.8046209987471236,0.005082460809634819,2173,3.269869929867005e-17,1.0,0.006364254651824184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,0.06675006119581504,0.021488677753474465,3.106289831398414,0.001919026373651911,2173,-1.5041401677388224e-16,0.9999999999999999,0.005076015388482402,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,0.06647580376425434,0.021498027519640448,3.0921815363536265,0.0020121981605421596,2173,-1.5041401677388224e-16,0.9999999999999999,0.005076015388482402,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,0.04930670789919384,0.021526321273955505,2.290531079216474,0.022086093951140296,2173,-2.615895943893604e-17,0.9999999999999999,0.022878928092976102,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.06773570125401399,0.021485654226540477,3.152601291067155,0.001640344143208092,2173,-1.5695375663361624e-16,0.9999999999999998,0.005076015388482402,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,0.06722511634790919,0.021495601666646387,3.127389379019752,0.0017870626493746225,2173,-3.923843915840406e-17,1.0,0.005076015388482402,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,0.0613478325820255,0.021503114188233922,2.852974320137956,0.0043722693199927795,2173,0.0,0.9999999999999999,0.005927506057976788,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,0.0640905132606909,0.02148685014002794,2.982778436253736,0.0028882935873870987,2173,-1.1117557761547816e-16,0.9999999999999998,0.005182456222414528,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,0.06000713731386755,0.021514700754495387,2.789122563153911,0.00533125992389404,2173,1.307947971946802e-17,1.0,0.006606837451696908,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,0.06918794583990805,0.02149780055045559,3.218373232067305,0.0013082196104695068,2173,-8.501661817654213e-17,0.9999999999999999,0.005076015388482402,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,0.0744010515035525,0.02148398943988271,3.4630929098035663,0.0005443595926831072,2173,1.177153174752122e-16,1.0,0.005076015388482402,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,0.06546958832291047,0.021501225067294828,3.044923631932732,0.002355380611686883,2173,7.847687831680812e-17,0.9999999999999999,0.005076015388482402,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,0.04776357702594558,0.02151810609575986,2.2196924215071783,0.026542712533035705,2173,-5.88576587376061e-17,1.0000000000000002,0.02707892894784451,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,0.058831776118330376,0.02150184376772939,2.7361270388647725,0.006267359313348939,2173,-6.53973985973401e-18,1.0,0.0075808777323142845,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,0.06317119548551586,0.0214971265356091,2.9385878796812865,0.0033319191244452723,2173,5.88576587376061e-17,0.9999999999999998,0.00541686635048508,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,0.07129727292429178,0.021484585727914576,3.3185314265406745,0.0009198833207541193,2173,3.269869929867005e-17,1.0,0.005076015388482402,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,0.07358345942442872,0.02146794907335177,3.4275961421842616,0.0006203121652505586,2173,-9.809609789601015e-17,1.0000000000000002,0.005076015388482402,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,0.06500135607301102,0.02150101073220784,3.0231767651574177,0.002530658164497893,2173,-2.615895943893604e-17,1.0,0.005076015388482402,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,0.07906498777175017,0.02147597975091026,3.6815544011862364,0.00023747802662936216,2173,-1.0463583775574416e-16,1.0000000000000002,0.005076015388482402,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,0.0644538010765229,0.02150058962233986,2.997769001160469,0.00275052044888218,2173,-3.269869929867005e-17,0.9999999999999999,0.005182456222414528,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_1,0.06386940944182344,0.021492019523112842,2.9717732841782185,0.0029934194642472793,2173,5.231791887787208e-17,1.0,0.005211328999822656,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_2,0.06523873449217667,0.021492736006297197,3.0353852796155056,0.0024308421433635397,2173,-1.307947971946802e-17,1.0,0.005076015388482402,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FrMed,0.06749785497947444,0.02149001482472072,3.140893830460707,0.001707037469658292,2173,-3.923843915840406e-17,1.0,0.005076015388482402,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_IPL_1,0.06741422166003569,0.02149989315303442,3.1355607760553488,0.0017382377919524722,2173,-8.501661817654213e-17,1.0,0.005076015388482402,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_1,0.06654422209891359,0.021481790590054114,3.0977036955998907,0.0019752456148679244,2173,1.1117557761547816e-16,1.0,0.005076015388482402,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_2,0.06878862867326214,0.02148936723680992,3.2010541732206796,0.0013890591359252257,2173,-6.53973985973401e-18,0.9999999999999999,0.005076015388482402,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_PFCv,0.06523372170716069,0.021503396969734023,3.033647279031168,0.002444828299337324,2173,7.847687831680812e-17,0.9999999999999998,0.005076015388482402,LH,ContB,prefrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_Temp,0.06437880749532325,0.02150254664805417,2.9940085027625822,0.002784505640276221,2173,3.269869929867005e-17,1.0,0.005182456222414528,LH,ContB,temporal,ContB,temporal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_1,0.07280943902622847,0.021482617248240604,3.389225725379968,0.0007134404132487834,2173,3.269869929867005e-17,1.0,0.005076015388482402,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_2,0.07537575310169319,0.021460445320272088,3.5123107641429656,0.0004533119128482114,2173,-1.373345370544142e-16,1.0,0.005076015388482402,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_3,0.0672625361885256,0.021505646909385,3.1276685826722295,0.001785373777075744,2173,-4.577817901813807e-17,1.0,0.005076015388482402,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PFCl_1,0.06287782601724179,0.021501032727784832,2.92440957666129,0.0034868989466625097,2173,-3.923843915840406e-17,1.0,0.005590107835125611,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PFCl_2,0.060977421572977995,0.021499424294423617,2.836235088806258,0.004607240877626272,2173,7.19371384570741e-17,0.9999999999999999,0.006041252863934711,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PrCv,0.06592904036780779,0.02149352938915514,3.0673901514319564,0.0021860455603751085,2173,-3.923843915840406e-17,1.0,0.005076015388482402,LH,ContA,precentral,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_TempOcc,0.06823530152986619,0.02149217118058929,3.1748910315535306,0.0015199554800056135,2173,1.5695375663361624e-16,1.0,0.005076015388482402,LH,ContA,temporo_occipital,ContA,temporal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_pCun,0.06960353667937587,0.02147604164241478,3.2409853658464787,0.0012092094786942398,2173,-2.615895943893604e-17,1.0,0.005076015388482402,LH,ContA,precuneus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_Language_PFCv,0.06172029678708845,0.021510748033790467,2.8692771023180708,0.0041539269694852565,2173,1.307947971946802e-16,0.9999999999999999,0.005784660064545704,LH,Language,prefrontal,Language,frontal,fs8_thickness_kong200_17,Language
lh_17networks_LH_Language_Temp_1,0.0721908657865415,0.021493273337543306,3.358765538073828,0.0007964545659776794,2173,-8.501661817654213e-17,1.0,0.005076015388482402,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language
lh_17networks_LH_Language_Temp_2,0.06493655569490576,0.021505233622823243,3.0195698793055374,0.002560857732809368,2173,-9.809609789601015e-17,1.0,0.005076015388482402,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language
lh_17networks_LH_Language_Temp_3,0.060932813196959174,0.02151746556338383,2.831783930011175,0.0046716195687014255,2173,7.19371384570741e-17,0.9999999999999999,0.006041252863934711,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language
lh_17networks_LH_SalVenAttnB_FrMed,0.07451335807861442,0.021485802618676202,3.4680276739508367,0.0005345150824508415,2173,2.615895943893604e-17,1.0,0.005076015388482402,LH,SalVenAttnB,medial_frontal,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnB_Ins,0.07227265113335882,0.021478097645103597,3.364946576161737,0.0007789162749152545,2173,5.88576587376061e-17,1.0,0.005076015388482402,LH,SalVenAttnB,insula,SalVenAttnB,insula,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnB_PFCl,0.06398891629400466,0.021500165839351562,2.9762057079990667,0.0029506659156529227,2173,5.88576587376061e-17,1.0,0.005211328999822656,LH,SalVenAttnB,prefrontal,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnB_PrCv,0.05666003395970456,0.021505876479188873,2.6346303074201223,0.008482821982435853,2173,2.615895943893604e-17,1.0,0.009680960680520014,LH,SalVenAttnB,precentral,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnB_Temp,0.0651450210502908,0.021497180611821626,3.0303983683547115,0.002471170962077037,2173,1.307947971946802e-16,1.0,0.005076015388482402,LH,SalVenAttnB,temporal,SalVenAttnB,temporal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_FrMed_1,0.06185863898149562,0.02150443008609231,2.8765532838511185,0.004059711641878298,2173,-5.231791887787208e-17,0.9999999999999999,0.00573469756405186,LH,SalVenAttnA,medial_frontal,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_FrMed_2,0.0662569150803411,0.021500542784499907,3.0816391820631983,0.002084512648648448,2173,9.155635803627614e-17,0.9999999999999999,0.005076015388482402,LH,SalVenAttnA,medial_frontal,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_IPL,0.05859450136224967,0.021515061672335356,2.7234177737725034,0.0065128023951142025,2173,8.501661817654213e-17,0.9999999999999999,0.007784533040314017,LH,SalVenAttnA,inferior_parietal,SalVenAttnA,parietal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_Ins,0.05297906284279041,0.02152288230896176,2.461522675368198,0.013912187149785626,2173,-7.19371384570741e-17,1.0,0.01494820108647179,LH,SalVenAttnA,insula,SalVenAttnA,insula,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_Oper,0.06386564303806268,0.02150387461340417,2.9699597949781955,0.0030110741707389437,2173,-1.177153174752122e-16,0.9999999999999999,0.005211328999822656,LH,SalVenAttnA,opercular,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_PrCd,0.058288871820156705,0.021516568440818354,2.709022676198629,0.006801225026663498,2173,-4.577817901813807e-17,1.0,0.008034195645532318,LH,SalVenAttnA,precentral,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_SPL,0.07077056338095158,0.0214790525307146,3.2948642999848876,0.0010005447151977063,2173,1.242550573349462e-16,1.0,0.005076015388482402,LH,SalVenAttnA,superior_parietal,SalVenAttnA,parietal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_SalVenAttnA_ST,0.06099427240753134,0.021508446113774355,2.8358288685703625,0.004613082668958305,2173,1.307947971946802e-17,1.0,0.006041252863934711,LH,SalVenAttnA,auditory_superior_temporal,SalVenAttnA,temporal,fs8_thickness_kong200_17,SalVentAttn
lh_17networks_LH_DorsAttnB_PostC_1,0.06582071223331384,0.02150495567646,3.060722989788036,0.0022350939616117105,2173,1.961921957920203e-17,0.9999999999999999,0.005076015388482402,LH,DorsAttnB,postcentral,DorsAttnB,parietal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnB_PostC_2,0.0609317131688577,0.021505764790050914,2.833273485677021,0.00464998542195381,2173,5.231791887787208e-17,1.0,0.006041252863934711,LH,DorsAttnB,postcentral,DorsAttnB,parietal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnB_PrCd,0.059243999829888344,0.02151093461538209,2.7541341596345146,0.005933863987270447,2173,-1.307947971946802e-17,1.0,0.0073032241486026325,LH,DorsAttnB,precentral,DorsAttnB,frontal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnB_SPL,0.06964106301518347,0.021496109419875755,3.2397054580859117,0.001214623378863659,2173,-7.19371384570741e-17,1.0,0.005076015388482402,LH,DorsAttnB,superior_parietal,DorsAttnB,parietal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnA_PFCd,0.06266666749990264,0.02151282105367347,2.9129916222308676,0.003616447072537993,2173,4.577817901813807e-17,1.0,0.005647996681817432,LH,DorsAttnA,prefrontal,DorsAttnA,frontal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnA_SPL_1,0.0707061769646387,0.02147935876721257,3.291819729393831,0.0010113840479746478,2173,-3.269869929867005e-17,0.9999999999999999,0.005076015388482402,LH,DorsAttnA,superior_parietal,DorsAttnA,parietal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnA_SPL_2,0.06682625196929887,0.021484430206098228,3.110450280889024,0.0018923173473357462,2173,-5.231791887787208e-17,1.0,0.005076015388482402,LH,DorsAttnA,superior_parietal,DorsAttnA,parietal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_DorsAttnA_TempOcc,0.06242680903359541,0.021491253374465218,2.9047542247009046,0.0037126122646630915,2173,-5.88576587376061e-17,1.0000000000000002,0.005647996681817432,LH,DorsAttnA,temporo_occipital,DorsAttnA,temporal,fs8_thickness_kong200_17,DorsAttn
lh_17networks_LH_Aud_Ins,0.053024948775633726,0.021518834449077814,2.464118068342038,0.013812135933684936,2173,1.307947971946802e-17,1.0,0.014920061275959129,LH,Aud,insula,Aud,insula,fs8_thickness_kong200_17,Aud
lh_17networks_LH_Aud_ST,0.055109787452342594,0.021529772600499916,2.5597013249950886,0.010543462424403651,2173,-1.961921957920203e-17,1.0,0.011702084668843612,LH,Aud,auditory_superior_temporal,Aud,temporal,fs8_thickness_kong200_17,Aud
lh_17networks_LH_SomMotB_1,0.05027550691209219,0.02154734448910024,2.333257675326263,0.019725594513625246,2173,7.19371384570741e-17,1.0,0.02075296922787656,LH,SomMotB,unknown_subregion,SomMotB,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotB_2,0.050177598576650585,0.02154121028297305,2.329376943890324,0.019930490536704842,2173,-6.53973985973401e-18,1.0,0.020859891649815433,LH,SomMotB,unknown_subregion,SomMotB,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotB_3,0.06273404366462527,0.021520724815384626,2.9150525459894494,0.003592744641224954,2173,-7.847687831680812e-17,1.0,0.005647996681817432,LH,SomMotB,unknown_subregion,SomMotB,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotB_4,0.05353722460302085,0.021536293142832917,2.4859071265399058,0.012996946356651336,2173,0.0,1.0,0.014114963247546073,LH,SomMotB,unknown_subregion,SomMotB,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotB_Ins,0.06453278786912607,0.021489762226313113,3.0029549508048525,0.0027042747481335495,2173,2.615895943893604e-17,1.0,0.005182456222414528,LH,SomMotB,insula,SomMotB,insula,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_1,0.05417779842128071,0.021531260518204098,2.5162390458038835,0.011933119317209607,2173,-6.53973985973401e-17,1.0,0.013172077060526451,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_2,0.031740810754833405,0.02159658620616634,1.4697142618665653,0.14178418743896418,2173,-3.269869929867005e-17,1.0,0.1424895814063222,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_3,0.0556288351412604,0.021529028748463273,2.5838989668881904,0.009833883383428955,2173,-9.155635803627614e-17,1.0,0.011035802463625828,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_4,0.06247287337037873,0.021496626352086358,2.906171058991097,0.003695907934101549,2173,-8.501661817654213e-17,1.0,0.005647996681817432,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_5,0.06745946361524109,0.021502626789491188,3.1372661710433456,0.001728203994238222,2173,3.269869929867005e-17,0.9999999999999999,0.005076015388482402,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_6,0.031193424145489847,0.02158576906024245,1.4450920909249958,0.14857647193292903,2173,-7.19371384570741e-17,1.0,0.14857647193292903,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_7,0.06176981443826383,0.02151795063576202,2.8706179079900265,0.004136417792490003,2173,4.577817901813807e-17,1.0,0.005784660064545704,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_8,0.06501621216184278,0.02150343091880233,3.023527380693163,0.002527739998378331,2173,3.269869929867005e-17,1.0,0.005076015388482402,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_9,0.058360649574289006,0.021518061212933603,2.712170441229662,0.00673719229514892,2173,5.231791887787208e-17,1.0,0.008005369668353423,LH,SomMotA,unknown_subregion,SomMotA,unknown,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_SomMotA_Ins,0.06031442593770581,0.02151587688535637,2.8032520477357625,0.005104006205918405,2173,-1.307947971946802e-17,1.0,0.006364254651824184,LH,SomMotA,insula,SomMotA,insula,fs8_thickness_kong200_17,SomMot
lh_17networks_LH_VisualC_ExStr,0.06202093871960598,0.02149154576386842,2.8858295909024636,0.003942413525427019,2173,1.7003323635308426e-16,1.0,0.005647996681817432,LH,VisualC,visual_occipital,VisualC,occipital,fs8_thickness_kong200_17,Vis
