roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,0.2476824293944998,0.06286273209412019,3.940051937667319,8.647735122330874e-05,1131,-5.0259433121846164e-17,1.0,0.0010968539227892721,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,0.189465222745769,0.06315626506950982,2.9999434345467306,0.0027596865375228304,1131,-7.538914968276925e-17,1.0,0.0033991261010951936,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,0.144924994063578,0.06353304163114787,2.2810964238886164,0.022728838226001382,1131,1.2564858280461541e-17,1.0,0.022956126608261396,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,0.1640824215964908,0.06321932788394033,2.5954471059502175,0.00956967280948679,1131,-1.2564858280461541e-17,1.0,0.010068093268314227,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,0.17679871598049418,0.06312994624525654,2.800552297219459,0.005188790857461179,1131,0.0,1.0,0.0058429620306200145,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,0.21116675168447746,0.06323407056336976,3.3394458051353437,0.0008669561875697308,1131,-7.538914968276925e-17,0.9999999999999999,0.0015361855253428563,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,0.21009186063372282,0.06308081129705184,3.3305193182184345,0.0008949536595430931,1131,2.5129716560923082e-17,1.0,0.001558453786445731,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.2013589707040754,0.0631771016725911,3.187214439617661,0.0014760296458947188,1131,-1.1308372452415388e-16,1.0,0.002070541586602314,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.20842466253626626,0.06305609094509707,3.3053850851259017,0.0009783577694669257,1131,6.282429140230771e-17,0.9999999999999998,0.0015937763663896693,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,0.2288156736401591,0.063152902827886,3.6232012052361666,0.0003039550284708992,1131,5.0259433121846164e-17,0.9999999999999999,0.0010968539227892721,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,0.233155137708673,0.06304967245985213,3.697959539078307,0.00022781751288882132,1131,0.0,0.9999999999999999,0.0010968539227892721,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,0.1562005670065463,0.06326439932555132,2.4690120932430917,0.013696240494043412,1131,-1.507782993655385e-16,1.0,0.013902716481390801,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,0.1620386187961933,0.06347834851108196,2.5526596484769106,0.010821440834375274,1131,1.3821344108507697e-16,1.0,0.011152709431345947,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.16339413465277824,0.06319972874847343,2.585361328101032,0.009852484670300846,1131,5.0259433121846164e-17,1.0,0.010311926960625757,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,0.18566711502923589,0.06317984721662545,2.93870788247773,0.0033630368633941533,1131,-1.2564858280461541e-17,1.0,0.004019724534944491,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,0.19503246293075474,0.06321770241255158,3.0850925530003437,0.0020845094772373365,1131,1.2564858280461542e-16,1.0,0.0027361306434649625,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,0.19468650601179135,0.06317172659535797,3.08186140389738,0.002107074985074358,1131,3.7694574841384623e-17,1.0,0.0027459944966775505,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,0.21169626995544719,0.06327882015743667,3.345452229177951,0.000848577404001211,1131,7.538914968276925e-17,1.0,0.0015304699607878983,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,0.21446322951290103,0.06311966612125348,3.39772439703523,0.0007032428581766867,1131,-1.2564858280461541e-17,0.9999999999999998,0.001434899569208997,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,0.21156571203361163,0.06307188977296105,3.3543582219461254,0.0008219914280045905,1131,3.7694574841384623e-17,1.0,0.0015304699607878983,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,0.20195393174959922,0.0631632567996883,3.1973324679894564,0.0014256690809261938,1131,1.2564858280461541e-17,1.0,0.002028064467233036,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,0.12170921406353866,0.0635802685365394,1.9142607740574846,0.05584008583170713,1131,-6.282429140230771e-17,1.0,0.05584008583170713,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,0.16068962447527368,0.06335070914482875,2.5365086933425527,0.011330585190141967,1131,7.538914968276925e-17,1.0,0.01161816349446029,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,0.1686124817811606,0.06323401766413046,2.666483769491783,0.007774759834395761,1131,-1.3821344108507697e-16,1.0,0.008398403671379378,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,0.19817064997939265,0.06312937513756882,3.1391194598005714,0.0017386305383410023,1131,2.5129716560923082e-17,0.9999999999999999,0.002372995734762719,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,0.2126798377960153,0.0629504611962112,3.378527079144193,0.0007536917764295225,1131,-2.5129716560923082e-17,0.9999999999999999,0.001492605282732976,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,0.20580443800253292,0.0631982753566624,3.2564882006837372,0.0011616252868105175,1131,5.0259433121846164e-17,1.0,0.0017991475852411642,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,0.23979550771990016,0.06292918562939295,3.8105611143948526,0.00014615155266841108,1131,5.0259433121846164e-17,1.0,0.0010968539227892721,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,0.2086261000626148,0.06320278877574347,3.300900230887964,0.0009939772688386576,1131,-1.2564858280461542e-16,1.0,0.0016062672664432706,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
