roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,0.3486226778353951,0.04969850762485385,7.014751438150861,3.4025449707668263e-12,1587,8.95453983314556e-18,0.9999999999999999,3.726020374624061e-11,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,0.32751548734154023,0.049940735962439024,6.558082916276368,7.360161400538131e-11,1587,9.849993816460116e-17,0.9999999999999999,8.902710197058098e-11,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,0.31020616251373273,0.05008574865589696,6.193501561590612,7.485434218501286e-10,1587,-3.581815933258224e-17,1.0,7.522675184762487e-10,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,0.3264946748496811,0.050020637920546535,6.527199340565982,8.999926257082349e-11,1587,-1.790907966629112e-17,0.9999999999999999,1.0388486308175052e-10,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,0.3305432503744333,0.04986799513279721,6.628364535093199,4.642063536788634e-11,1587,8.95453983314556e-17,0.9999999999999998,6.422581057748657e-11,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,0.3422131721409811,0.04989718900200431,6.858365751369979,9.95732205264314e-12,1587,-8.95453983314556e-17,1.0,3.726020374624061e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,0.3379314332724469,0.04989731167837125,6.772537876402837,1.7784384466104762e-11,1587,-1.8804533649605676e-16,1.0,4.068884867736169e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.3350768020208038,0.049956419380092584,6.707382277968674,2.7500966590215088e-11,1587,-1.1640901783089227e-16,1.0,4.6925726750539234e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.3290973762296271,0.04989555631799467,6.595725161018781,5.7532706084464704e-11,1587,-1.611817169966201e-16,1.0,7.546497811079136e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,0.3431569035016208,0.04990277734078982,6.876509120087174,8.8008895697601e-12,1587,-2.686361949943668e-17,1.0000000000000002,3.726020374624061e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,0.34136499773109674,0.04982982420101047,6.850616136112606,1.0495536506179126e-11,1587,7.163631866516448e-17,1.0,3.726020374624061e-11,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,0.31526389066469657,0.04998805409235691,6.30678461862551,3.688151243962451e-10,1587,1.611817169966201e-16,1.0,3.7437515139719347e-10,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,0.3183429580723127,0.05005385062647633,6.360009351686581,2.634111704639705e-10,1587,-1.790907966629112e-16,1.0,2.700967331661017e-10,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.3233846601848343,0.04995434859062141,6.473603786428868,1.2733362630658346e-10,1587,-7.163631866516448e-17,1.0,1.3681591762728649e-10,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,0.328871189338138,0.0499321927969363,6.58635583411263,6.117761682544858e-11,1587,0.0,0.9999999999999998,7.921717050474753e-11,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,0.3274738624438987,0.04999423164381292,6.550232930410993,7.746860718531389e-11,1587,4.47726991657278e-17,0.9999999999999999,9.205093324372592e-11,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,0.33274710616810843,0.049886780422879876,6.67004571847452,3.524380329853742e-11,1587,-8.059085849831005e-17,1.0,5.370320660965407e-11,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,0.32770910967674877,0.05000502939263607,6.553522988729779,7.58242632700591e-11,1587,-1.790907966629112e-16,1.0,9.063018450030732e-11,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,0.3277890095369606,0.04990222859442738,6.568624664060896,6.870454135141452e-11,1587,1.4327263733032896e-16,0.9999999999999999,8.62007289005325e-11,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,0.33039663828170424,0.04982507545256935,6.631131719935339,4.558165302087278e-11,1587,7.163631866516448e-17,0.9999999999999999,6.395266450564232e-11,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,0.33430148310906244,0.049926383053037635,6.6958882792276055,2.9687382044884905e-11,1587,-1.611817169966201e-16,0.9999999999999998,4.9154517812022544e-11,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,0.30229406784832724,0.050052301728379746,6.039563764495688,1.922407052897817e-09,1587,2.686361949943668e-17,0.9999999999999999,1.922407052897817e-09,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,0.31704136003139505,0.04997098231486244,6.344509260069121,2.906149493249348e-10,1587,7.163631866516448e-17,0.9999999999999998,2.964859584022062e-10,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,0.32346449590532894,0.04994044496061967,6.4770046834864115,1.2457004928330224e-10,1587,-8.95453983314556e-18,1.0,1.345622992258131e-10,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,0.3292408514537239,0.04989150241778822,6.599136836904254,5.625900435073695e-11,1587,-3.581815933258224e-17,1.0,7.476525578190042e-11,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,0.3319329021387062,0.04983556182990903,6.660563058797407,3.752825554205034e-11,1587,-6.268177883201892e-17,0.9999999999999999,5.453746488844725e-11,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,0.32749670551066135,0.04995367242390012,6.5560085899504745,7.460468307907175e-11,1587,5.372723899887336e-17,0.9999999999999999,8.970324989269341e-11,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,0.3436337404570697,0.04975501939665384,6.906514048714851,7.170960897647114e-12,1587,-1.8804533649605676e-16,1.0,3.726020374624061e-11,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,0.33574759509649543,0.04990974708745607,6.727094699722084,2.411283605300333e-11,1587,-3.581815933258224e-17,1.0,4.422905835467701e-11,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_1,0.32796670752323376,0.04991566525301002,6.570416438624078,6.790452495244298e-11,1587,-8.95453983314556e-18,1.0,8.572946275245927e-11,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_2,0.3392937211745112,0.04988120875784403,6.802034866910795,1.458114173004147e-11,1587,1.2536355766403784e-16,1.0,3.752185481875487e-11,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FrMed,0.3428024411118466,0.04983835567726021,6.878285538386199,8.695011252600273e-12,1587,9.849993816460116e-17,0.9999999999999998,3.726020374624061e-11,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_IPL_1,0.32853112499326764,0.04997808684893788,6.5735034233358105,6.654754282644064e-11,1587,-7.163631866516448e-17,1.0,8.454467704994345e-11,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont
