roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.04510795698660505,0.022489141546579362,-2.0057660668450925,0.04501614821637202,1998,-4.97877792824895e-17,1.0,0.235524724238769,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.023718626375534332,0.022548027918023197,-1.0519157800303878,0.29296571341790134,1998,4.97877792824895e-17,1.0,0.3401096213242303,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.01072987206366965,0.022618069664655332,-0.4743938020686594,0.6352710832865429,1998,-7.1125398974985e-18,1.0,0.6416237941194083,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.014876722459343425,0.02257960952631737,-0.6588564980277474,0.5100640325019856,1998,1.13800638359976e-16,1.0,0.5230098201289396,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.01998149647033108,0.022530001909480638,-0.8868839226295341,0.375248404345647,1998,-5.6900319179988e-17,1.0,0.40752783697753064,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.029736542684944706,0.022565071416218004,-1.3178129214150154,0.18771773556366803,1998,-4.2675239384991e-17,0.9999999999999999,0.2615102247162823,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.03367422663503388,0.022548117780460772,-1.4934384751269356,0.13548073683235118,1998,-6.40128590774865e-17,1.0000000000000002,0.23991982431547623,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,-0.02942785380818702,0.022568789928595,-1.303918105547231,0.1924120865837491,1998,-1.28025718154973e-16,0.9999999999999999,0.2626164965534954,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,-0.03422123783835958,0.022542861292844454,-1.5180520961295214,0.12915986845341257,1998,1.4225079794997e-16,0.9999999999999999,0.23732312919792636,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.04176065905507619,0.02256188353854556,-1.8509385080253042,0.06432626675627863,1998,0.0,1.0,0.235524724238769,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,-0.04218781336417669,0.022534484068907207,-1.872144631098384,0.06133293591353757,1998,-7.1125398974985e-18,1.0,0.235524724238769,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,-0.014993651672832453,0.02256271152080951,-0.6645323483839193,0.5064265300544122,1998,1.4225079794997e-17,0.9999999999999999,0.5219293830152615,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,-0.016598596551795738,0.02260818358503849,-0.734185322291007,0.4629221620105274,1998,-1.066880984624775e-16,1.0,0.4855499938314463,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,-0.01711055450439747,0.022547661169720436,-0.7588616121026098,0.4480250799201291,1998,-1.28025718154973e-16,1.0,0.4763214007571898,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,-0.02380156465523987,0.02255663740293776,-1.0551911718960367,0.29146579696513925,1998,-2.13376196924955e-17,1.0,0.3401096213242303,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,-0.029815196429621278,0.022567141806463256,-1.3211773420541086,0.18659389819456718,1998,-6.40128590774865e-17,1.0,0.2615102247162823,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,-0.02621776887007803,0.022545474718750444,-1.1628838690308632,0.24501584095802484,1998,-2.8450159589994e-17,1.0,0.3055135794661791,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,-0.03541768085897565,0.022579505374422396,-1.5685764710814292,0.1169054029645363,1998,1.4225079794997e-16,1.0,0.23732312919792636,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,-0.03754830627899011,0.022549880768187255,-1.6651221647239138,0.09604555844359922,1998,9.9575558564979e-17,0.9999999999999998,0.235524724238769,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
