roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_Background+FreeSurfer_Defined_Medial_Wall,0.327543012005288,0.327543012005288,0.327543012005288,831,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,,MCI
lh_17networks_LH_DefaultC_IPL,0.3036592995786671,0.3036592995786671,0.3036592995786671,831,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultC_PHC,0.2814300189148569,0.2814300189148569,0.2814300189148569,831,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_IPL_1,0.2993009475095428,0.2993009475095428,0.2993009475095428,831,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_IPL_2,0.3067250832036593,0.3067250832036593,0.3067250832036593,831,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCd_1,0.3207249410060723,0.3207249410060723,0.3207249410060723,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCd_2,0.31276976139998125,0.31276976139998125,0.31276976139998125,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCl,0.30971439232566045,0.30971439232566045,0.30971439232566045,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCm,0.30183991590207737,0.30183991590207737,0.30183991590207737,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCv_1,0.3186578486478802,0.3186578486478802,0.3186578486478802,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCv_2,0.3163912083911282,0.3163912083911282,0.3163912083911282,831,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_Temp,0.2897427133258469,0.2897427133258469,0.2897427133258469,831,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_TempPole,0.29238913135100425,0.29238913135100425,0.29238913135100425,831,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_IPL_1,0.2980079157855541,0.2980079157855541,0.2980079157855541,831,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PCC,0.30267940073742955,0.30267940073742955,0.30267940073742955,831,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_1,0.3004054825195818,0.3004054825195818,0.3004054825195818,831,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_2,0.308749089699811,0.308749089699811,0.308749089699811,831,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_3,0.30209404669413703,0.30209404669413703,0.30209404669413703,831,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCm_1,0.3005926814507228,0.3005926814507228,0.3005926814507228,831,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCm_2,0.30512906629633707,0.30512906629633707,0.30512906629633707,831,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_RSC,0.308666515739971,0.308666515739971,0.308666515739971,831,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_TempPole,0.2756943168955843,0.2756943168955843,0.2756943168955843,831,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_Temp_1,0.29159370848575217,0.29159370848575217,0.29159370848575217,831,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_Temp_2,0.2971720814269145,0.2971720814269145,0.2971720814269145,831,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_pCun,0.3078905348789301,0.3078905348789301,0.3078905348789301,831,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_ContC_PCC,0.30705621549660694,0.30705621549660694,0.30705621549660694,831,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_PFCl,0.30145699640290785,0.30145699640290785,0.30145699640290785,831,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_PFCm,0.3187114582865231,0.3187114582865231,0.3187114582865231,831,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_pCun,0.31138532944551517,0.31138532944551517,0.31138532944551517,831,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FPole_1,0.3017231279865167,0.3017231279865167,0.3017231279865167,831,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FPole_2,0.31355690826558685,0.31355690826558685,0.31355690826558685,831,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FrMed,0.31780421751358345,0.31780421751358345,0.31780421751358345,831,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_IPL_1,0.3022609740538577,0.3022609740538577,0.3022609740538577,831,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_OFC_1,0.31233340723561875,0.31233340723561875,0.31233340723561875,831,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_OFC_2,0.3161998365138287,0.3161998365138287,0.3161998365138287,831,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_PFCv,0.3095032242412437,0.3095032242412437,0.3095032242412437,831,LH,ContB,prefrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
