roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-2.0499438397682064,0.013053486391144044,-157.0418643986914,0.0,1258,-2.259277379205406e-17,0.9999999999999999,0.0,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-2.046019904447774,0.01320021820117952,-154.99894571931767,0.0,1258,-1.6944580344040544e-17,1.0,0.0,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-2.0622522720202237,0.012510415502631326,-164.84282808884072,0.0,1258,1.3555664275232435e-16,1.0,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-2.063504496947672,0.011967147556639713,-172.43077242770195,0.0,1258,1.1861206240828382e-16,0.9999999999999999,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-2.057982071248185,0.011580381864267497,-177.71279871161315,0.0,1258,1.0731567551225679e-16,0.9999999999999999,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-2.069957146518136,0.012437371258731622,-166.4304380288502,0.0,1258,-7.90747082721892e-17,1.0,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-2.0615535904016307,0.01196325204140337,-172.3238449935555,0.0,1258,-5.648193448013515e-18,1.0,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-2.058312869650635,0.011937559032965868,-172.42326207280337,0.0,1258,-5.648193448013515e-18,1.0,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-2.059880617813063,0.011526842879240367,-178.70293187763238,0.0,1258,-2.259277379205406e-17,1.0,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-2.0606003481750603,0.011590437717416812,-177.78451499537596,0.0,1258,-1.129638689602703e-17,1.0,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,-2.0575711075553103,0.011693669175235564,-175.95598752808579,0.0,1258,6.213012792814866e-17,1.0,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-2.060285870759803,0.01211979191008594,-169.99350203737893,0.0,1258,4.518554758410812e-17,1.0,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-2.0591072540928335,0.012814795021206579,-160.68202813118097,0.0,1258,5.648193448013515e-17,1.0,0.0,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,-2.059607379456372,0.010877673584415144,-189.34263502880336,0.0,1258,0.0,1.0,0.0,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
