roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.06217272850370276,0.02146488710962502,2.8964852312605003,0.003811480437137447,2173,-1.307947971946802e-17,1.0,0.007405038098257868,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.0651608087854105,0.021466453694933774,3.035471518091919,0.0024301500712137635,2173,1.6349349649335023e-17,1.0,0.007405038098257868,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.04916618101560914,0.021525985282331343,2.2840385873516804,0.022465501758120992,2173,-3.923843915840406e-17,1.0,0.024138464655002346,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.06251368301588717,0.02150696405008547,2.9066716655268103,0.0036900222019387863,2173,6.53973985973401e-17,0.9999999999999998,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.06503691100709183,0.02149977004423491,3.0250049592754253,0.002515475951038245,2173,-5.558778880773908e-17,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.04775718864295312,0.02155152446186681,2.215954083779758,0.026798097944253925,2173,1.961921957920203e-17,0.9999999999999999,0.028193832212183818,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.05951298963518876,0.02151355809232293,2.766301575025186,0.005717671095352204,2173,2.615895943893604e-17,1.0,0.008446636423640486,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.06307844543301484,0.021515288764419736,2.9317963669318226,0.003405354881607207,2173,-7.19371384570741e-17,1.0000000000000002,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.06825208093108545,0.021491424472901248,3.17578209006784,0.0015153165433146056,2173,-3.269869929867005e-17,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.0690982462623794,0.021500089357917408,3.213858561798673,0.0013288631300053505,2173,-6.21275286674731e-17,1.0000000000000002,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.060969544438784856,0.021493713444310912,2.8366221870759447,0.004601680315384977,2173,1.6676336642321725e-16,0.9999999999999999,0.007746161864231379,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.05842262490551227,0.021511983329542104,2.7158176914948284,0.006663677402940782,2173,2.2889089509069035e-17,1.0,0.008690522808756918,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,0.056520498416790924,0.021509320187579388,2.627721281931952,0.008656476047557904,2173,-2.2889089509069035e-17,0.9999999999999999,0.010597625221858767,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.06983509113570725,0.021479867694545626,3.2511881417891813,0.0011668436180685524,2173,3.923843915840406e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,0.06826095045708534,0.021484565222666358,3.177208835721264,0.0015079159388437528,2173,-1.307947971946802e-17,0.9999999999999999,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,0.05383125375937224,0.021499024999909855,2.503892793259134,0.012356442326873494,2173,-4.9048048948005077e-17,1.0,0.013866674166824699,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,0.0606372057964057,0.02150084256496245,2.820224631346283,0.004842629773725672,2173,2.615895943893604e-17,1.0,0.008018124707316278,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,0.05865054250095029,0.021502787642968733,2.727578557477343,0.006431512415697938,2173,8.501661817654213e-17,1.0,0.008661103386473225,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,0.05909974105892609,0.021498342150964935,2.749037141744134,0.006026599277158851,2173,1.0463583775574416e-16,0.9999999999999998,0.008553697345349432,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,0.068732527627466,0.021490236691057697,3.1983141282043808,0.0014022632086100886,2173,-9.482622796614314e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,0.0656968001135177,0.02149468021408539,3.0564213777168363,0.002267273123420763,2173,-4.9048048948005077e-17,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,0.06382444405857846,0.021491568477301524,2.9697434194245576,0.0030131869680462883,2173,-1.307947971946802e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,0.06249219316423214,0.021501432930917743,2.9064199286165806,0.003692980856889968,2173,1.994620657218873e-16,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,0.06374240289519885,0.02149873677030285,2.964937129852626,0.003060468214570925,2173,4.2508309088271065e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_12,0.059985643385493906,0.02150259929333717,2.789692658416471,0.005321916521843077,2173,-1.307947971946802e-17,0.9999999999999999,0.008218189806555271,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_12,0.06351327561572194,0.02149821667850437,2.9543508917754826,0.0031670058235884952,2173,1.961921957920203e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_13,0.06510298398845145,0.021487761187223297,3.0297704549677293,0.0024762920498866536,2173,-6.21275286674731e-17,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_13,0.06368095164837052,0.02149833620449933,2.962133955047317,0.0030883557093021106,2173,3.269869929867005e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_14,0.06260353770986282,0.02149212444096284,2.9128594468094473,0.003617972051328875,2173,-7.19371384570741e-17,1.0,0.007405038098257868,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_14,0.06144726444753243,0.02150164332650229,2.857793867866571,0.004306661604491985,2173,-2.942882936880305e-17,1.0,0.00756474473136853,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_1,0.04330055588307581,0.021545902302123353,2.009688676570697,0.04458778813615812,2173,-6.21275286674731e-17,1.0,0.04571945788580681,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_Vis_15,0.06775085851691537,0.021485524651570994,3.153325767726203,0.0016362969509581958,2173,-9.155635803627614e-17,1.0,0.007405038098257868,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_2,0.05212714256346552,0.02153393441205714,2.420697563482818,0.01557238710581969,2173,4.577817901813807e-17,1.0,0.017283638436129546,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
