roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.27252044909108913,0.06267639798343486,4.3480553742593075,1.4978209797944052e-05,1131,6.282429140230771e-17,0.9999999999999999,0.0010897286406704348,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.27877480991753584,0.06279395941914565,4.43951635629045,9.902505226127767e-06,1131,1.8847287420692312e-17,1.0,0.0010897286406704348,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.18165096164331443,0.06332700061652435,2.868459896645018,0.004201739076649442,1131,1.8847287420692313e-16,1.0,0.004906076840943279,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.18235149725023264,0.06317866854375956,2.8862826877070096,0.003972637791830486,1131,-1.068012953839231e-16,1.0000000000000002,0.004685066015653563,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.20802065794273072,0.06305672122422867,3.2989450435111056,0.0010008587364190916,1131,-1.1308372452415388e-16,0.9999999999999999,0.0017520882093302686,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.1698259183696084,0.06345381497341997,2.676370497829743,0.007550501275287632,1131,-3.7694574841384623e-17,1.0,0.008410498298257471,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.20722627406396146,0.06308530273733329,3.284858201073939,0.00105175923798574,1131,-2.5129716560923082e-17,0.9999999999999999,0.0017853392106984831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.19717951801801892,0.06316382041738174,3.1217161456522358,0.0018438049261441328,1131,1.3821344108507697e-16,1.0000000000000002,0.0025200502152556573,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.22968104678016585,0.06297271646394668,3.6473104493064623,0.00027711957401235646,1131,1.3821344108507697e-16,1.0,0.0010897286406704348,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.22985297570316546,0.0629777731506845,3.6497475887755684,0.0002745342583948962,1131,3.1412145701153856e-17,1.0,0.0010897286406704348,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.23588751565995758,0.06299225855970847,3.7447064298602166,0.00018974107106225346,1131,-6.910672054253849e-17,1.0,0.0010897286406704348,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.20546693660056742,0.0631151679571659,3.2554288176815245,0.001165926545876454,1131,-6.2824291402307705e-18,1.0,0.001914773676967835,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,0.2020369671344627,0.0631683941284431,3.198386945276018,0.0014205129173971247,1131,8.167157882300002e-17,0.9999999999999999,0.002173815222077418,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.25199458891308174,0.0628265535859646,4.010956745674127,6.446154647281968e-05,1131,6.2824291402307705e-18,1.0,0.0010897286406704348,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,0.2524201680710458,0.06284744872576473,4.016394828889283,6.301328595940175e-05,1131,-1.3193101194484618e-16,1.0,0.0010897286406704348,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,0.2142389643533715,0.06306472059453742,3.3971285741639927,0.0007047601956412066,1131,-6.910672054253849e-17,1.0,0.00143799555070226,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,0.19779455226509562,0.06309391421320745,3.1349228326000937,0.001763474256195319,1131,6.2824291402307705e-18,0.9999999999999998,0.0024737624982739894,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,0.21978006708609232,0.06307631388954735,3.4843517880729085,0.0005122963286211703,1131,-5.0259433121846164e-17,1.0,0.0012775784985367457,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,0.23492537491241633,0.06306660895597091,3.7250357804464524,0.0002049690599391444,1131,6.910672054253849e-17,0.9999999999999999,0.0010897286406704348,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,0.25212892882014415,0.06289452583947251,4.008757923760487,6.505604286122216e-05,1131,6.910672054253849e-17,0.9999999999999998,0.0010897286406704348,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,0.24743139046709264,0.0629110634899977,3.9330346165016277,8.900670558398643e-05,1131,0.0,1.0,0.0010897286406704348,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,0.24335063382152913,0.06289768709979461,3.8689917712780852,0.0001155548354400841,1131,1.2564858280461542e-16,1.0,0.0010897286406704348,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,0.2093239312861747,0.0630385812669187,3.3205685641917104,0.0009271515698211617,1131,1.1308372452415388e-16,1.0,0.0016872488027376096,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
