roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.3528773980279497,0.049657912399349795,7.106166590131771,1.7980982955110657e-12,1587,-4.47726991657278e-17,1.0,1.0695719910827902e-10,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.3491531958651335,0.049649277223419976,7.032392320515696,3.010256833254063e-12,1587,6.71590487485917e-17,1.0,1.0695719910827902e-10,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.32751696706977923,0.050029961621497324,6.546416516319069,7.941977383419048e-11,1587,-2.686361949943668e-17,1.0,1.3950255925657806e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.32329906171774214,0.04996142780597382,6.470973227051885,1.2951227969005591e-10,1587,-1.746135267463384e-16,1.0,1.7325483773106819e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.3241031173081968,0.04996339454120833,6.486811400312005,1.1692554024560808e-10,1587,1.2536355766403784e-16,1.0,1.595875616865732e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.3159866137106723,0.0501556158314394,6.300124292614113,3.846113020688067e-10,1587,-1.0297720808117394e-16,1.0,4.110660477137511e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.3388505786107739,0.04994412671676735,6.78459312207804,1.6399515682498052e-11,1587,2.686361949943668e-17,1.0,1.0695719910827902e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.32347387866556904,0.050006516410397724,6.468634527765465,1.3147980480189185e-10,1587,-1.7013625682976563e-16,1.0,1.7472974059198784e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.33327673231361465,0.04987582388812746,6.682129864384025,3.252920571589283e-11,1587,-9.849993816460116e-17,1.0,1.0773737923729383e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.3410260099433483,0.04987437922497673,6.837699340678008,1.1456671955751807e-11,1587,-1.790907966629112e-17,1.0,1.0695719910827902e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.33909900654539354,0.0498741635652186,6.799091599841395,1.4873482758853687e-11,1587,2.23863495828639e-17,1.0,1.0695719910827902e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.32859133570036464,0.049989264525544114,6.573238050590985,6.66631451518479e-11,1587,6.71590487485917e-17,1.0,1.327703781258681e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
