roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.20172359021657177,0.07744721827214118,2.6046589498894175,0.009329696875516949,1030,7.588320478991361e-17,1.0,0.009867009261017926,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.2565317211411455,0.0774986539026313,3.3101442182911964,0.0009649741703819109,1030,-3.7941602394956805e-17,1.0,0.001088965264900257,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.6910894160088397,0.07397917764079039,9.34167475292114,5.73038289568354e-20,1030,-6.829488431092225e-16,1.0,8.268123892343394e-19,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.5188718908523782,0.0765137725002111,6.781418219196375,2.0069139191225988e-11,1030,2.8801125454353574e-16,1.0,5.6305084953161806e-11,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.8187548462272173,0.07407012066248182,11.053780376004369,6.500211659790312e-27,1030,3.4492365813597093e-17,1.0,2.626085510555286e-25,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.8003966542022007,0.07236150672702168,11.061083308030561,6.0442611617783256e-27,1030,-9.416415867112008e-16,0.9999999999999999,2.626085510555286e-25,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.5907572422034191,0.07562378799254951,7.811791208628966,1.390167906586485e-14,1030,5.10487014041237e-16,1.0,6.68604564596357e-14,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.7862834627815423,0.07450199439181114,10.553857909446332,8.637611180837052e-25,1030,1.6306265938378026e-15,1.0,1.938663842810094e-23,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.6173619027082069,0.07611792451539148,8.110598215054758,1.4297064512504904e-15,1030,2.8801125454353574e-16,1.0,8.022241754238862e-15,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.5068373403679455,0.07668248583798652,6.609558034396315,6.188058205869919e-11,1030,-1.6556335590526607e-16,1.0,1.5822629842857262e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.6018478457474419,0.0754897945685636,7.972572308443808,4.1255283635612235e-15,1030,5.260085786573557e-16,1.0,2.083391823598418e-14,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.5908010464263528,0.07580052888889229,7.79415467261902,1.5862781139462775e-14,1030,7.174412089228196e-16,1.0,7.451818116677863e-14,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,0.547152715120334,0.07637945539765359,7.16361110814025,1.498996757818529e-12,1030,1.759110656493452e-16,1.0,5.1321583911753025e-12,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
