component,roi,loading,explained_variance_ratio
1,LH_Background+FreeSurfer_Defined_Medial_Wall,0.06973943454427967,0.9906365690375005
1,RH_Background+FreeSurfer_Defined_Medial_Wall,0.06953389780587726,0.9906365690375005
1,LH_Vis_1,0.07040840293837682,0.9906365690375005
1,RH_Vis_1,0.0704513219667305,0.9906365690375005
1,LH_Vis_2,0.07050641951272979,0.9906365690375005
1,RH_Vis_2,0.07033610802666164,0.9906365690375005
1,LH_Vis_3,0.0704391349077338,0.9906365690375005
1,RH_Vis_3,0.070491725798162,0.9906365690375005
1,LH_Vis_4,0.07041120539856172,0.9906365690375005
1,RH_Vis_4,0.07041481916870669,0.9906365690375005
1,LH_Vis_5,0.0704236987093218,0.9906365690375005
1,RH_Vis_5,0.07044751766546915,0.9906365690375005
1,LH_Vis_6,0.0700973418487352,0.9906365690375005
1,RH_Vis_6,0.0704807209459429,0.9906365690375005
1,LH_Vis_7,0.07048279488681468,0.9906365690375005
1,RH_Vis_7,0.07032601446513595,0.9906365690375005
1,LH_Vis_8,0.0704975766439658,0.9906365690375005
1,RH_Vis_8,0.07048607124043284,0.9906365690375005
1,LH_Vis_9,0.07043278213101559,0.9906365690375005
1,RH_Vis_9,0.07046654138116684,0.9906365690375005
1,LH_Vis_10,0.07050591702114692,0.9906365690375005
1,RH_Vis_10,0.07042344495283845,0.9906365690375005
1,LH_Vis_11,0.07047319699107712,0.9906365690375005
1,RH_Vis_11,0.07046594870889562,0.9906365690375005
1,LH_Vis_12,0.07035738215863503,0.9906365690375005
1,RH_Vis_12,0.07050903025495887,0.9906365690375005
1,LH_Vis_13,0.07050138098699202,0.9906365690375005
1,RH_Vis_13,0.07047874897263193,0.9906365690375005
1,LH_Vis_14,0.07049865054358107,0.9906365690375005
1,RH_Vis_14,0.07033666270655631,0.9906365690375005
1,LH_SomMot_1,0.07039359499293135,0.9906365690375005
1,RH_Vis_15,0.07048280078966855,0.9906365690375005
1,LH_SomMot_2,0.07046981427890234,0.9906365690375005
1,RH_SomMot_1,0.0704079574063261,0.9906365690375005
1,LH_SomMot_3,0.07048900825817707,0.9906365690375005
1,RH_SomMot_2,0.07042444640708977,0.9906365690375005
1,LH_SomMot_4,0.07047955231482086,0.9906365690375005
1,RH_SomMot_3,0.07043309933818848,0.9906365690375005
1,LH_SomMot_5,0.07033616364390366,0.9906365690375005
1,RH_SomMot_4,0.07045218414909488,0.9906365690375005
1,LH_SomMot_6,0.07051765665982761,0.9906365690375005
1,RH_SomMot_5,0.07022450624160925,0.9906365690375005
1,LH_SomMot_7,0.0703674451735373,0.9906365690375005
1,RH_SomMot_6,0.07033380477925082,0.9906365690375005
1,LH_SomMot_8,0.07047097192214186,0.9906365690375005
1,RH_SomMot_7,0.07049981372123953,0.9906365690375005
1,LH_SomMot_9,0.0701966254586561,0.9906365690375005
1,RH_SomMot_8,0.0703916121940335,0.9906365690375005
1,LH_SomMot_10,0.07045226964603972,0.9906365690375005
1,RH_SomMot_9,0.07024467214373455,0.9906365690375005
1,LH_SomMot_11,0.07033530709805771,0.9906365690375005
1,RH_SomMot_10,0.07040296255352944,0.9906365690375005
1,LH_SomMot_12,0.06979005532389385,0.9906365690375005
1,RH_SomMot_11,0.0703925504809722,0.9906365690375005
1,LH_SomMot_13,0.07019816447306425,0.9906365690375005
1,RH_SomMot_12,0.07042766708787847,0.9906365690375005
1,LH_SomMot_14,0.07026210874760071,0.9906365690375005
1,RH_SomMot_13,0.07031193705407304,0.9906365690375005
1,LH_SomMot_15,0.07038658515219746,0.9906365690375005
1,RH_SomMot_14,0.06982882537997122,0.9906365690375005
1,LH_SomMot_16,0.07039088504349846,0.9906365690375005
1,RH_SomMot_15,0.07017066201509856,0.9906365690375005
1,LH_DorsAttn_Post_1,0.07048848744089246,0.9906365690375005
1,RH_SomMot_16,0.07027175715708453,0.9906365690375005
1,LH_DorsAttn_Post_2,0.0703424820139879,0.9906365690375005
1,RH_SomMot_17,0.0702547414903347,0.9906365690375005
1,LH_DorsAttn_Post_3,0.07043974593394718,0.9906365690375005
1,RH_SomMot_18,0.07017245257786592,0.9906365690375005
1,LH_DorsAttn_Post_4,0.07039276057200802,0.9906365690375005
1,RH_SomMot_19,0.07033670036647369,0.9906365690375005
1,LH_DorsAttn_Post_5,0.07041033207688736,0.9906365690375005
1,RH_DorsAttn_Post_1,0.07049087990418831,0.9906365690375005
1,LH_DorsAttn_Post_6,0.07037817648970845,0.9906365690375005
1,RH_DorsAttn_Post_2,0.07049156323968683,0.9906365690375005
1,LH_DorsAttn_Post_7,0.07029742040601684,0.9906365690375005
1,RH_DorsAttn_Post_3,0.07030420277712493,0.9906365690375005
1,LH_DorsAttn_Post_8,0.07025435624127564,0.9906365690375005
1,RH_DorsAttn_Post_4,0.07041806107748702,0.9906365690375005
1,LH_DorsAttn_Post_9,0.07030353303294151,0.9906365690375005
1,RH_DorsAttn_Post_5,0.07041662339682038,0.9906365690375005
1,LH_DorsAttn_Post_10,0.07024967616369047,0.9906365690375005
1,RH_DorsAttn_Post_6,0.07024482655207795,0.9906365690375005
1,LH_DorsAttn_FEF_1,0.07042254658874945,0.9906365690375005
1,RH_DorsAttn_Post_7,0.07032231210946611,0.9906365690375005
1,LH_DorsAttn_FEF_2,0.07040984161537485,0.9906365690375005
1,RH_DorsAttn_Post_8,0.07038668399183717,0.9906365690375005
1,LH_DorsAttn_PrCv_1,0.07046135464106286,0.9906365690375005
1,RH_DorsAttn_Post_9,0.07026656478146892,0.9906365690375005
1,LH_SalVentAttn_ParOper_1,0.0704450704068844,0.9906365690375005
1,RH_DorsAttn_Post_10,0.07026221720729435,0.9906365690375005
1,LH_SalVentAttn_ParOper_2,0.07045606745290572,0.9906365690375005
1,RH_DorsAttn_FEF_1,0.07036714275961493,0.9906365690375005
