roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.04276076477019755,0.02248999903208296,-1.9013235487114721,0.05740374732343987,1998,1.4225079794997e-17,1.0,0.3528800611795851,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.04453888641408094,0.022487166980639604,-1.9806357311450942,0.04776943006006862,1998,-2.8450159589994e-17,1.0000000000000002,0.3528800611795851,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.016166204413774792,0.02260786420353416,-0.7150699538989455,0.47464957254715756,1998,-8.5350478769982e-17,1.0,0.5386472677220552,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.01760749533976502,0.022572824133598467,-0.7800306791721814,0.43546544136147525,1998,-4.97877792824895e-17,0.9999999999999999,0.5084625384683121,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.027128177635250796,0.022556328086204086,-1.202685895132149,0.229240753932893,1998,4.97877792824895e-17,1.0,0.36231790191143737,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.016800634884478294,0.022644138490994736,-0.7419418888980774,0.4582099686274158,1998,1.2091317825747452e-16,0.9999999999999999,0.5229288907499321,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.024879681820980593,0.022581982780996244,-1.1017492158358195,0.2707037478909623,1998,7.1125398974985e-18,0.9999999999999999,0.38555317261183236,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.024756242450125896,0.022580149952174798,-1.0963719241262837,0.27304850364869926,1998,1.2091317825747452e-16,1.0,0.38555317261183236,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.03615956334712348,0.022535310699942884,-1.6045735436527675,0.10874612546055633,1998,-4.97877792824895e-17,0.9999999999999999,0.3528800611795851,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.0351678882149021,0.02254798835351605,-1.559690721120057,0.11899175409746196,1998,-6.40128590774865e-17,1.0,0.3528800611795851,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
