roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
LH_Background+FreeSurfer_Defined_Medial_Wall,0.331155326841718,0.331155326841718,0.331155326841718,831,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,MCI
RH_Background+FreeSurfer_Defined_Medial_Wall,0.3292270854789209,0.3292270854789209,0.3292270854789209,831,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,MCI
LH_Vis_1,0.2941216900732617,0.2941216900732617,0.2941216900732617,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_1,0.2898254333283707,0.2898254333283707,0.2898254333283707,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_2,0.2919119831450102,0.2919119831450102,0.2919119831450102,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_2,0.279056188696184,0.279056188696184,0.279056188696184,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_3,0.3049560586916977,0.3049560586916977,0.3049560586916977,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_3,0.28896436602474335,0.28896436602474335,0.28896436602474335,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_4,0.3021160118175577,0.3021160118175577,0.3021160118175577,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_4,0.3094362411473469,0.3094362411473469,0.3094362411473469,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_5,0.3090309504423834,0.3090309504423834,0.3090309504423834,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_5,0.2956916171035312,0.2956916171035312,0.2956916171035312,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_6,0.29032678976294024,0.29032678976294024,0.29032678976294024,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_6,0.3148286822767508,0.3148286822767508,0.3148286822767508,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_7,0.31489125532748813,0.31489125532748813,0.31489125532748813,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_7,0.30568024876938776,0.30568024876938776,0.30568024876938776,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_8,0.28804029206726506,0.28804029206726506,0.28804029206726506,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_8,0.2961683682922776,0.2961683682922776,0.2961683682922776,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_9,0.307631069231784,0.307631069231784,0.307631069231784,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_9,0.30701285011134904,0.30701285011134904,0.30701285011134904,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_10,0.3099033186293816,0.3099033186293816,0.3099033186293816,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_10,0.31059104392271636,0.31059104392271636,0.31059104392271636,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_11,0.2992633772568205,0.2992633772568205,0.2992633772568205,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_11,0.2926103703024737,0.2926103703024737,0.2926103703024737,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_12,0.3111969709425928,0.3111969709425928,0.3111969709425928,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_12,0.29730496091924097,0.29730496091924097,0.29730496091924097,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_13,0.3072735422334426,0.3072735422334426,0.3072735422334426,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_13,0.30321975589878536,0.30321975589878536,0.30321975589878536,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_14,0.3102368846515603,0.3102368846515603,0.3102368846515603,831,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_14,0.29843350623806747,0.29843350623806747,0.29843350623806747,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_SomMot_1,0.29212328730075865,0.29212328730075865,0.29212328730075865,831,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
RH_Vis_15,0.29230723333318814,0.29230723333318814,0.29230723333318814,831,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_SomMot_2,0.28712062969008856,0.28712062969008856,0.28712062969008856,831,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
RH_SomMot_1,0.2958210641152678,0.2958210641152678,0.2958210641152678,831,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
LH_SomMot_3,0.2976716883962181,0.2976716883962181,0.2976716883962181,831,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
RH_SomMot_2,0.2889690390284486,0.2889690390284486,0.2889690390284486,831,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
LH_SomMot_4,0.30611747392814626,0.30611747392814626,0.30611747392814626,831,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
RH_SomMot_3,0.2974959425190545,0.2974959425190545,0.2974959425190545,831,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
LH_SomMot_5,0.29963447681471184,0.29963447681471184,0.29963447681471184,831,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
RH_SomMot_4,0.2972484919275494,0.2972484919275494,0.2972484919275494,831,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot,MCI
