roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.19352661849960295,0.04351580670951212,4.447271764751634,9.1360210428999e-06,2173,-1.307947971946802e-17,1.0,0.0009832892988400287,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.19294009816647442,0.04351898265090614,4.43346986564855,9.735537612277512e-06,2173,1.6349349649335023e-17,1.0,0.0009832892988400287,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.1340745296842802,0.043639671151948466,3.072308432789231,0.0021504981229232903,2173,-3.923843915840406e-17,1.0,0.005893649808629479,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.13715498833838594,0.04360110937142006,3.145676573731612,0.0016794959251798065,2173,6.53973985973401e-17,0.9999999999999998,0.005893649808629479,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.1294422393247855,0.04358652494959377,2.9697765415912536,0.003012863459224649,2173,-5.558778880773908e-17,1.0,0.005893649808629479,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.11950459624859432,0.04369144677948887,2.7351943013408344,0.006285085025953325,2173,1.961921957920203e-17,0.9999999999999999,0.007671907335812247,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.125436980829061,0.04361447748586549,2.876039977085875,0.004066293988720757,2173,2.615895943893604e-17,1.0,0.0063188052530761575,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.12993088288204652,0.043617986080718915,2.9788372769342906,0.0029255472988607757,2173,-7.19371384570741e-17,1.0000000000000002,0.005893649808629479,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.12861007944206046,0.04356960595686016,2.9518302178220743,0.0031928669544139744,2173,-3.269869929867005e-17,1.0,0.005893649808629479,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.12157785695238678,0.0435871722948333,2.7893036081810307,0.005328291136618351,2173,-6.21275286674731e-17,1.0000000000000002,0.007223589326153738,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
