roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,0.04782945868920193,0.021519433380166524,2.2226170105986225,0.026344387932443314,2173,7.19371384570741e-17,1.0,0.026521195905144273,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,0.050462889863725977,0.021495793372890832,2.347570475224546,0.01898573282075618,2173,5.231791887787208e-17,1.0,0.019373196755873654,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,0.05148362996029424,0.021518175006347062,2.392564887361892,0.016815690537930215,2173,3.269869929867005e-17,1.0,0.017516344310343976,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,0.054235505315431955,0.02149683213511248,2.5229533809702502,0.011708345237377791,2173,1.177153174752122e-16,1.0,0.012367970321173722,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,0.054477526737919085,0.021512618390430394,2.532352210651991,0.011400017189958013,2173,4.577817901813807e-17,1.0,0.01212767786165746,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.06548353466365142,0.021486508481405514,3.047658241929863,0.0023341454418011943,2173,-3.269869929867005e-17,1.0,0.004110299788657762,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,0.0631128272152764,0.021484150390872037,2.937645942103027,0.003342017228724397,2173,-1.0463583775574416e-16,1.0,0.004641690595450552,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.06488158738283145,0.021481827518966504,3.020301104528788,0.0025547088408078636,2173,-1.961921957920203e-16,0.9999999999999999,0.004110299788657762,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,0.06508482197669105,0.02148013549734335,3.03000053164193,0.002474414481363517,2173,1.373345370544142e-16,1.0,0.004110299788657762,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.06623570010365722,0.02147338740715344,3.0845482758622462,0.002064323257373408,2173,7.847687831680812e-17,1.0,0.004065940519150118,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.06688935232934064,0.02147818836672635,3.1142920989073968,0.0018679577042043964,2173,-7.847687831680812e-17,1.0000000000000002,0.004065940519150118,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.06676833051524828,0.021475497871112137,3.1090469201676574,0.001901288138795246,2173,-2.615895943893604e-17,1.0,0.004065940519150118,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.06993688296254849,0.021471541520639414,3.2571896570780448,0.0011425685282307112,2173,6.53973985973401e-18,0.9999999999999999,0.004065940519150118,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,0.07282317784392732,0.021457922301577628,3.393766498938866,0.0007017778614755554,2173,-3.269869929867005e-17,1.0,0.004065940519150118,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,0.07023515112510526,0.021475877085493606,3.27042061404548,0.0010906927160139652,2173,1.961921957920203e-17,1.0,0.004065940519150118,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,0.07123051358558483,0.02146926812702445,3.317789556874712,0.0009223173944436153,2173,-1.7657297621281826e-16,1.0,0.004065940519150118,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,0.06278696229640145,0.02149632700555786,2.920822812202658,0.003527131754189773,2173,3.269869929867005e-17,1.0,0.004682033302021823,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,0.05989274811103153,0.021534806983188024,2.781206637133507,0.0054625364623273115,2173,-1.961921957920203e-17,1.0,0.006451814719284226,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,0.05865641624638268,0.02152508389648584,2.7250261382701906,0.006481270473000424,2173,2.615895943893604e-17,1.0,0.007365080082955028,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,0.064890575103426,0.021494263788386557,3.0189717471731528,0.002565897508627393,2173,-1.242550573349462e-16,0.9999999999999998,0.004110299788657762,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,0.07111321349597746,0.02147756210576774,3.311046809958017,0.000944715750260596,2173,-1.1117557761547816e-16,1.0,0.004065940519150118,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,0.07093425134010395,0.021471601205029577,3.3036311853392695,0.0009699308852477157,2173,6.53973985973401e-17,0.9999999999999999,0.004065940519150118,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,0.06898743625343617,0.021480827877293093,3.2115818183321165,0.0013393873368265365,2173,-1.307947971946802e-17,1.0000000000000002,0.004065940519150118,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,0.07007552719341525,0.02147683609081542,3.262842203437176,0.0011201329564027862,2173,-4.577817901813807e-17,1.0,0.004065940519150118,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P3_A,0.0722619501277634,0.021463142822617298,3.36679258601474,0.0007737483309501711,2173,-2.027319356517543e-16,1.0,0.004065940519150118,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P4_A,0.06700913133112252,0.021475859500589667,3.120207194933578,0.0018310152147930493,2173,7.847687831680812e-17,0.9999999999999999,0.004065940519150118,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_S_A,0.06370857800729815,0.021494368925398834,2.9639659684084454,0.003070103728295017,2173,6.53973985973401e-18,1.0,0.004471024847031578,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_M1_A,0.06255907442558846,0.02148377620177211,2.91192171422956,0.0036288079911894174,2173,-6.53973985973401e-17,1.0,0.004699850136454431,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_M2_A,0.049757579603103126,0.021532550407848922,2.310807529096311,0.02093686359261305,2173,5.88576587376061e-17,0.9999999999999998,0.021219794181702414,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_SF1_A,0.06649123911107904,0.021489663315902362,3.0941033432513336,0.0019992666137173985,2173,1.961921957920203e-17,0.9999999999999999,0.004065940519150118,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF2_A,0.0655679366277378,0.021484513485673956,3.051869741963625,0.0023017846786688874,2173,0.0,1.0,0.004110299788657762,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF3_A,0.06837818599431594,0.021479014535697293,3.183488045071809,0.0014757396911939096,2173,1.961921957920203e-17,0.9999999999999998,0.004065940519150118,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF4_A,0.06296002863297703,0.02148159443785979,2.9308824731377685,0.0034153484688530917,2173,6.53973985973401e-18,0.9999999999999998,0.00464981256950549,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF5_A,0.06248609825633519,0.021482243490405256,2.90873242751595,0.0036658831064344563,2173,-5.88576587376061e-17,1.0,0.004699850136454431,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF6_A,0.06250263662706848,0.021485230781410222,2.9090977547771075,0.003661618806100727,2173,1.307947971946802e-17,1.0,0.004699850136454431,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF7_A,0.06218843392781241,0.02149647714958209,2.8929593205006343,0.0038543613579834772,2173,1.307947971946802e-17,1.0,0.00486122234735903,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF8_A,0.0568178207572647,0.021520785600537128,2.640136926778668,0.008346655981047989,2173,4.577817901813807e-17,1.0,0.00920587056733234,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
