roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,0.15068558647570665,0.06353000169750637,2.371880724845333,0.017865190673148203,1131,-5.0259433121846164e-17,1.0,0.018106612168731287,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,0.15411574023043864,0.0634441686392048,2.4291553272116504,0.015289695390525436,1131,1.2564858280461541e-17,1.0,0.015816926266060797,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,0.1469456231104987,0.06355326466533691,2.312164825588346,0.02094830380835252,1131,5.0259433121846164e-17,1.0,0.02094830380835252,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,0.15751982269116718,0.06337785996589845,2.4854077240210293,0.013084601334646855,1131,1.2564858280461541e-17,0.9999999999999999,0.013629793056923807,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,0.18684615975274707,0.06332138446595874,2.9507592313177335,0.003235550370353544,1131,5.0259433121846164e-17,0.9999999999999999,0.003913972222201868,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.16804988294107898,0.06321274623185173,2.658480970352175,0.007960642507898592,1131,0.0,1.0,0.008529259829891347,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,0.1718908133768507,0.06321733973559747,2.7190453457195947,0.006647705123715709,1131,-1.507782993655385e-16,0.9999999999999999,0.007441460959383256,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.16957152558408803,0.06318298186759805,2.6838164418930175,0.007385458901490365,1131,-1.0051886624369233e-16,1.0,0.0079699196778673,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,0.16668238252905626,0.0631625760519238,2.6389421228170358,0.008431324217541046,1131,-8.79540079632308e-17,1.0,0.008969493848447922,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.23539803668759232,0.06300435795904587,3.736218323827788,0.00019617668163074948,1131,-3.7694574841384623e-17,0.9999999999999999,0.0010900334042002787,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.22525076473352942,0.06305354973017459,3.5723724627312228,0.0003687113257105654,1131,-1.0051886624369233e-16,1.0,0.0010900334042002787,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.2280877599917548,0.06303241047159962,3.6185790498131722,0.0003093705750971768,1131,-6.282429140230771e-17,1.0,0.0010900334042002787,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.24160007257331523,0.06295515692981432,3.8376534084834946,0.00013112043766066024,1131,8.79540079632308e-17,1.0,0.0010900334042002787,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,0.23156317330069492,0.0629877479590468,3.6763208846782716,0.0002477763050844221,1131,2.5129716560923082e-17,1.0,0.0010900334042002787,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,0.17608767610592752,0.06310434436510752,2.7904208161505313,0.00535282658461185,1131,-2.5129716560923082e-17,1.0,0.006037022463847952,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,0.19671464742084022,0.0630673519895622,3.1191201345094837,0.0018599859641034652,1131,-2.5129716560923082e-17,1.0,0.0024661234987429508,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,0.2119035383346415,0.06315328644085917,3.3553841815197014,0.0008189789679527112,1131,1.0051886624369233e-16,0.9999999999999999,0.0014624624427726986,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,0.18760258686811856,0.06338955325279251,2.9595189939259288,0.0031456687178237444,1131,1.2564858280461541e-17,1.0,0.0038678638747830195,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,0.22213926072518508,0.06332432724631694,3.507960848302658,0.0004693647059395726,1131,-1.507782993655385e-16,1.0,0.0010900334042002787,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,0.17779627736961398,0.0632039879303378,2.8130547326472115,0.0049926434123478995,1131,-1.0051886624369233e-16,1.0,0.0056734584231226135,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,0.18264403673611673,0.0631223551056611,2.8934921143291814,0.003883236329059352,1131,5.0259433121846164e-17,1.0,0.004622900391737324,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,0.16998035377807666,0.06312358991501306,2.6928182317724807,0.007190261918220401,1131,0.0,1.0,0.00787254954549679,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,0.2147342594136958,0.0631008851811176,3.403030857607576,0.0006898627589857621,1131,-5.0259433121846164e-17,1.0,0.0013438884915307054,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,0.20755119215191473,0.0630979700423284,3.289348167820326,0.0010352807944522808,1131,2.5129716560923082e-17,1.0,0.0016520438209344907,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P3_A,0.19981258149168943,0.06302185651365805,3.1705283300942777,0.0015626800053162458,1131,0.0,1.0,0.002190672904648943,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P4_A,0.20363036135737292,0.06308524888567472,3.2278601567602423,0.0012831766368738826,1131,-2.5129716560923082e-17,1.0,0.0018630768575663237,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_S_A,0.23895497862898746,0.06308627819001623,3.7877488652802387,0.00016005350074053173,1131,1.507782993655385e-16,1.0,0.0010900334042002787,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_M1_A,0.22702955493124663,0.06308198181476049,3.598960406759513,0.0003333793743431925,1131,-1.2564858280461541e-17,1.0,0.0010900334042002787,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_M2_A,0.2228301272207187,0.06333512836683929,3.5182707127406263,0.00045169193350122857,1131,-2.5129716560923082e-17,1.0,0.0010900334042002787,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_SF1_A,0.21523320404942012,0.06311178066258935,3.4103490947293693,0.000671798423951469,1131,2.0103773248738466e-16,1.0,0.001343596847902938,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF2_A,0.21432948003157057,0.06306898870924671,3.3983338629329753,0.0007016939224515601,1131,0.0,0.9999999999999999,0.0013494113893299233,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF3_A,0.2069268427462636,0.06305352256629605,3.2817649882874593,0.001063252519604978,1131,-1.2564858280461541e-17,1.0,0.0016613320618827782,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
