roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,0.30579783659859333,0.05005597543202792,6.109117522119667,1.258693820570604e-09,1587,5.372723899887336e-17,1.0,1.258693820570604e-09,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,0.30572996022635957,0.049993267482596214,6.115422648315417,1.2110239238813993e-09,1587,0.0,1.0,1.2191516012228852e-09,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,0.3105067975512582,0.05001982830371617,6.207674198037769,6.855420590198895e-10,1587,3.581815933258224e-17,1.0,6.995327132856016e-10,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,0.3159831280769842,0.04996996990865522,6.323460443434313,3.3199424554503375e-10,1587,3.581815933258224e-17,1.0,3.5069814670250045e-10,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,0.32458542021853815,0.05000955030536424,6.490468685212746,1.1419376537200878e-10,1587,-1.1640901783089227e-16,0.9999999999999999,1.381376194016235e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.318736845455987,0.04993587091982786,6.38292352941475,2.2769887269154212e-10,1587,1.790907966629112e-17,1.0,2.4571820794051305e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,0.3197877623916788,0.04993402614489445,6.404205450282437,1.987971473316945e-10,1587,7.163631866516448e-17,1.0,2.2253412014741923e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.3205874941300969,0.049907909163897014,6.423580941395304,1.7562472559398433e-10,1587,2.686361949943668e-17,0.9999999999999999,2.0109701403891335e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,0.32036721014258324,0.04990490871595717,6.419553073746938,1.8021339593601842e-10,1587,-7.163631866516448e-17,1.0,2.0478794992729366e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.3406981179614607,0.049805284595143405,6.840601770091737,1.1233455267261667e-11,1587,-8.95453983314556e-18,0.9999999999999999,6.439812079822155e-11,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.34461567879607574,0.04980336142835708,6.91952649203831,6.559842051429318e-12,1587,2.686361949943668e-17,1.0,6.439812079822155e-11,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.3391605551743804,0.049818857970368814,6.807874949203087,1.4017653530208429e-11,1587,-8.95453983314556e-18,1.0,6.439812079822155e-11,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.3436675288794496,0.04978550634100002,6.902963415206405,7.347192389963417e-12,1587,5.372723899887336e-17,1.0,6.439812079822155e-11,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
