roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.010565207232926688,0.022601039421229464,-0.46746554598735157,0.6402179428348105,1998,7.1125398974985e-18,0.9999999999999999,0.6445147075518226,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.010757669355080986,0.022569936891253747,-0.476637103901242,0.6336728096415027,1998,7.1125398974985e-17,0.9999999999999999,0.6422359557177393,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.008593033649643643,0.022598974927494752,-0.38023997447729535,0.7038078066673008,1998,-3.55626994874925e-17,1.0,0.7038078066673008,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.012136096401615568,0.02256824483058983,-0.5377510077862083,0.5908089988702043,1998,9.9575558564979e-17,0.9999999999999999,0.6069955467844564,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.02278819084298508,0.02258628080070571,-1.0089394993386012,0.3131261256275216,1998,-1.13800638359976e-16,1.0,0.3980416851197309,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,-0.015269851616594794,0.02254819134555238,-0.6772095988801675,0.4983515759092023,1998,7.1125398974985e-18,1.0,0.5339481170455739,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.016726450543620916,0.022546438902515002,-0.741866625409972,0.4582555622250154,1998,3.55626994874925e-17,1.0,0.5091728469166837,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,-0.015038157336399276,0.02254259094893386,-0.6670997743988474,0.5047856301201992,1998,-4.97877792824895e-17,1.0,0.5370059894895736,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.015459248134568112,0.022537529279978458,-0.6859335796094366,0.49283477707130285,1998,0.0,1.0,0.5337896894615656,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,-0.03650123142863606,0.022517678897133093,-1.6210032834815549,0.10517512113624564,1998,9.24630186674805e-17,1.0,0.2889550244727797,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,-0.0337903136510206,0.02252676919684843,-1.5000070962571934,0.13377095263475045,1998,-7.1125398974985e-17,1.0,0.2889550244727797,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,-0.03531862612656291,0.022521296548500533,-1.5682323639983518,0.11698565977050154,1998,1.13800638359976e-16,1.0,0.2889550244727797,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,-0.039567513862406575,0.022510531339011663,-1.7577334478033608,0.07894637535527389,1998,7.1125398974985e-17,1.0,0.2889550244727797,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,-0.03198454112964153,0.022498014964115534,-1.4216605856408693,0.15528126809032997,1998,5.6900319179988e-17,0.9999999999999999,0.2936860088844955,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,-0.016989772141091958,0.022532366470984652,-0.7540163241606248,0.45092849320362216,1998,-7.1125398974985e-17,1.0000000000000002,0.5064714597043323,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,-0.023015481615867972,0.022520613024596615,-1.0219740284481098,0.306917225037566,1998,1.13800638359976e-16,1.0,0.3980416851197309,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,-0.0307976423618207,0.022556519861128593,-1.3653543432865254,0.172295791878904,1998,-7.1125398974985e-18,1.0,0.2936860088844955,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,-0.01773136654993835,0.022620929896092584,-0.7838478184312472,0.4332225557639118,1998,-6.40128590774865e-17,1.0,0.5037471578650138,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,-0.028367007048429635,0.022604666864803637,-1.2549181643812761,0.20965560189483512,1998,-4.2675239384991e-17,1.0,0.3113697057844086,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,-0.017262363010038605,0.02256204260565364,-0.7651063918172448,0.4442987820095692,1998,-7.82379388724835e-17,1.0,0.5057335102281352,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,-0.021118155618076565,0.022532374855909174,-0.9372361214973429,0.34875067061212806,1998,1.4225079794997e-17,0.9999999999999999,0.4210159881048286,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,-0.015557195482369418,0.02252740343042432,-0.6905898201014455,0.4899037633992126,1998,-1.6358841764246552e-16,0.9999999999999999,0.5337896894615656,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,-0.0311535435526745,0.022532107390287322,-1.3826289309318456,0.16693357422989547,1998,1.4936333784746852e-16,1.0,0.2936860088844955,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,-0.02744476771865968,0.02252808960023497,-1.2182465626545371,0.22327448478895137,1998,-7.1125398974985e-18,1.0,0.31896354969850194,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P3_A,-0.026662208248665,0.02250996277340835,-1.1844625651785536,0.23637123854031505,1998,-3.55626994874925e-17,0.9999999999999999,0.3282933868615487,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P4_A,-0.02569764089687366,0.022528585179964894,-1.140668208482398,0.25414507089922134,1998,-1.4225079794997e-16,0.9999999999999999,0.3473523125794156,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_S_A,-0.0405772114714735,0.022545334017219212,-1.7998052918835565,0.07204257262220647,1998,7.1125398974985e-17,1.0,0.2889550244727797,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_M1_A,-0.03492104299859282,0.022536614829247133,-1.5495247739369296,0.12141439067527685,1998,-6.40128590774865e-17,1.0,0.2889550244727797,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_M2_A,-0.03440161067240334,0.022609611129903322,-1.5215480918601028,0.12828098631249682,1998,-4.97877792824895e-17,1.0,0.2889550244727797,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_SF1_A,-0.0327498781015264,0.022543099698150586,-1.4527673008611663,0.14644579338036537,1998,0.0,1.0,0.2889550244727797,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
