roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_lh_L_TP1_A,0.2790579751897059,0.2790579751897059,0.2790579751897059,831,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP2_1_A,0.2805234761427476,0.2805234761427476,0.2805234761427476,831,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP2_2_A,0.28661985144542557,0.28661985144542557,0.28661985144542557,831,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP3_A,0.2924924429105496,0.2924924429105496,0.2924924429105496,831,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T1_A,0.2974009353218439,0.2974009353218439,0.2974009353218439,831,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T2_1_A,0.2935619826074725,0.2935619826074725,0.2935619826074725,831,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T2_2_A,0.29434140250460705,0.29434140250460705,0.29434140250460705,831,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T3_1_A,0.2955486138608494,0.2955486138608494,0.2955486138608494,831,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T3_2_A,0.2948560014125533,0.2948560014125533,0.2948560014125533,831,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_O1_A,0.3184193658560544,0.3184193658560544,0.3184193658560544,831,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O2_1_A,0.32156085936957757,0.32156085936957757,0.32156085936957757,831,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O2_2_A,0.3162637055138604,0.3162637055138604,0.3162637055138604,831,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
