roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.09172268617740621,0.018417075177050747,-4.980306878027003,6.721819681542329e-07,2892,-1.13018554097388e-16,1.0,7.803491814204312e-07,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.07234778048905205,0.018418276595216613,-3.928042893429095,8.764504973992819e-05,2892,5.6509277048694e-17,1.0,9.367354522468517e-05,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.20503997230961737,0.018407785375042944,-11.138763742194003,3.03063928095989e-28,2892,-3.0465871104513286e-16,0.9999999999999999,3.6011125573758695e-27,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.15476438102286316,0.018586941329234823,-8.326511515880188,1.2688755199010057e-16,2892,-4.619019167458466e-16,1.0,3.511135000274016e-16,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.11980999099543485,0.018686003117011272,-6.411750562449752,1.6746093200677906e-10,2892,-1.277601046318299e-16,0.9999999999999998,2.382190722913336e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.20434980858973667,0.018331419921134646,-11.147516639130494,2.7580351132177046e-28,2892,-4.3241881567696276e-16,0.9999999999999999,3.482019330437352e-27,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.14979373077476332,0.018594233683160353,-8.055923859364112,1.1422718721000175e-15,2892,1.277601046318299e-15,0.9999999999999999,2.813889245904921e-15,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.1430259183810084,0.01861040244000277,-7.685267357441794,2.0774293711681578e-14,2892,-1.277601046318299e-16,1.0,4.5613123149561723e-14,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.07807749863644463,0.018756494047190295,-4.162691515802793,3.2371473243424556e-05,2892,-3.9310801425178436e-17,0.9999999999999998,3.515611610307398e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.0838434659011611,0.018727063818429736,-4.477128220102973,7.858537348638179e-06,2892,-2.0638170748218678e-16,1.0,8.62730730665713e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,-0.1463770989700347,0.018623831119073585,-7.859666361564173,5.390786053743567e-15,2892,1.1989794434679423e-15,0.9999999999999999,1.2099319809513339e-14,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-0.1775677365616069,0.01851690016007964,-9.589495813366376,1.8412769762451113e-21,2892,-5.601789203087927e-16,1.0,8.26528776003361e-21,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.1343024274872715,0.018474794427461524,-7.269495095850165,4.623145156129283e-13,2892,3.537972128266059e-16,1.0,8.489775650346501e-13,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,-0.08858036619828745,0.018740230092856445,-4.726749125244371,2.390687224248358e-06,2892,2.358648085510706e-16,1.0,2.668059775128002e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,-0.09710740433499701,0.018728220106790327,-5.185084529190715,2.3082148966564907e-07,2892,2.456925089073652e-16,0.9999999999999999,2.7266632112550356e-07,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,-0.18226824040102166,0.018344550791951204,-9.93582467448552,6.746005592649949e-23,2892,4.619019167458466e-16,1.0,4.25841603036028e-22,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,-0.16513221689226834,0.018570463464012563,-8.892196859398567,1.033226990504682e-18,2892,-1.292342596852741e-15,0.9999999999999998,3.59848020830941e-18,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,-0.16573960307978491,0.018568469121726904,-8.925862546517287,7.6889003578487805e-19,2892,-2.456925089073652e-16,1.0,2.7734962005097386e-18,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,-0.15399708915411942,0.018596192699760795,-8.28110848496963,1.8432855958976422e-16,2892,-4.913850178147304e-17,1.0,4.964582538284316e-16,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,-0.10043958275937889,0.018728062092278015,-5.363052635370763,8.829093609997419e-08,2892,3.341418121140167e-16,0.9999999999999998,1.0808950964966537e-07,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,-0.11335322261651934,0.018694147478758295,-6.063567367558208,1.5045330760228973e-09,2892,-1.827952266270797e-15,1.0,2.0159325163473757e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,-0.12499966873340784,0.018666778944247595,-6.696370547202954,2.557739050199108e-11,2892,-3.144864114014275e-16,1.0,3.943994565955876e-11,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,-0.13077180144486583,0.018648290166985524,-7.012535748525676,2.902772028235968e-12,2892,2.653479096199544e-16,1.0,5.0116235017407305e-12,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,-0.13741003046520794,0.018647881965235022,-7.368666893182802,2.2380581371758213e-13,2892,-1.0269946872327867e-15,1.0,4.305597559138247e-13,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_12,-0.12900381463187588,0.018664939010366102,-6.911558326562437,5.875502073003092e-12,2892,1.0417362377672285e-15,1.0,9.808689411129128e-12,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_12,-0.15813716349329363,0.018579004639686907,-8.511605791598454,2.7151623420040242e-17,2892,-9.827700356294608e-17,1.0,7.835182758354469e-17,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_13,-0.1277032639885762,0.01866931958827137,-6.840274139867596,9.61037259352205e-12,2892,1.9655400712589216e-16,1.0,1.5285789479460267e-11,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_13,-0.12430268341225052,0.018670028545931455,-6.6578732381926855,3.312527058395001e-11,2892,8.844930320665147e-17,0.9999999999999998,4.993510938774554e-11,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_14,-0.13962726381288032,0.018641801558076765,-7.4900091269550755,9.09864577167245e-14,2892,-7.321636765439483e-16,1.0,1.8564913594725605e-13,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_14,-0.141716243520043,0.018640732034026365,-7.602504196796425,3.901996116931332e-14,2892,2.1129555766033407e-16,0.9999999999999998,8.385140591703501e-14,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_1,-0.25636203210928554,0.01816946528432909,-14.109497890969537,9.127024361270718e-44,2892,3.439695124703113e-16,0.9999999999999998,4.6091473024417125e-42,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_Vis_15,-0.10290044922489422,0.0187099420994887,-5.499773792870597,4.135161739602395e-08,2892,3.3905566229216397e-16,1.0,5.124556266255728e-08,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_2,-0.20182454128732027,0.018367479301628457,-10.988145840427137,1.5183656281135333e-27,2892,3.341418121140167e-16,1.0,1.5335492843946685e-26,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_1,-0.24651276474674277,0.01820506111273404,-13.540891910234375,1.5098317584410682e-40,2892,2.9483101068883824e-16,1.0,5.0831002534182626e-39,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_3,-0.17867300793692664,0.018512804115556402,-9.651320611488932,1.0284510103226954e-21,2892,9.827700356294608e-17,0.9999999999999998,5.067002538663036e-21,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_2,-0.19705014236465085,0.01843059069289727,-10.691471893008263,3.424802475176483e-26,2892,-4.619019167458466e-16,0.9999999999999999,2.767240399942598e-25,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_4,-0.16453396141564366,0.018566358132208697,-8.861940518653043,1.346322579252198e-18,2892,-2.506063590855125e-16,1.0,4.609443406931254e-18,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_3,-0.1595816346592095,0.01858146334880673,-8.588216743944312,1.4211922602855395e-17,2892,-1.9655400712589218e-17,0.9999999999999999,4.284788605637e-17,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_5,-0.15028643375022233,0.01860099738591567,-8.079482547748565,9.458904657015616e-16,2892,4.3241881567696276e-16,1.0,2.358887334218709e-15,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_4,-0.200940842756895,0.018417877231075575,-10.910097848728052,3.472454019514479e-27,2892,9.827700356294609e-18,1.0,3.049720486704021e-26,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_6,-0.20789422370706076,0.018359590375332423,-11.323467433477342,4.0887559687440147e-29,2892,7.518190772565375e-16,1.0,5.50619137124194e-28,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_5,-0.16689810316944573,0.018538723860310354,-9.00267485653415,3.902887435582039e-19,2892,9.827700356294609e-18,1.0,1.433424112704676e-18,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_7,-0.2437949942151798,0.018226191150258954,-13.376080180730247,1.2312261219413462e-39,2892,1.4741550534441913e-17,1.0,3.5529668090307416e-38,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_6,-0.1085917032090967,0.01868899873527984,-5.810461263722201,6.910490590541457e-09,2892,-6.682836242280334e-16,1.0,8.779365404335688e-09,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_8,-0.11934855484891557,0.018662511895589175,-6.395095982611173,1.8648565219886628e-10,2892,3.439695124703113e-17,1.0,2.6342728492427264e-10,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_7,-0.2021054997061048,0.018403330210387488,-10.982006919162345,1.6207578003804407e-27,2892,1.8672630676959756e-16,1.0,1.5590146460802334e-26,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
