roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.013528016090647334,0.051511808424044465,0.26261970807324214,0.7928786309648862,1554,-1.1888102400104636e-16,1.0,0.7928786309648861,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.08960938439263394,0.05150151552914371,1.7399368440318173,0.08206871781187307,1554,-2.2861735384816607e-17,1.0,0.08458102549999164,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.44692296326261677,0.05040968152267911,-8.865816044910895,2.0423672945810837e-18,1554,-3.200642953874325e-16,1.0,6.8759698917563155e-18,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.4824150898452419,0.050536906453734695,-9.545797788134918,5.046882933611137e-21,1554,-4.435176664654422e-16,1.0,2.1690858565732968e-20,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.3711282053969045,0.05126307446496541,-7.239679033502832,7.05425166361067e-13,1554,-3.1091960123350586e-16,0.9999999999999998,1.4690297278859335e-12,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.559421143956089,0.049444527849429945,-11.314116410609808,1.4265315224265238e-28,1554,-6.949967556984249e-16,1.0,1.0672569167783621e-27,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.38163498280514346,0.05112008593580667,-7.465460509678646,1.3783946008161933e-13,1554,-7.407202264680581e-16,1.0,3.0264751017920767e-13,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.39225698777475404,0.051016670601309634,-7.6888002127815165,2.6228108942526635e-14,1554,-2.286173538481661e-16,0.9999999999999999,6.160555821384163e-14,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.21446919825714614,0.05178133834810526,-4.141824160962302,3.631435130990053e-05,1554,-2.0118327138638616e-16,1.0,4.314999390941121e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.17114666699578315,0.05184816146615611,-3.300920652847047,0.00098559653828783,1554,3.017749070795792e-16,1.0,0.0010999475178681858,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,-0.24702528866073892,0.0517126646218092,-4.776881842529518,1.9488101461407024e-06,1554,2.743408246177993e-16,0.9999999999999998,2.572938885754391e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-0.36169217841329093,0.050866507833677736,-7.110615487816553,1.7578223505589685e-12,1554,7.315755323141314e-17,1.0,3.5156447011179367e-12,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.3296294237656395,0.05105310094221688,-6.456599455902237,1.4291996552014578e-10,1554,1.3717041230889965e-17,1.0,2.6008858590152655e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,-0.03361189372566363,0.05222391806822243,-0.6436111071129308,0.5199229197944157,1554,-1.8289388307853286e-17,1.0,0.5225096009874228,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,-0.09994113628890448,0.05214454183021159,-1.9166174019578868,0.05547038183713063,1554,-2.4690674215601937e-16,1.0,0.058057083580831025,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,-0.25277044518056857,0.05108140412725222,-4.948384828084905,8.299057508597377e-07,1554,9.967716627780042e-16,1.0,1.1404147052630408e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,-0.40859032488271874,0.050955874862179604,-8.018512605030006,2.0906320279338158e-15,1554,-2.286173538481661e-16,1.0000000000000002,5.7068604005760914e-15,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
