roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.15625433010801906,0.04356575358387233,3.586632096405721,0.00034228978446142314,2203,3.2253415150254208e-18,1.0,0.005318656650862114,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.1824142264274677,0.0434154835234096,4.201593800725727,2.7563276204332623e-05,2203,-8.063353787563552e-17,1.0,0.0006186424214750211,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.02142576171860848,0.04326667300488633,-0.49520243250939944,0.6205067334381618,2203,-1.22562977570966e-16,1.0,0.7835842935226459,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.07969135029338219,0.043820258571346596,-1.818596076142078,0.06910911086585306,2203,2.2577390605177944e-17,1.0000000000000002,0.19850651001335118,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.04404492661525256,0.04394202965073855,-1.0023416525211026,0.31628894363746307,2203,-7.869833296662027e-16,1.0,0.515244892054577,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.08687400030701663,0.043110065642268706,-2.0151674327732434,0.04400863737709858,2203,-1.8061912484142355e-16,0.9999999999999999,0.15596043421357741,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.015294271703575554,0.04377124504867977,0.3494136775539781,0.726812238418303,2203,9.998558696578805e-16,1.0,0.8351124804676783,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.09017986254487804,0.04377040484515258,-2.0602930876218557,0.03948798944331078,2203,3.2253415150254206e-16,1.0,0.147498419180402,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.03304656881364366,0.0442169106768082,-0.7473739867352743,0.45491778708966346,2203,2.8383005332223703e-16,1.0,0.6563813785150858,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.026711964204381083,0.044158013204586184,0.6049177095134076,0.5452961182849586,2203,-1.2772352399500666e-15,0.9999999999999998,0.7199334372128212,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.0024413850813254784,0.04382065872361496,0.05571310775412456,0.9555754208157297,2203,-4.321957630134064e-16,1.0000000000000002,0.9739969859918898,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-0.027412919081988372,0.04362403122006086,-0.6283903232991985,0.529813563071308,2203,-4.967025933139148e-16,1.0,0.708757216823869,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.055264369900236976,0.04370450712593479,-1.2645004722508912,0.20618451417492006,2203,-5.676601066444741e-16,1.0,0.396659732031751,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.06596286532739185,0.04413025397843554,1.4947311510970436,0.13512816672063216,2203,6.4506830300508416e-18,1.0,0.29653477996560845,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,0.03514982205307039,0.04416647136944907,0.795848546718729,0.42620600999889324,2203,-8.837435751169653e-16,1.0,0.628420540290339,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,0.021476854679490013,0.04338897988555623,0.49498408895848345,0.6206608265525908,2203,-3.8059029877299967e-16,1.0,0.7835842935226459,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,-0.08752826981876097,0.04373365008019529,-2.0013941131887822,0.045472659659550864,2203,-8.643915260268128e-16,1.0000000000000002,0.1569379243247366,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,-0.024305744003985698,0.043689580763465345,-0.5563281583216966,0.5780431714691164,2203,-4.2574507998335554e-16,1.0,0.743724335265997,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,0.008247999842096895,0.04381217417471266,0.1882581724706427,0.8506916509985154,2203,-1.0837147490485414e-15,0.9999999999999999,0.9044195447457901,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,0.024712548001243707,0.04417577773996306,0.5594139880617837,0.5759362131083485,2203,-4.967025933139148e-16,1.0,0.743724335265997,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,0.024731175712739594,0.044111153494668785,0.560655837660844,0.5750893218371049,2203,9.740531375376771e-16,1.0,0.743724335265997,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,0.05754029784052068,0.044064687754270346,1.3058142647327484,0.19175237632551786,2203,-2.5802732120203366e-17,1.0,0.3873398001775461,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,-0.07513222973239374,0.04388816487918355,-1.7119018290971981,0.08705582444004147,2203,-1.0933907735936177e-15,0.9999999999999999,0.22259843717580222,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,-0.06537058792660806,0.043958895755349385,-1.4870843956232243,0.13713595254818853,2203,-5.483080575543215e-17,1.0000000000000002,0.29653477996560845,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_12,0.04791252190307062,0.04404125105098953,1.0879010191513192,0.27675808100695654,2203,2.0964719847665235e-16,1.0,0.4890406059505389,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
