roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.02574997186957132,0.01857370319189936,1.3863671451798465,0.16574187595617249,2892,-1.13018554097388e-16,1.0,0.16824049720174294,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.016285193421589267,0.018578624799742174,0.8765553746375925,0.3808011160195185,2892,5.6509277048694e-17,1.0,0.3808011160195185,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.23366803312544387,0.01805412211524397,12.94264166564746,2.7603999107547447e-37,2892,-3.0465871104513286e-16,0.9999999999999999,1.4297455948011755e-36,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.23977442000655896,0.018212508267235618,13.165370551288325,1.7447334830040074e-38,2892,-4.619019167458466e-16,1.0,9.789893432411374e-38,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.18059932114384114,0.018549118314709515,9.7362752277355,4.595195106656055e-22,2892,-1.277601046318299e-16,0.9999999999999998,1.1749739386639534e-21,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.24977297620143565,0.017899694176328706,13.954035959549842,7.1145752467533005e-43,2892,-4.3241881567696276e-16,0.9999999999999999,5.748576799376667e-42,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.19973468824882698,0.018386597065335356,10.863058973832143,5.704470467705146e-27,2892,1.277601046318299e-15,0.9999999999999999,1.8585532814136122e-26,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.17942181380158817,0.01847557643455834,9.711297205643978,5.827717915804964e-22,2892,-1.277601046318299e-16,1.0,1.45333212221309e-21,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.09183801339440514,0.018844950250007184,4.873348678347937,1.1564920681782584e-06,2892,-3.9310801425178436e-17,0.9999999999999998,1.3198384054915717e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.07835143182922884,0.018836253547786903,4.159608046815364,3.2809252764419953e-05,2892,-2.0638170748218678e-16,1.0,3.60188535783306e-05,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.11491208911465411,0.018666351329724037,6.156108769455641,8.488237318088578e-10,2892,1.1989794434679423e-15,0.9999999999999999,1.158529688009387e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
