roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.4219969546474871,0.016994563413562515,-24.831291300529223,1.5627135802232485e-123,2892,-1.179324042755353e-16,0.9999999999999999,3.156681432050962e-121,LH,,unknown_subregion,,unknown,spm_thickness_schaefer200_17,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.35920229697504796,0.017506563440541398,-20.51815013237912,1.903457018583369e-87,2892,9.336315338479878e-16,1.0,1.9224915887692026e-85,RH,,unknown_subregion,,unknown,spm_thickness_schaefer200_17,
LH_VisCent_ExStr_1,-0.10536938302705688,0.018701610492748925,-5.634241129549308,1.9277413509975913e-08,2892,5.896620213776765e-17,1.0,2.4645807145665407e-08,LH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
RH_VisCent_ExStr_1,-0.11635502092684877,0.01863024495157198,-6.245490664739273,4.845845154854243e-10,2892,-1.2677733459620045e-15,1.0,6.52573814187038e-10,RH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
LH_VisCent_ExStr_2,-0.14770827564924263,0.0185940645285323,-7.943840112127534,2.783018453979105e-15,2892,1.1007024399049962e-15,1.0,4.76415023477779e-15,LH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
RH_VisCent_ExStr_2,-0.15602111918513584,0.01856702454729603,-8.403129903108661,6.728010475645008e-17,2892,-1.69527831146082e-15,1.0,1.2468423083305426e-16,RH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
LH_VisCent_Striate_1,-0.2221468075368038,0.018316307056609995,-12.128362275769742,4.68913230633893e-33,2892,-9.827700356294609e-18,1.0,2.5600127726499023e-32,LH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
RH_VisCent_Striate_1,-0.2021399690889889,0.018434695820528042,-10.965191455119916,1.9376587526129456e-27,2892,2.9483101068883824e-16,1.0,6.634018102166357e-27,RH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
LH_VisCent_ExStr_3,-0.21386202720651043,0.018399149714843053,-11.623473395294056,1.483153919565436e-30,2892,6.388005231591495e-16,1.0,7.133264089338525e-30,LH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
RH_VisCent_ExStr_3,-0.1948389999411654,0.01844194457056813,-10.564992167480694,1.2628416234952117e-25,2892,3.2431411175772206e-16,1.0,3.9245231991697347e-25,RH,VisCent,visual_occipital,VisCent,occipital,spm_thickness_schaefer200_17,Vis
