roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-1.116496401738378,0.039741365870424095,-28.094062126065108,1.0644625637994533e-140,1554,-5.669710375434519e-16,0.9999999999999998,1.0751071894374478e-138,LH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-1.1316435638901645,0.04059152821548949,-27.878811506740362,5.847281497425987e-139,1554,-1.024205745239784e-15,0.9999999999999998,3.9371695416001647e-137,RH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
LH_Vis_1,-0.8055584761568982,0.04749023580500883,-16.962612682414505,2.5093470892765212e-59,1554,1.2253890166261703e-15,0.9999999999999998,9.938982588899163e-59,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_1,-0.7074579378778093,0.049069293849793603,-14.41752840469672,2.5892605197182183e-44,1554,-1.691768418476429e-16,1.0,5.127751225324315e-44,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_2,-0.6558228395640106,0.04920768233912779,-13.32765146393674,1.9185899618856028e-38,1554,0.0,0.9999999999999999,3.312437370093092e-38,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_2,-0.788564871789414,0.04744279112595715,-16.621384473266588,3.2522112371929044e-57,1554,6.035498141591584e-16,1.0,1.1525380173911696e-56,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_3,-0.6742915328307786,0.04922100540793209,-13.699263703421117,2.0966728086065274e-40,1554,8.047330855455446e-16,1.0,3.815566732779446e-40,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_3,-0.6679524394431583,0.04917223191747011,-13.583935757974928,8.604885902526472e-40,1554,5.39536955081672e-16,1.0,1.511466915052476e-39,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_4,-0.45673916581547036,0.0499710679925502,-9.14007212900797,1.9005442555273315e-19,1554,-1.1888102400104637e-15,1.0,2.35527570316884e-19,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_4,-0.4269425312348283,0.05009469893984993,-8.522708794945945,3.64149452836352e-17,1554,-3.4749837784921243e-16,0.9999999999999999,4.352555590114976e-17,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
