roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.38271756994091877,0.03838531904007872,-9.970415239777408,6.251765791492491e-23,2203,1.0321092848081347e-16,0.9999999999999998,2.104761149802472e-21,LH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.36466506549527,0.039857366785170434,-9.149251315592414,1.2706748617278917e-19,2203,2.0642185696162693e-16,1.0,2.851959134100379e-18,RH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
LH_Vis_1,-0.16041781951168502,0.04335950999931588,-3.699714768783505,0.00022114128047012732,2203,-1.1740243114692531e-15,1.0,0.00037024581380399837,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_1,-0.2030779878135624,0.04406844078562168,-4.60824082253033,4.293468101228703e-06,2203,-2.9028073635228787e-16,0.9999999999999999,9.74472535335054e-06,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_2,-0.15039092002575535,0.04373999742588581,-3.438292841250886,0.0005962979227015126,2203,-1.0063065526879313e-15,1.0,0.0009373335333335617,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_2,-0.1829254316784374,0.04334964629117397,-4.219767572029329,2.5449055687331973e-05,2203,3.160834684724912e-16,1.0,4.9429896623471714e-05,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_3,-0.10484939400353416,0.043802413884968756,-2.393689860994494,0.016763231392694315,2203,-1.019207918748033e-15,1.0,0.022277452245554285,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_3,-0.20398797510013636,0.043412643450909255,-4.69881488167853,2.7785418903011256e-06,2203,-9.676024545076263e-16,1.0,6.844700754156431e-06,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_4,-0.13415046600870398,0.04323807483866027,-3.10260034724665,0.001942674037029165,2203,-8.12786061786406e-16,1.0,0.0028643806969335136,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_4,-0.10839366904099149,0.04272115127339256,-2.5372366102057944,0.011241732246104313,2203,-5.999135217947283e-16,1.0,0.015138866091420476,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_5,-0.131066771972334,0.04340981858182013,-3.019288636862082,0.0025628354222925693,2203,-2.678646128228612e-15,1.0,0.003697805395022136,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_5,-0.1360824111418312,0.04356409776937106,-3.1237284394652995,0.001809031251009677,2203,7.482792314858977e-16,1.0,0.0027068467607700352,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_6,-0.0801743461699292,0.0442226280150781,-1.8129710912384729,0.06997263530752783,2203,7.095751333055925e-16,0.9999999999999999,0.08566346867951892,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_6,0.03154585524703573,0.042860816025653885,0.7360068746277321,0.4618050497589593,2203,-1.4191502666111851e-16,1.0,0.5042411894665394,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_7,0.010424164451965968,0.04278248265887788,0.24365496820467544,0.8075207907292246,2203,-1.0321092848081347e-16,0.9999999999999999,0.8196944709914742,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_7,-0.04600700189583399,0.04378090560689043,-1.0508462823709432,0.29344471405671385,2203,1.103066798138694e-15,1.0,0.3311499007790849,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_8,-0.2331617296339005,0.04315305120484874,-5.403134265687848,7.256184087350991e-08,2203,-1.4126995835811342e-15,1.0,2.571489799377018e-07,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_8,-0.16099096162905363,0.04297008877625159,-3.746582011206572,0.00018387696383931657,2203,-1.548163927212202e-16,1.0,0.00031212728315581465,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_9,-0.09745689993096585,0.042783706589862726,-2.2778975385470113,0.022828297703830307,2203,-2.289992475668049e-16,1.0,0.02918554516565647,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_9,-0.003322958652483027,0.041074876566713166,-0.08090002771124412,0.9355288231901142,2203,5.418573745242707e-16,1.0,0.9355288231901143,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_10,-0.061471175211932995,0.04166495685251141,-1.4753687476392463,0.1402566588248619,2203,-4.1284371392325386e-16,1.0,0.16472002955012852,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_10,-0.10032579396572991,0.04293142469705236,-2.336884803467009,0.0195345590199028,2203,-1.0450106508682364e-15,0.9999999999999999,0.02545794143238946,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_11,-0.23178451597497982,0.04330236073003774,-5.352699300160715,9.566476514157512e-08,2203,4.450971290735081e-16,0.9999999999999999,3.220713759766363e-07,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_11,-0.18757732636317687,0.043897568671203986,-4.273068692440459,2.010248062449591e-05,2203,-2.3577246474835826e-15,1.0,4.020496124899182e-05,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_12,0.024338905980932364,0.04251913304680795,0.5724224422482567,0.567094358180432,2203,-3.096327854424404e-16,1.0,0.6085449846783542,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_12,-0.11382129160997467,0.042337338401052374,-2.6884375803639426,0.007232911105059477,2203,-2.554470479900133e-15,1.0,0.009939102334843635,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
