roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.40812382769342703,0.015370401271092462,26.552581191292436,3.504829383636613e-139,2892,-1.179324042755353e-16,0.9999999999999999,1.0113936221351367e-137,LH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.4204907168467308,0.015832814540823525,26.558178633529263,3.1096525938124513e-139,2892,9.336315338479878e-16,1.0,1.0113936221351367e-137,RH,,unknown_subregion,,unknown,spm_thickness_schaefer200_7,
LH_Vis_1,0.38321551107209084,0.017296491386939818,22.15567900443948,1.405186425538667e-100,2892,7.862160285035687e-17,1.0,1.1826985748283783e-99,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_1,0.3274695162151163,0.017960352090306296,18.23291183650351,2.1757832912953524e-70,2892,-7.739314030582004e-16,1.0,6.867316013150956e-70,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_2,0.32839611601968083,0.01784954376857871,18.3980117518617,1.4374333909415881e-71,2892,5.896620213776765e-17,1.0,4.760025327380341e-71,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_2,0.33469791245753666,0.01767888890850613,18.932067178526022,1.9216701775305283e-75,2892,-1.6707090605700834e-16,1.0,7.057770470203031e-75,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_3,0.3108899356270593,0.017940247013395673,17.329189246665507,4.435436001575964e-64,2892,1.4741550534441912e-16,1.0,1.210754151781547e-63,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_3,0.3167514350042567,0.01784648109988712,17.74867735725561,5.624189736346252e-67,2892,-1.2677733459620045e-15,1.0,1.67071518638521e-66,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_4,0.18476651124034738,0.018298023704945543,10.097621154048957,1.3877695242258395e-23,2892,7.075944256532118e-16,1.0,1.678619424512692e-23,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_4,0.17861876501871993,0.018202234199113747,9.813013230398758,2.206726863969421e-22,2892,1.2481179452494152e-15,1.0,2.637626192436823e-22,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_5,0.21799077743449227,0.018314448980036504,11.902666450522814,6.319261423736248e-32,2892,1.1007024399049962e-15,1.0,8.397965839438961e-32,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_5,0.26428598324885666,0.01807381235810676,14.622591958597756,9.0964109352806e-47,2892,-1.69527831146082e-15,1.0,1.5061270564972797e-46,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_6,0.216466838913319,0.018432140929584253,11.743987838432913,3.8308678967594354e-31,2892,-1.179324042755353e-16,1.0,5.024904643801337e-31,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_6,0.13454623424480588,0.018428309461290607,7.301062234027792,3.6738168282642743e-13,2892,2.9483101068883824e-16,1.0,4.0775329632383704e-13,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_7,0.12187659626523309,0.018338476858266294,6.645949781281629,3.587948311536301e-11,2892,-9.827700356294609e-18,1.0,3.917651669893691e-11,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_7,0.19639812732511172,0.018392359075710542,10.678245597351376,3.9295994351887005e-26,2892,-6.191451224465603e-16,1.0,4.8998709006673924e-26,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_8,0.32400726391844975,0.017720684394369107,18.284128124385855,9.385326101028942e-71,2892,1.4250165516627183e-16,1.0,3.009263289536264e-70,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_8,0.25642111880121715,0.01798248967820712,14.259489280395501,1.2381506016483584e-44,2892,3.2431411175772206e-16,1.0,1.8804994100223188e-44,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_9,0.2710664179755708,0.01786307548716764,15.174677964625841,4.2361195044198807e-50,2892,6.388005231591495e-16,1.0,7.779055817207417e-50,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_9,0.10966147783795255,0.017750720363910684,6.177860705918579,7.410998619931366e-10,2892,-4.52074216389552e-16,1.0,8.005463749872384e-10,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_10,0.2074139915223457,0.01760020650802603,11.784747606669328,2.416346112750099e-31,2892,3.144864114014275e-16,1.0,3.190208593304052e-31,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_10,0.19539836636565114,0.018103409260455044,10.793456832049745,1.1841106551007731e-26,2892,-7.075944256532118e-16,1.0,1.4949397020647262e-26,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_11,0.3397971605639262,0.017699236532535204,19.198407792296695,2.0876387427351316e-77,2892,5.896620213776765e-17,0.9999999999999998,8.268686784950914e-77,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_11,0.30222929603334947,0.018014907032379464,16.77662257652129,2.3842977470766783e-60,2892,9.582007847387243e-16,0.9999999999999999,5.473047101244194e-60,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_12,0.1936349638043487,0.01799648410365463,10.759599635632513,1.6865985860029184e-26,2892,1.4348442520190129e-15,1.0,2.1161050582148417e-26,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_12,0.23894562636501324,0.017937767937530835,13.320811552315384,2.4784296292840333e-39,2892,8.353545302850417e-16,1.0,3.4527088628646533e-39,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_13,0.18076516848711008,0.018388833873927365,9.830159417743625,1.8717945754850713e-22,2892,-5.257819690617616e-16,1.0,2.25061014433324e-22,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_13,0.16748592700970646,0.018072587544652352,9.267401615617862,3.6206244737198644e-20,2892,8.746653317102202e-16,1.0,4.203253699375934e-20,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_Vis_14,0.29155857035230753,0.017880180537764093,16.30624309058385,2.98611306258792e-57,2892,3.636249131829005e-16,1.0,6.416966368539998e-57,LH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
RH_Vis_14,0.16065835358500283,0.018500967397906076,8.683781238552207,6.291649387864835e-18,2892,4.52074216389552e-16,1.0,7.180300431348569e-18,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_SomMot_1,0.3253126078155093,0.016887371772100056,19.263661166799466,6.843091584218375e-78,2892,5.01212718171025e-16,1.0,2.7646090000242232e-77,LH,SomMot,unknown_subregion,SomMot,unknown,spm_thickness_schaefer200_7,SomMot
RH_Vis_15,0.3411203759416499,0.017626626415499752,19.35256173817186,1.4903193208446643e-78,2892,-2.3684757858670005e-15,1.0,6.143765363482086e-78,RH,Vis,unknown_subregion,Vis,unknown,spm_thickness_schaefer200_7,Vis
LH_SomMot_2,0.25267727340242047,0.017268380517521022,14.632366546825073,7.957792380931369e-47,2892,-1.25794564560571e-15,0.9999999999999999,1.3284909594612698e-46,LH,SomMot,unknown_subregion,SomMot,unknown,spm_thickness_schaefer200_7,SomMot
RH_SomMot_1,0.27103093714177373,0.01697564287255832,15.96587175970249,4.691940414742111e-55,2892,1.4348442520190129e-15,0.9999999999999998,9.671142487529658e-55,RH,SomMot,unknown_subregion,SomMot,unknown,spm_thickness_schaefer200_7,SomMot
LH_SomMot_3,0.3076949194764305,0.017554730907608004,17.527749134740613,1.917131148934677e-65,2892,1.7689860641330295e-15,1.0,5.304938247737052e-65,LH,SomMot,unknown_subregion,SomMot,unknown,spm_thickness_schaefer200_7,SomMot
RH_SomMot_2,0.26154309432109724,0.017752342775819094,14.732877661496689,2.0029479643856574e-47,2892,1.582259757363432e-15,1.0,3.3999620908059055e-47,RH,SomMot,unknown_subregion,SomMot,unknown,spm_thickness_schaefer200_7,SomMot
