roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.08591976067936374,0.027124678816675997,-3.1675862877513996,0.0015730339393879046,1298,-3.6402998403733945e-16,1.0,0.002377029063963945,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.0664373371404717,0.027818857420311146,-2.3882122884013337,0.01707326126518897,1298,-2.134912688339284e-16,1.0,0.01903248796775164,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.06652031160786864,0.027142371049958366,-2.4507922128627255,0.01438580493262778,1298,6.568962117967028e-17,1.0,0.01630391225697815,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.19673995319625615,0.025688870475517076,-7.658567681430768,3.664134426447849e-14,1298,-3.3392224099665727e-16,1.0,1.2458057049922687e-12,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.21564761742666538,0.026435070080241718,-8.157633657564851,8.011363769175898e-16,1298,6.705815495424674e-17,0.9999999999999999,5.447727363039611e-14,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.1651134125628455,0.02577449918657387,-6.4060764621511765,2.0854105635952896e-10,1298,-2.2033393770681074e-16,1.0,1.5756435369386633e-09,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.07846062149327887,0.027082939686967764,-2.8970496703884,0.0038302941020747017,1298,-1.3274777613391702e-16,0.9999999999999999,0.0051070588027662695,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.1442392392744466,0.025905063007488727,-5.567994149743987,3.130045653588771e-08,1298,-9.032322912204664e-17,0.9999999999999999,1.4189540296269095e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.039171118130468585,0.025100943698918802,-1.5605436433115398,0.11887598434640356,1298,3.4213344364411605e-16,1.0,0.12436256823931449,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.19408011093145255,0.025566782815999108,-7.591104141972906,6.043958999143989e-14,1298,3.42133443644116e-17,1.0,1.369964039805971e-12,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.14640650599810123,0.025502149481209168,-5.740947683879683,1.171738269809808e-08,1298,-3.161313019271632e-16,1.0,6.129092488235918e-08,LH,frontal,frontal,,frontal,fs8_cortical_volume,
