roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.6772434601194987,0.08128466685376688,-8.33174922569193,2.351584721844517e-16,1104,4.3765313434498927e-16,1.0,8.883764504745954e-16,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.20696033800669159,0.08533068065123174,-2.425391857034298,0.015452136212272838,1104,8.366898156595383e-17,1.0,0.018763308257759875,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.4179694461041526,0.08234162318749474,-5.076040888244595,4.5230117482785847e-07,1104,-1.12631321338784e-16,1.0,7.689119972073593e-07,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.24948430669213228,0.07924494893190376,-3.148267619006449,0.0016866558327483384,1104,-1.351575856065408e-16,1.0,0.00229385193253774,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-1.1632276728026574,0.0737318198191797,-15.776467685937536,1.0673821874242576e-50,1104,1.5607483099802926e-16,1.0,7.258198874484951e-49,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.8412488168990064,0.07633125094268409,-11.021027515069637,7.274937304557839e-27,1104,-4.50525285355136e-17,1.0,7.067081952999043e-26,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.8734619608681877,0.0799753694287137,-10.921637087863044,1.9594639848040825e-26,1104,1.1424034021505233e-16,1.0,1.4804838996297511e-25,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.9147812155295666,0.07505483534705933,-12.188171638769813,3.842843173952539e-32,1104,-4.60179398612746e-16,1.0,4.355222263812877e-31,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.5955710894047258,0.075804843540121,-7.856636351864636,9.35006563968133e-15,1104,4.827056628805028e-17,1.0,2.649185264576377e-14,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.6017166906703996,0.07762391520777846,-7.751692104936538,2.0567494816975328e-14,1104,5.535024934363099e-16,1.0,5.379190952132009e-14,LH,occipital,occipital,,occipital,fs8_cortical_volume,
