roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.15247772028801204,0.0786540594562875,-1.9385867855015482,0.05280132121853486,1131,6.282429140230771e-17,1.0,0.14361959371441482,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.058810310730123966,0.08117536269752283,-0.7244847300438195,0.46891870492751464,1131,1.5706072850576928e-16,1.0,0.678435573086617,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,0.059434992076395764,0.07841906401729228,0.7579150914539058,0.44866040382286565,1131,-3.266863152920001e-16,1.0,0.663237118694671,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.006936732675848732,0.07417454910404182,-0.093519040690343,0.9255078607282864,1131,-3.5495724642303857e-16,1.0,0.9789471652179356,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.4039278979321109,0.07532096537267119,-5.362755189522154,9.941065866982707e-08,1131,-2.049642507000289e-16,1.0,6.759924789548241e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.17323407317754072,0.07495695144418997,-2.311114177402533,0.02100646762550536,1131,3.9893425040465397e-16,1.0,0.07518104202812444,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.13876987945641647,0.07861307710977893,-1.7652264045412167,0.07779674188407447,1131,9.423643710346157e-17,1.0,0.1768016429128626,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.22566555271956684,0.073896554565815,-3.0538034424674128,0.0023126650783193725,1131,1.068012953839231e-16,1.0,0.015726122532571732,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.27670210015221475,0.0726091912732673,-3.8108412351108063,0.00014598814402734032,1131,4.821764365127117e-16,1.0,0.0033090645979530473,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.006577038707539777,0.07402142990833202,-0.08885317016551514,0.9292144014327991,1131,-5.371476914897309e-16,1.0,0.9789471652179356,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.13902421237378418,0.07510577891477929,-1.8510454772266138,0.0644247364066166,1131,2.9213295502073086e-16,1.0,0.1622548916907381,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.04980795287760172,0.0753256216577777,0.6612352049863081,0.5085967602612216,1131,-3.83228177554077e-16,1.0,0.6944082426522279,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-0.104355423096214,0.07372873882421195,-1.4153968284338059,0.15722869044689103,1131,4.2092275239546167e-16,1.0,0.29698752639968307,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-0.24302903086532965,0.07247000429610335,-3.3535120250903185,0.0008244838052539451,1131,-5.0259433121846164e-17,1.0,0.007168477740681738,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-0.12941349201364422,0.08015870820743652,-1.6144657880307283,0.10670659786323139,1131,1.099425099540385e-16,0.9999999999999999,0.2267515204593667,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,0.053269729450121095,0.07934016231414694,0.6714093832982078,0.5020974819469385,1131,-3.5966906827821163e-16,1.0,0.6944082426522279,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,0.033857713912556195,0.07900174614695536,0.42856918440227454,0.6683187450634205,1131,-2.19885019908077e-16,0.9999999999999999,0.8262849938965926,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,-0.12162901834582214,0.08003535261539384,-1.5196911661063672,0.12886934271593012,1131,-1.711961940712885e-16,1.0,0.2655489486267651,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,0.016378776300529314,0.07867292892438367,0.20818821066483673,0.8351196632925233,1131,1.8847287420692313e-16,1.0,0.9309530672769113,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,0.09011301222655249,0.07711257177488193,1.1685904146683541,0.2428160382527198,1131,1.3821344108507697e-16,1.0,0.4345129105574986,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,-0.1161666735116866,0.07802112539421664,-1.4889130722574466,0.13679027429374196,1131,-3.706633192736155e-16,0.9999999999999999,0.27358054858748393,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,-0.1743780597341733,0.07748126323008327,-2.2505835922725175,0.024604267789208323,1131,-4.39770039816154e-16,1.0,0.0836545104833083,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,-0.08009104513438778,0.07757445484125146,-1.0324409665306225,0.30208728632150633,1131,-1.068012953839231e-16,0.9999999999999999,0.49902353307731817,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,-0.21586555730665805,0.07587527457020872,-2.8450052870242186,0.004521513492200438,1131,1.3978404837013464e-16,1.0,0.023650993651509983,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,-0.13018042448930803,0.07929229900793784,-1.6417789131864602,0.10091507079064027,1131,-1.099425099540385e-16,1.0,0.22136209076656577,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,-0.06163928345077554,0.07485444510563982,-0.8234552185082111,0.4104235415108074,1131,-6.282429140230771e-17,1.0,0.6201955738385534,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,-0.048572239994382545,0.07527678140662221,-0.6452486289498767,0.5188975273226843,1131,-6.156780557426155e-16,0.9999999999999999,0.6944082426522279,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,-0.026631425344153203,0.0789611596968856,-0.33727246973556807,0.7359743686503828,1131,-2.827093113103847e-16,1.0,0.8780045099688777,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,-0.14964715728911965,0.07462459678305922,-2.005332876024217,0.04516642393097401,1131,-1.068012953839231e-16,1.0,0.1396053103321015,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,-0.1917361183212773,0.07684599231777613,-2.49506984734355,0.012735594453853959,1131,-3.1412145701153856e-17,1.0,0.04838850293504618,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,-0.03441535191002502,0.08011229446158388,-0.429588893206999,0.6675769074758706,1131,1.6648437221611543e-16,0.9999999999999999,0.8262849938965926,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,-0.2754566475634993,0.07839487763266476,-3.5137072201860917,0.00045943637524532046,1131,5.041649385035193e-16,1.0,0.006097337197133147,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,-0.01233335108545417,0.0802317109997435,-0.1537216510999448,0.8778567573767858,1131,5.654186226207694e-17,1.0,0.9628106371229265,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,-0.20093152522805147,0.07486310987833354,-2.6839858183102803,0.007381742593837535,1131,-3.5809846099315396e-16,1.0,0.03250361388838778,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,-0.15479875721184772,0.07822411928580213,-1.9789133917413637,0.04806908099661265,1131,4.39770039816154e-17,1.0,0.14211728294650697,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,-0.01972852305985439,0.08056175455287186,-0.24488695869833324,0.806588579598661,1131,-1.3821344108507697e-16,1.0,0.9296275154696432,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,0.003531845612182418,0.07945052801487314,0.04445339383422671,0.9645508833764954,1131,-3.926518212644232e-16,1.0,0.9789471652179356,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,0.0017967277885968316,0.07458455203394548,0.02408981135636628,0.9807852386038087,1131,6.910672054253849e-17,1.0,0.9807852386038087,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_entorhinal,-0.33600347896166627,0.07639373257648542,-4.39831210793712,1.1943108784450773e-05,1131,6.43948986873654e-17,1.0,0.0004060656986713263,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_fusiform,-0.23864591018994438,0.07355608493569829,-3.2444074531504135,0.0012115575432038908,1131,-6.376665577334232e-16,1.0,0.009153990326429396,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_inferiorparietal,-0.26712873675991455,0.0757215874743722,-3.5277751783838878,0.0004359524430612324,1131,2.827093113103847e-17,1.0,0.006097337197133147,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_inferiortemporal,-0.24776225923624534,0.07402113679762508,-3.3471825745345027,0.0008433503224331456,1131,-4.491936835265002e-16,1.0,0.007168477740681738,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_isthmuscingulate,-0.19441497119228915,0.07275889034648984,-2.672044203346876,0.00764790915020889,1131,-1.3350161922990388e-16,1.0,0.03250361388838778,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_lateraloccipital,-0.029192704007396663,0.07484066742829777,-0.39006472029882916,0.6965624621542327,1131,4.617585418069616e-16,1.0,0.8458258469015683,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_lateralorbitofrontal,-0.14298196192465015,0.07522379196311121,-1.900754511215902,0.0575893363718227,1131,3.5809846099315396e-16,1.0,0.15061826435707476,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_lingual,-0.03945839929200948,0.07619042562493612,-0.5178918344183033,0.6046354745322117,1131,-3.204038861517693e-16,1.0,0.7757587220413281,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_medialorbitofrontal,-0.016131845189780298,0.07513815416539152,-0.21469578763235833,0.8300433825649883,1131,1.0051886624369233e-16,1.0,0.9309530672769113,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_middletemporal,-0.2009197246134515,0.07430750608005918,-2.703895409933148,0.006956432178470514,1131,-8.167157882300002e-17,1.0,0.03250361388838778,RH,temporal,temporal,,temporal,fs8_cortical_volume,
