roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.21308789156403024,0.02645849792726584,8.053665485841517,1.8166778401248256e-15,1291,-4.67824419361801e-16,1.0,5.3710475273255714e-15,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,0.06080625314209778,0.027726229641648913,2.1930949114970093,0.028479104749343735,1291,-1.5135495920528859e-16,0.9999999999999999,0.030706188729175857,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,0.17692703682630878,0.026604429628871093,6.650284907228674,4.314013924715411e-11,1291,-2.751908349187065e-18,1.0,8.889483238807513e-11,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.10180307992429516,0.025361315406158134,4.0141088225879535,6.311732946830293e-05,1291,-2.9032633083923534e-16,1.0,8.415643929107057e-05,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,0.3414111267850363,0.0244948141391226,13.93809827851446,3.152157533456705e-41,1291,-1.4860305085610152e-16,1.0,5.358667806876399e-40,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,0.3387969469918757,0.02413923397478033,14.03511591734173,9.649808649585639e-42,1291,-4.898396861552976e-16,1.0,2.1872899605727445e-40,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,0.3191948835809331,0.025685814540528006,12.426893571052455,1.449734965663401e-33,1291,-3.2094131122394146e-16,1.0,1.6430329610851878e-32,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,0.3392807743936127,0.024015148883994097,14.127781427986092,3.097997272820853e-42,1291,-4.320496108223692e-16,1.0,1.05331907275909e-40,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,0.20843324368382674,0.0243446915111964,8.561753332876119,3.126470658221444e-17,1291,1.6649045512581743e-16,1.0,1.0123809750431342e-16,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,0.24725090624166185,0.024637283238661788,10.035640043852972,7.191697893119767e-23,1291,-2.1877671376037167e-16,1.0,3.260236378214295e-22,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,0.17308451862107924,0.02511276592800685,6.892292116180156,8.576972847025741e-12,1291,-3.0546182675976424e-16,1.0,1.82260672999297e-11,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.12778995626793768,0.025587549076491557,4.9942241785612875,6.719687944506398e-07,1291,-1.9538549279228162e-16,1.0,1.057993356279537e-06,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,0.1455616516412694,0.024760700162205763,5.878737300952895,5.261805116000076e-09,1291,2.4216793472846173e-16,0.9999999999999998,9.938965219111256e-09,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,0.3559100104189485,0.02349791139123283,15.146452997168932,8.230925781330511e-48,1291,-1.018206089199214e-16,1.0,5.597029531304747e-46,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,0.22937236636310926,0.02660070803201842,8.622791772573162,1.8915223684713244e-17,1291,4.403053358699304e-17,0.9999999999999999,6.431176052802503e-17,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,0.08238233936125433,0.027023641967586727,3.0485283760074644,0.0023466003484692603,1291,-4.3927337023898524e-16,1.0,0.0027994530472966613,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,0.14143097891803372,0.026836091199427845,5.270178054881892,1.5968017151748575e-07,1291,1.100763339674826e-16,1.0000000000000002,2.714562915797258e-07,LH,frontal,frontal,,frontal,fs8_cortical_volume,
