roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_bankssts,-0.15727271815515131,-0.15727271815515131,-0.15727271815515131,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_caudalanteriorcingulate,-0.05598220132483449,-0.05598220132483449,-0.05598220132483449,184,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_caudalmiddlefrontal,0.09139026967828885,0.09139026967828885,0.09139026967828885,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_cuneus,0.007283474324135998,0.007283474324135998,0.007283474324135998,184,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_entorhinal,-0.43792018770283053,-0.43792018770283053,-0.43792018770283053,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_fusiform,-0.1849107904123404,-0.1849107904123404,-0.1849107904123404,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_inferiorparietal,-0.13693739669776508,-0.13693739669776508,-0.13693739669776508,184,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_inferiortemporal,-0.23991032687505323,-0.23991032687505323,-0.23991032687505323,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_isthmuscingulate,-0.2946988222891215,-0.2946988222891215,-0.2946988222891215,184,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_lateraloccipital,0.011554552943389423,0.011554552943389423,0.011554552943389423,184,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_lateralorbitofrontal,-0.13378850751085536,-0.13378850751085536,-0.13378850751085536,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_lingual,0.07094397194005295,0.07094397194005295,0.07094397194005295,184,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_medialorbitofrontal,-0.09824174756889986,-0.09824174756889986,-0.09824174756889986,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_middletemporal,-0.27136270092966586,-0.27136270092966586,-0.27136270092966586,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_parahippocampal,-0.12596984031952693,-0.12596984031952693,-0.12596984031952693,184,LH,temporal,temporal,,temporal,fs8_cortical_volume,,MCI
lh_paracentral,0.06938513082053584,0.06938513082053584,0.06938513082053584,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parsopercularis,0.041409153581449365,0.041409153581449365,0.041409153581449365,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parsorbitalis,-0.11932364745398925,-0.11932364745398925,-0.11932364745398925,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_parstriangularis,0.017273933295938224,0.017273933295938224,0.017273933295938224,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_pericalcarine,0.11176714684760118,0.11176714684760118,0.11176714684760118,184,LH,occipital,occipital,,occipital,fs8_cortical_volume,,MCI
lh_postcentral,-0.10720854418523806,-0.10720854418523806,-0.10720854418523806,184,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_posteriorcingulate,-0.17066723541102619,-0.17066723541102619,-0.17066723541102619,184,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_precentral,-0.07472091828262198,-0.07472091828262198,-0.07472091828262198,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_precuneus,-0.220925864207655,-0.220925864207655,-0.220925864207655,184,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
lh_rostralanteriorcingulate,-0.12828976044200113,-0.12828976044200113,-0.12828976044200113,184,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,MCI
lh_rostralmiddlefrontal,-0.049056305933329936,-0.049056305933329936,-0.049056305933329936,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_superiorfrontal,-0.038690970269517885,-0.038690970269517885,-0.038690970269517885,184,LH,frontal,frontal,,frontal,fs8_cortical_volume,,MCI
lh_superiorparietal,-0.015006530020225851,-0.015006530020225851,-0.015006530020225851,184,LH,parietal,parietal,,parietal,fs8_cortical_volume,,MCI
