roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.27251230491278944,0.025900519670771182,10.521499505676731,6.734098039614207e-25,1298,3.284481058983514e-17,1.0,4.309822745353093e-24,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.3318614274507802,0.02524656509407098,13.144814996187979,3.890435592314588e-37,1298,-6.295255363051735e-17,1.0,2.489878779081336e-35,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.10276202735195539,0.026355359786825627,-3.8990940811714325,0.00010150593371007726,1298,7.390082382712907e-17,1.0,0.0001624094939361236,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.13129895678745263,0.024767478627275165,-5.301264564042452,1.350937292464862e-07,1298,4.0234892972548046e-16,1.0,2.47028533479289e-07,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.14709987819120718,0.025155981215557503,-5.847511052370897,6.310846966324552e-09,1298,-5.0635749659329176e-17,1.0,1.3028845349831333e-08,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.12126832813281702,0.026907052386517714,4.506934702129647,7.171613454870944e-06,1298,-2.545472820712223e-16,1.0,1.207850687136159e-05,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.05271029939688476,0.026082815071244284,-2.0208823032678205,0.043497559952082716,1298,5.638359151255032e-16,1.0,0.048839365560233224,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.11638108708409378,0.025329856079620485,-4.594620937373976,4.7585034774336e-06,1298,3.6129291648818656e-16,1.0,8.230924933939199e-06,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.30459552029548953,0.02416205302036836,12.606359237715383,1.8826606335464388e-34,1298,-1.4780164765425813e-16,1.0,6.024514027348604e-33,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.09502159468880383,0.027166622813578324,3.497733057982845,0.0004851319326277201,1298,-3.2297397080004555e-16,0.9999999999999999,0.0007392486592422401,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-0.08796446150486492,0.02546314824158928,-3.454579169483507,0.0005689749968755838,1298,5.118316316915976e-16,1.0,0.000846846506977613,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.3276873316766064,0.02609413048712584,-12.557894268148875,3.252397171540879e-34,1298,-3.845579906559864e-16,1.0,6.938447299287208e-33,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.202590975168232,0.02612642984880193,-7.754254076835612,1.7897344186583423e-14,1298,1.259051072610347e-16,1.0,7.158937674633369e-14,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.24590596661399822,0.021452443887737368,11.462841618458343,4.845789484343024e-29,1298,4.981462939458329e-16,1.0,5.168842116632559e-28,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.1975864914337405,0.02693975787090983,-7.334382602120524,3.916092126901349e-13,1298,1.8885766089155206e-16,0.9999999999999999,1.2531494806084316e-12,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
