roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.9582273133265001,0.075164619491548,12.748382414604647,8.135263815800327e-35,1104,-2.5422498245039816e-16,1.0,6.508211052640261e-34,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,1.488023612368444,0.06419184877466826,23.18088107404154,4.21826659896157e-97,1104,1.4481169886415085e-17,0.9999999999999998,2.6996906233354048e-95,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.18540468103938684,0.0823321401805448,-2.251911351178482,0.024524672096336877,1104,2.670971334605449e-16,1.0,0.03828241497964781,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.2709855719363793,0.07808563479507781,-3.4703639491122007,0.0005399227482910918,1104,-6.564797015174838e-16,1.0,0.0011518351963543292,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.28950243893101324,0.0792750722752517,-3.65187227992463,0.0002725972690656052,1104,-6.178632484870436e-16,1.0000000000000002,0.0006230794721499548,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.19209410405571908,0.08459835430201713,2.2706600576406113,0.023360432915171286,1104,-1.2550347234893073e-16,1.0,0.037376692664274055,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.32328418708684237,0.08117141645913295,-3.982734331728768,7.260825679514042e-05,1104,-1.1520575154081334e-15,1.0,0.00017210846055144396,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.015093104802449988,0.07954500077479668,-0.1897429713424824,0.849545584249673,1104,-6.436075505073371e-17,1.0,0.8913265146226077,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.6966087307589558,0.07200876020929574,9.673944235871309,2.6715749972404944e-21,1104,7.079683055580708e-17,1.0,1.5543709074853787e-20,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.09161504661798027,0.08407532354750141,1.089678192748423,0.2760937970802512,1104,1.9308226515220113e-16,1.0,0.4015909775712745,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-0.19193325360842334,0.0796412202851363,-2.4099737914769803,0.016117158973047618,1104,-1.6798157068241499e-15,0.9999999999999998,0.027144688796711777,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-1.3766223014502355,0.06907577859752559,-19.929160834671336,1.1072150807461608e-75,1104,-2.25262642677568e-17,1.0000000000000002,2.362058838925143e-74,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-1.273132324106027,0.07142614554247191,-17.824457898949458,1.269809983077891e-62,1104,-2.1882656717249463e-16,1.0,1.3544639819497505e-61,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.5480593067228581,0.06535281836930154,8.386161766212371,1.5242461255412824e-16,1104,5.535024934363099e-16,1.0,5.738338354978945e-16,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.7851178509130962,0.07954551840980208,-9.870045058583077,4.500103715831015e-22,1104,-6.661338147750939e-16,1.0,2.8800663781318495e-21,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-0.20790014058276363,0.07802970483386264,-2.6643717418310797,0.007826150386314578,1104,-5.213221159109431e-16,0.9999999999999999,0.013537124992544135,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.07158889061541812,0.08650704142744352,0.8275498668563556,0.40810512471387483,1104,-1.2872151010146743e-17,1.0,0.46640585681585695,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.07158889061541812,0.08650704142744352,0.8275498668563556,0.40810512471387483,1104,-1.2872151010146743e-17,1.0,0.46640585681585695,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.9707744325824148,0.07409492853817708,13.101766230629774,1.5077702914820182e-36,1104,0.0,0.9999999999999999,1.3785328379264167e-35,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,1.4527351128618315,0.06481541006117171,22.41342161518016,6.216429146085289e-92,1104,1.9308226515220113e-17,1.0,1.9892573267472926e-90,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-0.13883701299224616,0.08246573961149663,-1.6835720342328775,0.09254839894262629,1104,-6.210812862395803e-16,1.0,0.13774645424018797,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-0.2344713431532155,0.07810078026879934,-3.0021639008757126,0.0027412573230236846,1104,-5.277581914160164e-16,1.0000000000000002,0.005160013784515171,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,-0.2843192652475477,0.07885618541242996,-3.605541705581043,0.00032547702292131097,1104,-1.8664618964712776e-16,1.0,0.0007182941195504794,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,0.14387088990691171,0.08503399659800401,1.691922003702326,0.09094432323971999,1104,-4.022547190670857e-16,1.0,0.13774645424018797,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,-0.3371626248563206,0.08138528315913307,-4.142795991715907,3.6941652707551186e-05,1104,7.079683055580708e-16,1.0,9.457063093133104e-05,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,-0.05223651669912198,0.07930345727963564,-0.6586915437359603,0.5102318357308957,1104,-1.1520575154081334e-15,1.0,0.5728918857329355,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,-1.3835327191020086,0.06959173482327928,-19.8807045494029,2.2536734608433374e-75,1104,-2.9927751098591176e-16,0.9999999999999999,3.60587753734934e-74,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,-1.2902329572563944,0.07189390080434781,-17.94634792132975,2.3341747733094834e-63,1104,2.413528314402514e-18,1.0,2.9877437098361385e-62,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,-0.8290378048412259,0.08013164696181518,-10.345947403730314,5.290975014471193e-24,1104,3.0249554873844846e-16,1.0,3.7624711214017374e-23,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
