roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.4409040953335436,0.07273664248425263,6.061650363212718,1.8356125522937468e-09,1131,-3.1412145701153853e-18,1.0,1.4684900418349975e-08,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.6704313655842256,0.0681295151737612,9.840542147912268,5.625055630553684e-22,1131,9.737765167357695e-17,1.0000000000000002,3.600035603554358e-20,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,0.0622375509827506,0.07756978981037883,0.8023426534336595,0.42252407980448714,1131,-5.073061530736348e-16,0.9999999999999999,0.575351938457174,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.01621668764245825,0.0738889531240171,-0.21947377729441842,0.8263207828711284,1131,2.3244987818853854e-16,0.9999999999999999,0.8976793048247204,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.03269897460578574,0.07449033379909965,0.4389693660653319,0.6607679515373515,1131,5.371476914897309e-16,1.0,0.8132528634305864,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.26414712610214014,0.07928861811257966,3.331463359937553,0.0008919535219838869,1131,-4.963119020782309e-16,1.0,0.004391155800536058,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.13386246841368382,0.0775507363164023,-1.726127626532559,0.08459876877294162,1131,-1.1936615366438464e-16,1.0,0.21657284805873053,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.014978042971626242,0.07491783517963842,0.19992626503037367,0.8415743482731753,1131,-1.947553033471539e-16,0.9999999999999999,0.8976793048247204,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.24295846885851655,0.06932078358499708,3.5048430830360586,0.0004748349612238192,1131,3.7694574841384623e-17,1.0,0.002532453126527036,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.04292477944660032,0.07913616704003269,0.5424167109949352,0.5876388026569672,1131,1.6020194307588465e-16,1.0,0.7521776674009181,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.16316134011997535,0.07490230270747915,2.1783220838640966,0.029588964791663758,1131,-3.7694574841384627e-16,1.0,0.11139374980391062,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.4721491392930052,0.07371840257600618,-6.404766283509785,2.2076665307855564e-10,1131,7.41326638547231e-16,1.0,2.0184379710039373e-09,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.5511150396482607,0.07376231237594291,-7.4714989524650965,1.5868152144168878e-13,1131,3.235451007218847e-16,1.0,2.5389043430670205e-12,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.24235650269660608,0.06217798617153423,3.897786300572719,0.00010280595877210186,1131,-6.345253431633079e-16,1.0,0.0006579581361414519,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.2209935028209573,0.07798322167314842,-2.8338596185113873,0.004681076175552336,1131,-1.2564858280461542e-16,1.0,0.018724304702209343,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,0.02373600303468859,0.07344753295618961,0.32316950725692545,0.7466268769499256,1131,1.0208947352875002e-15,1.0,0.8698267894225504,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.07126406060911676,0.0816251632204503,0.8730648466410946,0.3828138767827013,1131,-6.2824291402307705e-18,0.9999999999999999,0.535448462834952,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.07126406060911676,0.0816251632204503,0.8730648466410946,0.3828138767827013,1131,-6.2824291402307705e-18,0.9999999999999999,0.535448462834952,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.4835120351636331,0.07222302082590965,6.694707998009626,3.402165361097546e-11,1131,9.423643710346156e-18,0.9999999999999999,4.354771662204859e-10,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,0.661920960327339,0.06916745057239768,9.569833134654939,6.51603167361521e-21,1131,9.737765167357695e-17,1.0,2.0851301355568673e-19,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,0.02244900052605605,0.07757156497365893,0.2893972879582755,0.7723306456886834,1131,1.5313421029312503e-15,1.0,0.882663595072781,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-0.046902852291960194,0.07380811928914903,-0.635470091145591,0.5252509867360333,1131,2.3873230732876927e-16,1.0000000000000002,0.6860421051246149,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,0.023827852531140507,0.07399800478193945,0.3220066892527368,0.7475073971600042,1131,-1.8847287420692313e-16,1.0,0.8698267894225504,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,0.2610812641997253,0.07953126095571296,3.282750217491316,0.0010595791910187203,1131,1.068012953839231e-16,1.0,0.00484379058751415,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,-0.14465526844692306,0.07744801144892426,-1.8677725320594052,0.0620533911732282,1131,6.282429140230771e-17,0.9999999999999999,0.18911509690888595,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
